timestamp,level_idx,J,K,L,source,attempted_seeds,hookstep_converged,accepted_postfilter,unique_solutions,promotions_reconverged
2026-03-05T08:19:59,1,1,3,5,fuzz,100000,39345,454,2,0
2026-03-05T08:20:00,2,1,4,5,promotion,2,2,2,2,2
2026-03-05T08:20:00,3,2,4,5,promotion,2,2,1,1,1
2026-03-05T08:20:02,4,2,4,6,promotion,1,1,1,1,1
2026-03-05T08:20:02,5,2,4,7,promotion,1,1,1,1,1
2026-03-05T08:20:03,6,2,4,8,promotion,1,1,1,1,1
2026-03-05T08:20:04,7,2,4,9,promotion,1,1,1,1,1
2026-03-05T08:20:09,8,3,4,9,promotion,1,1,1,1,1
2026-03-05T08:27:21,9,3,5,9,promotion,1,1,1,1,1
2026-03-05T08:27:26,10,3,5,9,resume,1,0,0,1,0
2026-03-05T08:31:58,11,3,5,10,promotion,1,1,1,1,1
2026-03-05T08:32:03,12,3,5,11,promotion,1,1,1,1,1
