case,group,unique_id,members,n_sol_ids,n_curves,plot_path
re300_lx10_lz6,A,u001,sol001@J2K4L7,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/A/u001.png
re300_lx10_lz6,A,u002,sol002@J2K4L5,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/A/u002.png
re300_lx10_lz6,B,u001,sol002@J2K4L9,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/B/u001.png
re300_lx10_lz6,B,u002,sol001@J2K4L9,1,9,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/B/u002.png
re300_lx10_lz6,C,u001,sol001@J3K5L9;sol002@J2K4L9,2,17,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/C/u001.png
re300_lx10_lz6,C,u002,sol004@J2K4L8,1,6,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/C/u002.png
re300_lx10_lz6,C,u003,sol005@J1K4L5,1,4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/C/u003.png
re300_lx10_lz6,C,u004,sol006@J1K3L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/C/u004.png
re300_lx10_lz6,C,u005,sol003@J2K4L6,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/C/u005.png
re300_lx10_lz6,D,u001,sol004@J1K3L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/D/u001.png
re300_lx10_lz6,D,u002,sol003@J1K3L5,1,5,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/D/u002.png
re300_lx10_lz6,D,u003,sol002@J2K4L9,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/D/u003.png
re300_lx10_lz6,D,u004,sol001@J2K4L8,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/D/u004.png
re300_lx10_lz6,E,u001,sol001@J3K5L11;sol002@J2K4L9;sol005@J1K3L5,3,20,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/E/u001.png
re300_lx10_lz6,E,u002,sol004@J2K4L5,1,4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/E/u002.png
re300_lx10_lz6,E,u003,sol003@J2K4L9,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/E/u003.png
re300_lx10_lz6,F,u001,sol001@J3K5L9,1,9,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/F/u001.png
re300_lx10_lz6,G,u001,sol004@J2K4L5,1,3,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/G/u001.png
re300_lx10_lz6,G,u002,sol002@J1K3L5;sol011@J1K3L5,2,4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/G/u002.png
re300_lx10_lz6,G,u003,sol001@J2K4L5;sol006@J1K3L5,2,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/G/u003.png
re300_lx10_lz6,G,u004,sol008@J1K4L5,1,2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/G/u004.png
re300_lx10_lz6,G,u005,sol007@J1K3L5,1,3,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/G/u005.png
re300_lx10_lz6,G,u006,sol003@J1K4L5,1,3,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx10_lz6/G/u006.png
re300_lx2pi_lzpi,A,u001,sol001@J3K5L11;sol003@J1K3L5,2,12,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/A/u001.png
re300_lx2pi_lzpi,B,u001,sol001@J1K4L5,1,3,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/B/u001.png
re300_lx2pi_lzpi,B,u002,sol002@J1K3L5,1,2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/B/u002.png
re300_lx2pi_lzpi,B,u003,sol003@J1K3L5,1,2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/B/u003.png
re300_lx2pi_lzpi,C,u001,sol001@J3K5L11;sol002@J1K4L5,2,13,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/C/u001.png
re300_lx2pi_lzpi,C,u002,sol003@J1K3L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/C/u002.png
re300_lx2pi_lzpi,D,u001,sol002@J1K4L5,1,2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/D/u001.png
re300_lx2pi_lzpi,D,u002,sol003@J1K3L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/D/u002.png
re300_lx2pi_lzpi,D,u003,sol001@J2K4L6,1,4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/D/u003.png
re300_lx2pi_lzpi,E,u001,sol002@J3K5L11,1,11,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/E/u001.png
re300_lx2pi_lzpi,E,u002,sol003@J2K4L5;sol004@J2K4L5;sol005@J1K4L5,3,8,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/E/u002.png
re300_lx2pi_lzpi,E,u003,sol001@J3K5L11;sol006@J1K4L5;sol008@J1K3L5,3,14,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/E/u003.png
re300_lx2pi_lzpi,E,u004,sol007@J1K3L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/E/u004.png
re300_lx2pi_lzpi,F,u001,sol001@J1K4L5,1,2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/F/u001.png
re300_lx2pi_lzpi,F,u002,sol002@J1K3L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/F/u002.png
re300_lx2pi_lzpi,G,u001,sol002@J2K4L5;sol003@J1K4L5,2,5,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/G/u001.png
re300_lx2pi_lzpi,G,u002,sol001@J2K4L5,1,3,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re300_lx2pi_lzpi/G/u002.png
re400_lx10_lz6,A,u001,sol004@J2K4L5,1,4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/A/u001.png
re400_lx10_lz6,A,u002,sol007@J1K3L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/A/u002.png
re400_lx10_lz6,A,u003,sol001@J2K4L6,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/A/u003.png
re400_lx10_lz6,A,u004,sol002@J2K4L6,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/A/u004.png
re400_lx10_lz6,B,u001,sol001@J3K5L11;sol004@J1K4L5,2,13,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/B/u001.png
re400_lx10_lz6,B,u002,sol003@J2K4L5,1,4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/B/u002.png
re400_lx10_lz6,B,u003,sol002@J2K4L9,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/B/u003.png
