case,Re,Lx,Lz,group,sol_id,dns_shear,dns_L2,dns_residual,ode_found,ode_exact_jkl,ode_J,ode_K,ode_L,ode_shear,ode_norm,delta_shear,delta_L2norm,ode_source,dns_source
re400_lx10_lz6,400.0,10.0,6.0,A,1,0.419658,0.157738,4.95947e-16,true,true,2,4,6,1.1510252072032614,0.18736007393660842,-0.7313672072032614,-0.02962207393660843,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_6/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_6/dns_findsoln/sol001
re400_lx10_lz6,400.0,10.0,6.0,A,2,0.603132,0.26902,3.85868e-14,true,true,2,4,6,1.5898191836206728,0.33205247269947497,-0.9866871836206728,-0.06303247269947498,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_6/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_6/dns_findsoln/sol002
re400_lx10_lz6,400.0,10.0,6.0,A,4,0.261529,0.0987623,6.864e-15,true,true,2,4,5,1.165512850183381,0.2182726230593052,-0.9039838501833809,-0.1195103230593052,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_5/dns_findsoln/sol004
re400_lx10_lz6,400.0,10.0,6.0,A,7,0.405024,0.144998,2.63307e-14,true,true,1,3,5,1.8931536067331154,0.3254561229715649,-1.4881296067331153,-0.1804581229715649,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_1_3_5/dns_findsoln/sol007
re400_lx10_lz6,400.0,10.0,6.0,B,1,0.131507,0.0807176,3.1166e-16,true,true,3,5,11,1.1370229967916914,0.08716858125569897,-1.0055159967916913,-0.00645098125569897,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_3_5_11/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_3_5_11/dns_findsoln/sol001
re400_lx10_lz6,400.0,10.0,6.0,B,2,1.22409,0.265099,7.03899e-16,true,true,2,4,9,2.465442969234636,0.33854744635401035,-1.2413529692346361,-0.07344844635401038,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_2_4_9/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol002
re400_lx10_lz6,400.0,10.0,6.0,B,3,0.283843,0.119763,2.95146e-14,true,true,2,4,5,1.0976968201135142,0.11576786881093434,-0.8138538201135141,0.003995131189065651,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_2_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_2_4_5/dns_findsoln/sol003
re400_lx10_lz6,400.0,10.0,6.0,B,4,0.131507,0.0807176,1.35794e-15,true,true,1,4,5,1.0610619493710929,0.09494048952942581,-0.9295549493710928,-0.014222889529425811,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_1_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_1_4_5/dns_findsoln/sol004
re400_lx10_lz6,400.0,10.0,6.0,C,1,0.131507,0.0807176,2.66067e-16,true,true,3,5,11,1.1370229967916883,0.08716858125569826,-1.0055159967916882,-0.006450981255698263,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_3_5_11/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_3_5_11/dns_findsoln/sol001
re400_lx10_lz6,400.0,10.0,6.0,C,2,0.207388,0.0928868,7.27303e-16,true,true,1,3,5,1.6323955874549143,0.2832472199674342,-1.4250075874549144,-0.1903604199674342,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol002
