case,Re,Lx,Lz,group,unique_id,shear,L2,multiplicity,members
re400_lx10_lz6,400.0,10.0,6.0,A,u001,0.261529,0.0987623,1,sol004@J2K4L5
re400_lx10_lz6,400.0,10.0,6.0,A,u002,0.405024,0.144998,1,sol007@J1K3L5
re400_lx10_lz6,400.0,10.0,6.0,A,u003,0.419658,0.157738,1,sol001@J2K4L6
re400_lx10_lz6,400.0,10.0,6.0,A,u004,0.603132,0.26902,1,sol002@J2K4L6
re400_lx10_lz6,400.0,10.0,6.0,B,u001,0.131507,0.0807176,2,sol001@J3K5L11;sol004@J1K4L5
re400_lx10_lz6,400.0,10.0,6.0,B,u002,0.283843,0.119763,1,sol003@J2K4L5
re400_lx10_lz6,400.0,10.0,6.0,B,u003,1.22409,0.265099,1,sol002@J2K4L9
re400_lx10_lz6,400.0,10.0,6.0,C,u001,0.131507,0.0807176,2,sol001@J3K5L11;sol003@J2K4L9
re400_lx10_lz6,400.0,10.0,6.0,C,u002,0.207388,0.0928868,1,sol002@J1K3L5
re400_lx10_lz6,400.0,10.0,6.0,C,u003,0.261529,0.0987623,1,sol005@J2K4L7
re400_lx10_lz6,400.0,10.0,6.0,C,u004,0.830027,0.212146,1,sol008@J1K3L5
re400_lx10_lz6,400.0,10.0,6.0,C,u005,1.33606,0.294634,1,sol009@J1K3L5
re400_lx10_lz6,400.0,10.0,6.0,C,u006,1.41046,0.309908,1,sol006@J2K4L6
re400_lx10_lz6,400.0,10.0,6.0,D,u001,0.131507,0.0807176,1,sol003@J1K4L5
re400_lx10_lz6,400.0,10.0,6.0,D,u002,0.173827,0.0845575,1,sol005@J1K4L5
re400_lx10_lz6,400.0,10.0,6.0,D,u003,0.405024,0.144998,1,sol001@J1K3L5
re400_lx10_lz6,400.0,10.0,6.0,D,u004,0.697371,0.200136,2,sol004@J1K3L5;sol009@J1K3L5
re400_lx10_lz6,400.0,10.0,6.0,E,u001,7.34014e-14,2.69968e-14,2,sol004@J2K4L9;sol007@J2K4L6
re400_lx10_lz6,400.0,10.0,6.0,E,u002,0.131507,0.0807176,1,sol012@J1K4L5
re400_lx10_lz6,400.0,10.0,6.0,E,u003,0.405024,0.144998,1,sol009@J1K3L5
re400_lx10_lz6,400.0,10.0,6.0,E,u004,0.419658,0.157738,1,sol006@J2K4L6
re400_lx10_lz6,400.0,10.0,6.0,E,u005,0.507104,0.320622,2,sol003@J2K4L8;sol008@J2K4L6
re400_lx10_lz6,400.0,10.0,6.0,E,u006,1.1023,0.407408,3,sol001@J3K4L9;sol002@J2K4L6;sol016@J1K3L5
re400_lx10_lz6,400.0,10.0,6.0,E,u007,1.17228,0.233655,1,sol010@J2K4L6
re400_lx10_lz6,400.0,10.0,6.0,F,u001,0.131507,0.0807176,1,sol002@J1K4L5
re400_lx10_lz6,400.0,10.0,6.0,F,u002,1.30284,0.251724,1,sol001@J2K4L8
re400_lx10_lz6,400.0,10.0,6.0,G,u001,6.988e-13,1.01021e-12,1,sol001@J2K4L5
re400_lx10_lz6,400.0,10.0,6.0,G,u002,0.111429,0.0674867,2,sol002@J2K4L5;sol009@J1K4L5
re400_lx10_lz6,400.0,10.0,6.0,G,u003,0.151885,0.0843729,1,sol003@J2K4L5
re400_lx10_lz6,400.0,10.0,6.0,G,u004,0.219208,0.0956772,1,sol005@J1K4L5
re400_lx10_lz6,400.0,10.0,6.0,G,u005,0.507104,0.320622,1,sol008@J1K3L5
re400_lx10_lz6,400.0,10.0,6.0,G,u006,0.895123,0.219999,1,sol004@J1K4L5
