case_label,Re,Lx,Lz,symmetry,max_level,final_J,final_K,final_L,final_unique,final_hookstep,total_hookstep,total_unique_sum,n_final_shear,mean_final_shear,median_final_shear
re300_lx10_lz6,300.0,10.0,6.0,A,8,3,4,9,0,0,10092,14,0,NaN,NaN
re300_lx10_lz6,300.0,10.0,6.0,B,11,3,5,10,0,0,39890,25,0,NaN,NaN
re300_lx10_lz6,300.0,10.0,6.0,C,11,3,5,10,0,0,16989,36,0,NaN,NaN
re300_lx10_lz6,300.0,10.0,6.0,D,8,3,4,9,0,0,26082,20,0,NaN,NaN
re300_lx10_lz6,300.0,10.0,6.0,E,12,3,5,11,1,1,18363,33,1,1.5785625536752699,1.5785625536752699
re300_lx10_lz6,300.0,10.0,6.0,F,11,3,5,10,0,1,51061,10,0,NaN,NaN
re300_lx10_lz6,300.0,10.0,6.0,G,5,2,4,7,0,0,1814,27,0,NaN,NaN
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,A,12,3,5,11,1,1,1318,15,1,4.283096781159364,4.283096781159364
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,B,4,2,4,6,0,0,11905,7,0,NaN,NaN
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,C,12,3,5,11,1,1,7024,15,1,1.323717519833242,1.323717519833242
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,D,5,2,4,7,0,0,16679,7,0,NaN,NaN
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,E,12,3,5,11,2,2,9192,36,2,2.136398110478822,2.136398110478822
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,F,3,2,4,5,0,1,23896,3,0,NaN,NaN
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,G,4,2,4,6,0,0,212,8,0,NaN,NaN
re400_lx10_lz6,400.0,10.0,6.0,A,8,3,4,9,0,0,5059,30,0,NaN,NaN
re400_lx10_lz6,400.0,10.0,6.0,B,12,3,5,11,1,1,27020,26,1,1.1370229967916914,1.1370229967916914
re400_lx10_lz6,400.0,10.0,6.0,C,12,3,5,11,1,1,10750,50,1,1.1370229967916883,1.1370229967916883
re400_lx10_lz6,400.0,10.0,6.0,D,8,3,4,9,0,0,18670,26,0,NaN,NaN
re400_lx10_lz6,400.0,10.0,6.0,E,9,3,5,9,0,0,11384,68,0,NaN,NaN
re400_lx10_lz6,400.0,10.0,6.0,F,9,3,5,9,0,0,39354,10,0,NaN,NaN
re400_lx10_lz6,400.0,10.0,6.0,G,4,2,4,6,0,1,631,26,0,NaN,NaN
re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,A,5,2,4,7,0,0,399,14,0,NaN,NaN
re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,B,4,2,4,6,0,0,6934,10,0,NaN,NaN
re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,C,4,2,4,6,0,1,3522,16,0,NaN,NaN
re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,D,5,2,4,7,0,0,11730,11,0,NaN,NaN
re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,E,11,3,5,10,0,0,4378,24,0,NaN,NaN
re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,F,8,3,4,9,0,0,18564,11,0,NaN,NaN
re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,G,3,2,4,5,0,0,31,10,0,NaN,NaN
