timestamp,case,group,J,K,L,sol_id,status,min_Re,error,csv_path
2026-03-07T12:25:05,re300_lx10_lz6,A,1,4,5,2,ok,295.6096964828494,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_1_4_5/bifurcations/bif_A_sol002.csv
2026-03-07T12:25:07,re300_lx10_lz6,A,1,3,5,2,ok,241.31559211063706,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_1_3_5/bifurcations/bif_A_sol002.csv
2026-03-07T12:25:22,re300_lx10_lz6,A,1,3,5,1,ok,105.0235126876914,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_1_3_5/bifurcations/bif_A_sol001.csv
2026-03-07T12:25:41,re300_lx10_lz6,A,1,4,5,1,ok,107.0590652743419,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_1_4_5/bifurcations/bif_A_sol001.csv
2026-03-07T12:26:17,re300_lx10_lz6,A,2,4,5,2,ok,286.9082750423362,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_5/bifurcations/bif_A_sol002.csv
2026-03-07T12:30:46,re300_lx10_lz6,A,2,4,5,1,ok,149.2553605961185,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_5/bifurcations/bif_A_sol001.csv
2026-03-07T12:32:21,re300_lx10_lz6,A,2,4,7,2,ok,260.24345054051287,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_7/bifurcations/bif_A_sol002.csv
2026-03-07T12:32:31,re300_lx10_lz6,B,1,3,5,1,ok,122.35053052252239,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_1_3_5/bifurcations/bif_B_sol001.csv
2026-03-07T12:32:59,re300_lx10_lz6,B,1,3,5,2,ok,105.02351270303168,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_1_3_5/bifurcations/bif_B_sol002.csv
2026-03-07T12:33:10,re300_lx10_lz6,B,1,3,5,3,ok,122.35053032924503,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_1_3_5/bifurcations/bif_B_sol003.csv
