timestamp,case,group,J,K,L,sol_id,status,error,job_dir
2026-03-08T13:11:12,re300_lx10_lz6,A,1,4,5,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_1_4_5/dns_findsoln/sol001
2026-03-08T13:18:09,re300_lx10_lz6,A,1,3,5,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_1_3_5/dns_findsoln/sol001
2026-03-08T13:29:58,re300_lx10_lz6,A,2,4,7,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_7/dns_findsoln/sol001
2026-03-08T13:55:24,re300_lx10_lz6,A,2,4,5,2,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_5/dns_findsoln/sol002
2026-03-08T13:56:24,re300_lx10_lz6,A,2,4,6,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_6/dns_findsoln/sol001
2026-03-08T14:01:50,re300_lx10_lz6,A,2,4,5,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_5/dns_findsoln/sol001
2026-03-08T14:18:50,re300_lx10_lz6,A,1,3,5,2,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_1_3_5/dns_findsoln/sol002
2026-03-08T14:32:09,re300_lx10_lz6,A,2,4,6,2,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_6/dns_findsoln/sol002
2026-03-08T14:32:13,re300_lx10_lz6,A,1,4,5,2,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_1_4_5/dns_findsoln/sol002
2026-03-08T14:35:16,re300_lx10_lz6,A,2,4,8,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_8/dns_findsoln/sol001
2026-03-08T14:50:52,re300_lx10_lz6,B,2,4,9,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol001
2026-03-08T15:10:49,re300_lx10_lz6,B,2,4,9,2,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol002
2026-03-08T15:10:49,re300_lx10_lz6,B,2,4,8,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_8/dns_findsoln/sol002
2026-03-08T15:10:49,re300_lx10_lz6,B,2,4,7,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_7/dns_findsoln/sol002
2026-03-08T15:10:49,re300_lx10_lz6,B,2,4,6,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_6/dns_findsoln/sol002
