            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.387272      0.524838     0.0723967      0.138792      0.166469     0.0245046             0             0       1.99195      0.995976     -0.995976       2.06089
       0.35509      0.471784     0.0819376      0.151274       0.16311     0.0295976  -6.53083e-11   1.96256e-11       1.75623      0.878113     -0.878113        1.8629
      0.347789      0.459294     0.0858472      0.153604      0.159789      0.030964  -4.08714e-11   1.17164e-11       1.79157      0.895783     -0.895783       1.83788
      0.344714      0.451932     0.0937777      0.156903      0.163967     0.0334129  -3.48997e-11   4.19308e-12       1.81678      0.908389     -0.908389       1.89309
      0.341314      0.446172     0.0931303      0.158896      0.164265     0.0339212  -2.41929e-12    1.1295e-12       1.77654      0.888272     -0.888272       1.86214
       0.33681      0.439764     0.0918403      0.158286      0.161958      0.033489  -7.22159e-11   5.65058e-12       1.73316       0.86658      -0.86658       1.80106
      0.333624      0.434734     0.0916809      0.158782      0.160721      0.033617  -3.24013e-11    8.3622e-12       1.72113      0.860564     -0.860564        1.7529
      0.332198      0.433111     0.0906867      0.157803      0.160049     0.0331259  -2.64568e-12   2.33256e-12        1.7157      0.857849     -0.857849       1.72954
      0.331543      0.432691     0.0900189      0.156576      0.160034     0.0326194  -1.01975e-11   3.78138e-12        1.7137       0.85685      -0.85685       1.72578
      0.331015      0.432251     0.0895632      0.155815      0.159679     0.0322999   -1.4953e-12   3.05328e-12       1.71137      0.855687     -0.855687       1.71956
      0.330719      0.431384     0.0898105      0.156816      0.159869     0.0326572  -7.03067e-12   1.87339e-12       1.70777      0.853884     -0.853884       1.71656
      0.330768      0.431592     0.0896641      0.156538      0.159791     0.0325439  -9.36246e-12    7.5772e-13       1.70897      0.854484     -0.854484       1.71702
      0.330803      0.431327     0.0899509       0.15725      0.159886     0.0328188  -9.68436e-12   1.50635e-12       1.70969      0.854843     -0.854843       1.71638
      0.330921      0.431671     0.0898069      0.156884      0.159838     0.0326778  -1.26133e-11   8.92063e-13       1.71156      0.855782     -0.855782       1.71806
      0.330995      0.431457     0.0901188      0.157603      0.160016       0.03296  -1.00159e-11    6.3785e-13       1.71252       0.85626      -0.85626        1.7183
      0.331139      0.431838     0.0899948      0.157236      0.159996     0.0328223  -9.14305e-12  -8.19077e-14       1.71479      0.857393     -0.857393       1.72041
      0.331134      0.431687     0.0901233      0.157554      0.160042     0.0329456  -9.23794e-12  -1.59454e-13       1.71504       0.85752      -0.85752       1.71972
      0.331173      0.431874     0.0900082      0.157274      0.159891     0.0328365  -9.62857e-12   8.54056e-14       1.71607      0.858034     -0.858034       1.71963
      0.331203      0.431792     0.0901212      0.157557      0.159936      0.032946  -1.04713e-11  -1.28776e-14       1.71635      0.858174     -0.858174       1.71944
      0.331203      0.431921     0.0899887      0.157278      0.159814     0.0328343   -1.1499e-11  -5.93695e-14       1.71674      0.858369     -0.858369       1.71925
      0.331217      0.431857     0.0900471      0.157481      0.159795     0.0329086  -1.16026e-11  -4.12758e-13       1.71679      0.858396     -0.858396       1.71873
