            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.149392      0.206252     0.0154071     0.0431172     0.0574939    0.00209647             0             0      0.439769      0.219885     -0.219885      0.371036
      0.132161      0.182072     0.0155613     0.0392521     0.0540029    0.00178288  -3.96076e-11   1.63463e-14      0.314745      0.157372     -0.157372      0.307473
      0.149009       0.20507     0.0197971     0.0442926     0.0635814    0.00235376  -1.02574e-10  -8.40051e-15      0.387523      0.193762     -0.193762      0.408301
      0.166967      0.229282     0.0245747     0.0508071      0.071082    0.00318527    1.6955e-11   3.94763e-15      0.493209      0.246605     -0.246605       0.51048
      0.159188      0.218868     0.0224789     0.0476826     0.0668167    0.00277893  -1.01232e-11  -5.22018e-14      0.452985      0.226492     -0.226492      0.459531
      0.151406       0.20841     0.0203314     0.0447171     0.0631319    0.00241299    -6.552e-12  -2.37601e-15      0.407419      0.203709     -0.203709       0.41341
      0.154366      0.212354     0.0212444      0.045956     0.0645785    0.00256328   -1.3585e-11   7.45568e-15      0.425997      0.212998     -0.212998      0.430218
      0.151227      0.208126      0.020391     0.0447951     0.0630374    0.00242239  -5.63103e-13   1.47617e-14      0.408499      0.204249     -0.204249       0.41189
      0.154288      0.212236     0.0212524     0.0459811     0.0645502    0.00256593    3.6444e-13   3.07376e-15      0.426497      0.213248     -0.213248       0.42971
      0.151165      0.208032      0.020392     0.0448152     0.0630382    0.00242424  -8.33161e-12   -8.2129e-15      0.408717      0.204358     -0.204358      0.411591
      0.152711      0.210109     0.0208282       0.04541     0.0637971    0.00249588  -1.02328e-12  -1.50067e-14      0.417647      0.208824     -0.208824      0.420446
      0.151175      0.208038     0.0204306     0.0448348     0.0630221    0.00242757  -1.22731e-12  -1.04448e-14       0.40908       0.20454      -0.20454      0.411542
      0.153129      0.210674     0.0209514     0.0455463     0.0639555    0.00251342  -6.99697e-12   5.13089e-15      0.419881       0.20994      -0.20994      0.422732
      0.152511      0.209844     0.0207781     0.0453096     0.0636462    0.00248469  -4.69619e-12   6.51749e-15      0.416378      0.208189     -0.208189       0.41911
      0.151568      0.208571     0.0205409     0.0449675     0.0631828      0.002444  -6.30166e-12   7.98517e-15      0.411452      0.205726     -0.205726      0.413786
      0.152497      0.209822     0.0207904     0.0453096     0.0636318     0.0024852  -6.46933e-12   1.03391e-14      0.416708      0.208354     -0.208354      0.419097
      0.151561      0.208561     0.0205422     0.0449614      0.063171    0.00244351  -4.79746e-12   7.06692e-15       0.41152       0.20576      -0.20576       0.41375
      0.152489      0.209811     0.0207925     0.0453061     0.0636224    0.00248498  -3.71574e-12   2.64434e-15      0.416781      0.208391     -0.208391      0.419075
      0.151558       0.20856     0.0205403     0.0449538     0.0631641    0.00244275  -2.02118e-12  -2.33488e-15      0.411474      0.205737     -0.205737      0.413673
      0.152484      0.209806     0.0207906     0.0452991     0.0636166    0.00248425  -4.30814e-12  -5.96831e-15      0.416736      0.208368     -0.208368       0.41899
      0.151549      0.208545     0.0205442      0.044956      0.063163    0.00244311  -2.25509e-12   -1.0663e-14      0.411522      0.205761     -0.205761      0.413639
