timestamp,level_idx,J,K,L,source,attempted_seeds,hookstep_converged,accepted_postfilter,unique_solutions,promotions_reconverged
2026-03-06T10:47:53,1,1,3,5,fuzz,100000,16958,745,6,0
2026-03-06T10:52:09,2,1,4,5,promotion,6,6,6,5,5
2026-03-06T10:52:32,3,2,4,5,promotion,5,5,5,5,5
2026-03-06T10:53:47,4,2,4,6,promotion,5,5,5,5,5
2026-03-06T10:55:37,5,2,4,7,promotion,5,4,4,4,4
2026-03-06T10:56:33,6,2,4,8,promotion,4,4,4,4,4
2026-03-06T10:59:35,7,2,4,9,promotion,4,4,4,3,3
2026-03-06T11:06:59,8,3,4,9,promotion,3,2,2,2,2
2026-03-06T11:16:10,9,3,5,9,promotion,2,1,1,1,1
2026-03-06T11:16:29,10,3,5,9,resume,1,0,0,1,0
2026-03-06T11:28:30,11,3,5,10,promotion,1,0,0,0,0
