timestamp,level_idx,J,K,L,source,attempted_seeds,hookstep_converged,accepted_postfilter,unique_solutions,promotions_reconverged
2026-03-06T11:57:09,1,1,3,5,fuzz,100000,18335,1097,6,0
2026-03-06T11:57:10,2,1,4,5,promotion,6,6,6,5,5
2026-03-06T11:58:16,3,2,4,5,promotion,5,5,5,4,4
2026-03-06T11:58:24,4,2,4,6,promotion,4,4,4,4,4
2026-03-06T12:00:23,5,2,4,7,promotion,4,3,3,3,3
2026-03-06T12:00:35,6,2,4,8,promotion,3,3,3,3,3
2026-03-06T12:01:21,7,2,4,9,promotion,3,3,3,3,3
2026-03-06T12:08:54,8,3,4,9,promotion,3,1,1,1,1
2026-03-06T12:09:14,9,3,5,9,promotion,1,1,1,1,1
2026-03-06T12:09:34,10,3,5,9,resume,1,0,0,1,0
2026-03-06T12:10:01,11,3,5,10,promotion,1,1,1,1,1
2026-03-06T12:10:37,12,3,5,11,promotion,1,1,1,1,1
