            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.162273      0.225295     0.0176905     0.0399282     0.0625243    0.00190722             0             0      0.267903      0.133951     -0.133951       0.33414
      0.145063      0.201487     0.0147193     0.0356832     0.0555226    0.00148995  -2.51488e-11   1.46579e-13      0.241358      0.120679     -0.120679      0.276533
      0.133916      0.185589     0.0144371     0.0348604     0.0583915    0.00142368  -2.72422e-11  -4.41022e-14      0.231175      0.115588     -0.115588      0.264688
      0.114858      0.159687     0.0111468     0.0275766     0.0473388   0.000884721   3.03851e-11   5.29263e-14      0.156995     0.0784975    -0.0784975      0.183301
      0.130251      0.181344     0.0130359     0.0295828     0.0532538    0.00104508   6.13036e-11    6.6483e-14      0.185791     0.0928954    -0.0928954      0.213165
      0.101603      0.141165     0.0100164     0.0248636     0.0439479   0.000718525   9.67041e-11    2.0823e-13      0.129433     0.0647163    -0.0647163      0.148625
     0.0806873      0.111045     0.0102787     0.0241706     0.0439884   0.000689872  -8.51506e-11  -1.05183e-13      0.105407     0.0527035    -0.0527035      0.123117
     0.0788371      0.107845     0.0118335     0.0256901     0.0490018   0.000800013  -3.96903e-11    3.2236e-14      0.121372     0.0606862    -0.0606862      0.132017
     0.0848897      0.115695       0.01437     0.0286461     0.0557442     0.0010271   4.51065e-11   3.92473e-14      0.151998     0.0759991    -0.0759991      0.158748
     0.0943324       0.12829      0.017375     0.0322026     0.0620077     0.0013389    1.0161e-11  -6.98795e-14      0.188793     0.0943966    -0.0943966      0.193589
     0.0930732       0.12654     0.0171862     0.0318995     0.0611475    0.00131294  -2.00107e-12  -3.11086e-15      0.186925     0.0934624    -0.0934624      0.188575
     0.0961924      0.130779     0.0181454     0.0327671      0.062397    0.00140294  -2.64883e-12  -4.67051e-15      0.200489      0.100244     -0.100244      0.200244
     0.0941032      0.127986     0.0176909     0.0318989     0.0610274    0.00133051   1.65239e-13  -4.07149e-15      0.193582      0.096791     -0.096791      0.194864
     0.0928794      0.126345     0.0173846     0.0314322     0.0603607    0.00129021    4.7779e-13  -5.98545e-15        0.1899     0.0949499    -0.0949499      0.190363
     0.0932191      0.126797     0.0174988     0.0315599     0.0605506    0.00130223   1.55961e-12   3.53089e-15      0.191444     0.0957218    -0.0957218      0.191473
      0.093204      0.126776     0.0174944     0.0315549     0.0605405    0.00130177   3.26493e-13             0      0.191403     0.0957014    -0.0957014      0.191403
      0.093204      0.126776     0.0174944     0.0315549     0.0605405    0.00130177             0             0      0.191403     0.0957014    -0.0957014      0.191403
      0.093204      0.126776     0.0174944     0.0315549     0.0605405    0.00130177             0             0      0.191403     0.0957014    -0.0957014      0.191403
