timestamp,level_idx,J,K,L,source,attempted_seeds,hookstep_converged,accepted_postfilter,unique_solutions,promotions_reconverged
2026-03-06T15:14:50,1,1,3,5,fuzz,100000,1305,452,3,0
2026-03-06T15:15:04,2,1,4,5,promotion,3,3,2,2,2
2026-03-06T15:15:14,3,2,4,5,promotion,2,2,1,1,1
2026-03-06T15:15:16,4,2,4,6,promotion,1,1,1,1,1
2026-03-06T15:15:18,5,2,4,7,promotion,1,1,1,1,1
2026-03-06T15:15:22,6,2,4,8,promotion,1,1,1,1,1
2026-03-06T15:15:27,7,2,4,9,promotion,1,1,1,1,1
2026-03-06T15:15:38,8,3,4,9,promotion,1,1,1,1,1
2026-03-06T15:16:00,9,3,5,9,promotion,1,1,1,1,1
2026-03-06T15:16:21,10,3,5,9,resume,1,0,0,1,0
2026-03-06T15:16:50,11,3,5,10,promotion,1,1,1,1,1
2026-03-06T15:17:29,12,3,5,11,promotion,1,1,1,1,1
