            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.347508       0.46056     0.0952885      0.142576      0.179452     0.0294078             0             0       2.24418       1.12209      -1.12209       2.07861
      0.305633      0.413187     0.0685394      0.106781      0.141303     0.0160999   2.24324e-11   1.40512e-13        1.7852      0.892602     -0.892602       1.71201
      0.292746      0.395099     0.0694887      0.102313      0.131688     0.0152967  -4.15355e-11   2.43234e-13       1.66323      0.831615     -0.831615       1.63635
      0.290091      0.389285     0.0786887      0.102814      0.134904     0.0167627   5.01392e-11   4.73101e-13       1.59261      0.796306     -0.796306        1.7067
      0.272583       0.36879     0.0673403     0.0897867      0.120736     0.0125964   1.28356e-10   4.77131e-13       1.38138      0.690692     -0.690692       1.47962
      0.252414      0.343173     0.0583416     0.0790812      0.108856    0.00965759   9.24803e-11  -4.52447e-13        1.1948      0.597401     -0.597401       1.24921
      0.250717      0.340726     0.0583303     0.0788794      0.107211    0.00962439   2.31579e-11   6.63942e-14       1.20976      0.604879     -0.604879       1.21007
      0.250833      0.340877      0.058377     0.0789242      0.107253     0.0096369  -1.70296e-13             0       1.21096      0.605479     -0.605479       1.21096
      0.250827      0.340869     0.0583745     0.0789215       0.10725    0.00963619   5.24974e-15             0        1.2109       0.60545      -0.60545        1.2109
      0.250827      0.340869     0.0583745     0.0789215       0.10725    0.00963619             0             0        1.2109       0.60545      -0.60545        1.2109
