timestamp,level_idx,J,K,L,source,attempted_seeds,hookstep_converged,accepted_postfilter,unique_solutions,promotions_reconverged
2026-03-06T15:38:22,1,1,3,5,fuzz,100000,7012,1959,3,0
2026-03-06T15:43:30,2,1,4,5,promotion,3,2,2,2,2
2026-03-06T15:43:34,3,2,4,5,promotion,2,2,2,1,1
2026-03-06T15:44:09,4,2,4,6,promotion,1,1,1,1,1
2026-03-06T15:44:23,5,2,4,7,promotion,1,1,1,1,1
2026-03-06T15:44:41,6,2,4,8,promotion,1,1,1,1,1
2026-03-06T15:45:02,7,2,4,9,promotion,1,1,1,1,1
2026-03-06T15:45:13,8,3,4,9,promotion,1,1,1,1,1
2026-03-06T15:45:34,9,3,5,9,promotion,1,1,1,1,1
2026-03-06T15:45:53,10,3,5,9,resume,1,0,0,1,0
2026-03-06T15:46:20,11,3,5,10,promotion,1,1,1,1,1
2026-03-06T15:46:56,12,3,5,11,promotion,1,1,1,1,1
