            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.358811      0.481804     0.0930137      0.129241      0.162679     0.0253549             0             0       1.92089      0.960445     -0.960445       1.94076
       0.33128      0.443972     0.0857226      0.122611      0.138091     0.0223819  -2.66791e-10    2.4654e-12        1.6481      0.824051     -0.824051       1.65883
      0.301565      0.399037     0.0857952       0.12366      0.132715     0.0226526  -1.31381e-10  -9.63999e-13        1.4233      0.711652     -0.711652       1.44798
      0.294232      0.390579     0.0842467      0.116169      0.124294     0.0205927  -5.11754e-11  -6.57575e-13       1.34679      0.673395     -0.673395       1.36055
      0.284059      0.377734     0.0814471      0.109829       0.11735      0.018696  -4.40417e-11  -7.46723e-13       1.24747      0.623735     -0.623735       1.28973
      0.269134      0.358293       0.07618      0.103389      0.110089     0.0164927  -2.49547e-11   1.73865e-13       1.12603      0.563017     -0.563017       1.17696
      0.256324      0.341987     0.0707906     0.0971432      0.104535     0.0144481   4.27745e-11  -6.84345e-13       1.02693      0.513463     -0.513463       1.07144
      0.234595      0.314428     0.0613946     0.0862306     0.0966433      0.011205   6.30246e-11   5.74286e-13      0.869408      0.434704     -0.434704      0.923067
      0.211121      0.284009     0.0522118     0.0758738     0.0898322     0.0084829   1.27091e-10  -7.28494e-13      0.732695      0.366348     -0.366348      0.773539
      0.187558       0.25277     0.0440087     0.0672819     0.0839931    0.00646362   1.10493e-10  -5.86811e-13      0.619729      0.309864     -0.309864      0.638766
       0.16547      0.222748     0.0371603     0.0613442     0.0792685    0.00514401    -1.115e-10  -2.42691e-13      0.519133      0.259567     -0.259567      0.529267
      0.142295      0.191794     0.0294352     0.0533321     0.0719817    0.00371075  -1.89567e-10   1.58657e-13      0.405652      0.202826     -0.202826      0.421141
      0.123329      0.166351      0.024081     0.0465564     0.0648141    0.00274739  -1.33201e-10  -1.80058e-13      0.329511      0.164756     -0.164756      0.347114
      0.117788      0.159275      0.022075     0.0434963     0.0603547    0.00237923   -1.7239e-10   1.91281e-13      0.315239       0.15762      -0.15762      0.322027
      0.114229      0.154744     0.0207608     0.0414716     0.0576635     0.0021509  -2.60151e-11   7.51086e-14      0.304394      0.152197     -0.152197      0.306266
      0.114351      0.154922     0.0207753     0.0414714     0.0575536     0.0021515    4.9261e-13   4.66386e-15      0.305737      0.152869     -0.152869      0.305739
       0.11435      0.154921     0.0207753     0.0414713     0.0575535    0.00215148  -1.20333e-15             0      0.305736      0.152868     -0.152868      0.305736
       0.11435      0.154921     0.0207753     0.0414713     0.0575535    0.00215148             0             0      0.305736      0.152868     -0.152868      0.305736
