timestamp,level_idx,J,K,L,source,attempted_seeds,hookstep_converged,accepted_postfilter,unique_solutions,promotions_reconverged
2026-03-06T16:11:46,1,1,3,5,fuzz,100000,9162,2629,8,0
2026-03-06T16:11:47,2,1,4,5,promotion,8,8,8,6,6
2026-03-06T16:12:49,3,2,4,5,promotion,6,6,5,4,4
2026-03-06T16:14:22,4,2,4,6,promotion,4,2,2,2,2
2026-03-06T16:14:25,5,2,4,7,promotion,2,2,2,2,2
2026-03-06T16:14:28,6,2,4,8,promotion,2,2,2,2,2
2026-03-06T16:14:33,7,2,4,9,promotion,2,2,2,2,2
2026-03-06T16:14:45,8,3,4,9,promotion,2,2,2,2,2
2026-03-06T16:15:04,9,3,5,9,promotion,2,2,2,2,2
2026-03-06T16:15:24,10,3,5,9,resume,2,0,0,2,0
2026-03-06T16:15:52,11,3,5,10,promotion,2,2,2,2,2
2026-03-06T16:16:26,12,3,5,11,promotion,2,2,2,2,2
