timestamp,level_idx,J,K,L,source,attempted_seeds,hookstep_converged,accepted_postfilter,unique_solutions,promotions_reconverged
2026-03-06T00:22:41,1,1,3,5,fuzz,100000,26998,11189,4,0
2026-03-06T00:22:48,2,1,4,5,promotion,4,4,4,4,4
2026-03-06T00:22:58,3,2,4,5,promotion,4,4,4,4,4
2026-03-06T00:23:07,4,2,4,6,promotion,4,4,3,3,3
2026-03-06T00:25:00,5,2,4,7,promotion,3,2,2,2,2
2026-03-06T00:25:09,6,2,4,8,promotion,2,2,2,2,2
2026-03-06T00:25:13,7,2,4,9,promotion,2,2,2,2,2
2026-03-06T00:31:01,8,3,4,9,promotion,2,1,1,1,1
2026-03-06T00:31:22,9,3,5,9,promotion,1,1,1,1,1
2026-03-06T00:31:42,10,3,5,9,resume,1,0,0,1,0
2026-03-06T00:32:09,11,3,5,10,promotion,1,1,1,1,1
2026-03-06T00:32:45,12,3,5,11,promotion,1,1,1,1,1
