            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.355189      0.492167      0.075975     0.0657125       0.12239     0.0100903             0             0       1.78175      0.890873     -0.890873       1.98791
      0.335151      0.467439     0.0581166     0.0526835       0.09464    0.00615309  -1.84415e-11  -3.00109e-15       1.62921      0.814605     -0.814605       1.68864
      0.327708      0.458609     0.0485332     0.0459045     0.0864912    0.00446269  -1.51481e-10  -6.87421e-14       1.40056      0.700278     -0.700278       1.55615
      0.304494      0.425236     0.0465484     0.0493967     0.0909952    0.00460679  -5.12267e-11  -3.94337e-13       1.16088      0.580438     -0.580438       1.38808
      0.309084      0.431791     0.0468592     0.0492638     0.0883747    0.00462271  -1.15681e-11  -1.67146e-13       1.25546       0.62773      -0.62773       1.38583
      0.305841      0.427369     0.0454162     0.0486885     0.0886955    0.00443319  -2.01533e-12   3.56317e-13       1.26825      0.634125     -0.634125       1.36626
      0.313335      0.438033     0.0457829     0.0488764     0.0878325    0.00448497  -3.71397e-11   1.29625e-13       1.32988      0.664941     -0.664941       1.41492
      0.295122      0.412869     0.0407887     0.0454962     0.0823727    0.00373363  -1.47491e-11  -1.34831e-13       1.13881      0.569403     -0.569403       1.24821
      0.301099      0.421155     0.0422072     0.0465708     0.0821153    0.00395029  -3.51367e-11  -1.74646e-15       1.19485      0.597423     -0.597423       1.28045
       0.30532      0.426622     0.0448546     0.0492148     0.0860123    0.00443403   1.18284e-11  -1.76797e-14       1.26962       0.63481      -0.63481       1.33687
      0.307105      0.429184     0.0450927     0.0489312     0.0864758    0.00442761   2.49937e-11  -6.85978e-14       1.29429      0.647144     -0.647144       1.34722
      0.310211      0.433618     0.0456277     0.0485309     0.0865411    0.00443713  -9.23269e-12   -2.0729e-14       1.32573      0.662867     -0.662867       1.36944
      0.314381      0.439168     0.0476612     0.0503019     0.0898484    0.00480187  -1.12511e-11  -8.01801e-14       1.39433      0.697165     -0.697165       1.42872
      0.307417       0.42945     0.0461481     0.0495387     0.0881292    0.00458373  -1.15501e-11  -2.37364e-14       1.33394       0.66697      -0.66697       1.36458
      0.309635      0.432375     0.0473203     0.0505967     0.0898717    0.00479924  -8.74444e-12  -5.48866e-14       1.36546       0.68273      -0.68273       1.39438
      0.311695       0.43504      0.048577     0.0518508     0.0917845    0.00504824  -8.64032e-12    -2.723e-14       1.39746      0.698732     -0.698732       1.42454
      0.308563      0.430729     0.0476533     0.0512196      0.090602    0.00489429   1.96791e-13  -1.90931e-14       1.36708      0.683541     -0.683541       1.39155
      0.311035      0.433999     0.0488815     0.0523557      0.092415    0.00513052   9.22215e-12   7.41801e-15       1.39956      0.699782     -0.699782       1.42377
      0.308224      0.430207     0.0477545     0.0514437     0.0909075    0.00492695   1.90777e-11   2.53453e-14       1.36725      0.683623     -0.683623       1.39043
       0.30921      0.431514     0.0482304     0.0518761      0.091592     0.0050173   1.49087e-11   1.72341e-14       1.37997      0.689987     -0.689987       1.40289
        0.3102      0.432827     0.0487065     0.0523104     0.0922805     0.0051087   1.25163e-11   4.51357e-15       1.39283      0.696417     -0.696417       1.41551
