            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0930747      0.128713    0.00859483     0.0261724     0.0391089   0.000758867             0             0     0.0932598     0.0466299    -0.0466299      0.165932
      0.098154      0.136459    0.00858041     0.0239506     0.0361959   0.000647256  -4.20864e-12   1.15485e-13      0.164724     0.0823619    -0.0823619      0.187935
     0.0903034      0.125152    0.00928658      0.023666     0.0364923   0.000646322  -7.62759e-11  -9.48415e-14      0.158758     0.0793792    -0.0793792      0.176521
     0.0962651      0.133747    0.00945748     0.0235845     0.0374244   0.000645673  -2.20979e-11   4.38671e-14      0.182144     0.0910722    -0.0910722      0.196675
     0.0988725      0.137452    0.00956257     0.0238117      0.038357   0.000658439  -7.44737e-12  -2.13413e-14      0.198766     0.0993829    -0.0993829       0.20528
       0.10221       0.14217    0.00979808     0.0241946     0.0397249    0.00068138  -1.25506e-11  -3.82044e-14      0.214267      0.107133     -0.107133      0.217939
      0.105834      0.147275      0.010125     0.0246827     0.0414693   0.000711752  -8.56917e-13   7.90585e-15      0.230224      0.115112     -0.115112      0.232771
      0.109485      0.152396     0.0105308     0.0252699     0.0434902   0.000749466   3.40595e-11  -1.85885e-14      0.246516      0.123258     -0.123258      0.248549
      0.113153       0.15752     0.0110161     0.0259468     0.0457295   0.000794594   3.97421e-12  -2.15747e-14      0.263429      0.131714     -0.131714        0.2651
      0.114934      0.159983     0.0113387     0.0263925     0.0471972   0.000825133   2.11671e-11  -7.92965e-15      0.271753      0.135877     -0.135877      0.273846
      0.114526      0.159428     0.0112448     0.0262401     0.0466779   0.000814988   1.51449e-11             0      0.269943      0.134972     -0.134972        0.2715
      0.114336      0.159169     0.0112041     0.0261758     0.0464585   0.000810702   9.13404e-12             0      0.269062      0.134531     -0.134531      0.270462
      0.114272      0.159083     0.0111756     0.0261488     0.0463209   0.000808654   1.00017e-11   3.17689e-15      0.269099       0.13455      -0.13455      0.269889
      0.114639      0.159594     0.0112278     0.0262302     0.0465529   0.000814089   2.29236e-12  -4.71058e-15      0.270991      0.135496     -0.135496      0.271441
      0.114542      0.159464     0.0111944     0.0261817     0.0463657   0.000810794   3.45683e-12  -6.54954e-15      0.270379      0.135189     -0.135189      0.270795
      0.114574      0.159514     0.0111791     0.0261674     0.0462551   0.000809706  -1.38514e-12  -5.18912e-15      0.270346      0.135173     -0.135173      0.270786
      0.114953      0.160038     0.0112438     0.0262627     0.0465699   0.000816151  -3.63374e-12   1.20699e-14      0.272224      0.136112     -0.136112      0.272654
      0.114903      0.159974     0.0112193     0.0262231     0.0464299   0.000813522  -2.60949e-12   1.21168e-14      0.271831      0.135916     -0.135916      0.272247
      0.114815      0.159857     0.0111919     0.0261798      0.046273   0.000810638   7.07828e-14  -3.76336e-15      0.271322      0.135661     -0.135661      0.271682
      0.115071      0.160209     0.0112407     0.0262521     0.0465199   0.000815526  -1.74048e-13  -6.54447e-15      0.272679      0.136339     -0.136339       0.27299
      0.115025      0.160148     0.0112274     0.0262323     0.0464459   0.000814188   -4.4078e-13  -6.05948e-15      0.272462      0.136231     -0.136231      0.272709
