            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
       0.26172      0.362171     0.0386897     0.0658014       0.11348    0.00582672             0             0      0.893154      0.446577     -0.446577       1.32744
      0.240623      0.335185     0.0302959     0.0503245     0.0930143    0.00345039  -3.41226e-12   4.62426e-13      0.958002      0.479001     -0.479001       1.01657
      0.217976       0.30391      0.027133      0.043927     0.0875165    0.00266579  -1.10356e-10    1.6527e-13      0.772142      0.386071     -0.386071      0.785372
      0.189696      0.263749     0.0265998     0.0412022     0.0864401    0.00240517   1.18893e-11   1.09652e-13      0.569947      0.284973     -0.284973      0.648109
      0.170978      0.237316     0.0250884      0.038966     0.0844006    0.00214778   1.38468e-10   5.21549e-13      0.511937      0.255969     -0.255969       0.57659
      0.160349      0.222797     0.0221289     0.0359967     0.0789219    0.00178545   6.25815e-12  -2.71279e-14       0.47259      0.236295     -0.236295      0.492123
      0.149869      0.208371     0.0196777     0.0333961     0.0742802    0.00150252    1.3835e-11  -3.16905e-14      0.425631      0.212815     -0.212815      0.430921
      0.145657      0.202543     0.0188652     0.0324455     0.0723993    0.00140861   2.06759e-11  -1.59975e-14      0.407839       0.20392      -0.20392      0.408496
      0.145009      0.201644     0.0187444     0.0323025     0.0721146     0.0013948   4.94391e-12  -5.33392e-15      0.405068      0.202534     -0.202534      0.405083
      0.144998      0.201629     0.0187425     0.0323001     0.0721096    0.00139458  -5.30716e-14             0      0.405024      0.202512     -0.202512      0.405024
      0.144998      0.201629     0.0187425     0.0323001     0.0721096    0.00139458             0             0      0.405024      0.202512     -0.202512      0.405024
