            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.292683      0.398281     0.0529964     0.0994525      0.118127     0.0126994             0             0       1.75609      0.878043     -0.878043       1.73702
       0.29012      0.397116     0.0471835     0.0917138      0.104839     0.0106377   1.89777e-10  -7.35356e-13       1.70221      0.851105     -0.851105       1.66883
      0.280574      0.384489     0.0443733     0.0874254     0.0979594    0.00961219   1.11171e-10  -1.22338e-13       1.61176       0.80588      -0.80588        1.5768
      0.261367      0.359165     0.0379026     0.0786748     0.0893188    0.00762634   1.83185e-11  -3.06843e-13       1.37563      0.687814     -0.687814       1.41611
      0.250588      0.344468      0.036371     0.0748833     0.0859806    0.00693037   5.88086e-12  -1.58333e-14       1.19292      0.596458     -0.596458       1.28896
      0.225789      0.312864     0.0251719     0.0586854     0.0666254     0.0040776  -1.98947e-10   8.25877e-14      0.897157      0.448579     -0.448579      0.971602
      0.225808      0.312694     0.0255097      0.059583     0.0666522    0.00420088  -1.03679e-10   5.02987e-14       0.92547      0.462735     -0.462735      0.967981
      0.233814      0.323639     0.0271977     0.0620985     0.0694249    0.00459594  -8.88949e-11   8.56355e-14      0.997632      0.498816     -0.498816       1.02575
      0.244925      0.338826     0.0298083     0.0654598     0.0738981    0.00517352   1.18486e-11   1.41166e-13       1.10695      0.553477     -0.553477       1.12219
      0.240416      0.332667     0.0286282     0.0641317     0.0719426    0.00493245   1.47897e-11   2.80908e-14       1.07226      0.536132     -0.536132       1.07688
      0.243792      0.337382     0.0291632     0.0647464     0.0731659    0.00504259   1.33229e-11    2.5989e-14       1.09991      0.549956     -0.549956       1.10347
      0.246471      0.341151     0.0295467     0.0651087     0.0741796    0.00511215   9.24686e-12  -8.80361e-15       1.12175      0.560876     -0.560876        1.1232
       0.24315      0.336517     0.0289628     0.0645112     0.0728761    0.00500053   -1.4567e-11  -3.63182e-14       1.09521      0.547605     -0.547605       1.09513
      0.244542      0.338494     0.0291232     0.0646117     0.0733137    0.00502284  -1.02131e-11  -1.33462e-14       1.10602      0.553008     -0.553008       1.10507
      0.245779      0.340257     0.0292482     0.0646879     0.0737605    0.00503997  -8.70968e-12  -1.84878e-14       1.11529      0.557647     -0.557647       1.11346
      0.244106       0.33793     0.0289152      0.064363     0.0730782    0.00497868  -1.57707e-11  -2.41474e-14        1.1015      0.550751     -0.550751       1.09922
      0.244696      0.338768     0.0289835     0.0644108     0.0732846    0.00498879  -1.35073e-11  -3.22955e-14       1.10601      0.553004     -0.553004        1.1035
      0.243907      0.337677     0.0288169     0.0642313     0.0729565    0.00495607   -1.1116e-11  -3.18532e-14       1.09941      0.549704     -0.549704       1.09661
       0.24449      0.338505     0.0288787     0.0642751     0.0731708    0.00496527  -1.19385e-11  -1.63317e-14       1.10354      0.551769     -0.551769       1.10068
      0.243716      0.337432     0.0287216     0.0641028     0.0728584     0.0049341  -1.34138e-11  -1.26799e-14       1.09695      0.548475     -0.548475       1.09397
       0.24287      0.336269     0.0285325     0.0638792     0.0725147    0.00489466  -1.34965e-11  -8.91315e-15       1.08936       0.54468      -0.54468       1.08628
