            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.435774      0.601924     0.0900701     0.0968136      0.154769     0.0174855             0             0       3.70903       1.85451      -1.85451       3.20954
      0.411314      0.564715     0.0992276     0.0980283       0.13706     0.0194556   1.19341e-10   5.10952e-13       3.29987       1.64994      -1.64994       3.08176
      0.411225      0.557943      0.121206      0.110546      0.149149     0.0269112   7.83254e-12    3.5034e-13       3.40849       1.70424      -1.70424       3.48026
      0.411014       0.55672      0.122835      0.113309       0.14914     0.0279273   5.03565e-11   3.39963e-14       3.36604       1.68302      -1.68302       3.53857
      0.410299      0.555606      0.122156      0.114321      0.147252     0.0279915   4.46081e-11   8.66789e-14       3.35215       1.67607      -1.67607        3.5248
       0.41297      0.558392       0.12434      0.117586      0.151146     0.0292869   3.83818e-11   4.25412e-13       3.44921        1.7246       -1.7246       3.60868
      0.411192      0.556034      0.122918      0.117792      0.149572     0.0289838   4.48039e-11    1.0967e-13       3.41131       1.70566      -1.70566       3.57539
      0.414015      0.558678      0.125926       0.12181      0.154817      0.030695   3.30303e-11   4.88093e-13       3.50009       1.75005      -1.75005       3.67437
       0.41321      0.557747      0.125196      0.121362      0.153503     0.0304029   2.64638e-11     3.423e-13       3.48042       1.74021      -1.74021       3.65434
      0.412564      0.556906      0.124707      0.121336      0.153147     0.0302742   2.73016e-11   2.43735e-13       3.47063       1.73532      -1.73532       3.62999
      0.413227      0.557528      0.125273      0.122407      0.153483     0.0306768   2.75758e-11   3.68784e-13        3.4803       1.74015      -1.74015        3.6353
      0.413419      0.557636      0.124948      0.123534      0.153561     0.0308727   9.19309e-11  -7.16489e-13       3.47876       1.73938      -1.73938       3.64133
      0.413245      0.557277      0.125099      0.123836      0.153517     0.0309852   9.25505e-11  -7.90097e-13       3.47628       1.73814      -1.73814       3.62592
      0.412864      0.556735       0.12518      0.123649      0.153356      0.030959   7.51564e-11  -6.15867e-13       3.46795       1.73398      -1.73398       3.61119
       0.41274       0.55658      0.125245      0.123457       0.15297     0.0309281   7.47481e-11  -4.57419e-13       3.46189       1.73095      -1.73095        3.6024
      0.415367       0.55934      0.127441       0.12632      0.155731     0.0321979   6.45064e-11  -4.22067e-13       3.51858       1.75929      -1.75929       3.65834
      0.414905      0.558754      0.127413      0.125903      0.155161     0.0320857   7.02523e-11  -5.67554e-13       3.50344       1.75172      -1.75172       3.65039
      0.414428      0.558274      0.126921       0.12539      0.154238     0.0318317   5.29959e-11  -1.39716e-14       3.48313       1.74156      -1.74156       3.63881
      0.416114      0.559949      0.128551      0.127413      0.156431     0.0327593   3.95276e-11  -7.56551e-14       3.52631       1.76315      -1.76315       3.66878
      0.415026      0.558698      0.127807      0.126548      0.155102     0.0323488   8.82529e-11   4.50694e-13       3.49388       1.74694      -1.74694       3.64973
        0.4168      0.560455      0.129605      0.128596      0.157394     0.0333345   7.95864e-11   6.39593e-13       3.53711       1.76856      -1.76856       3.68395
