            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.368994      0.510479     0.0692945     0.0831993      0.124902     0.0117239             0             0       2.56229       1.28114      -1.28114       2.19985
      0.381713      0.525643     0.0860291     0.0877964      0.121162     0.0151092   2.71096e-11   1.53355e-13       2.77067       1.38533      -1.38533       2.64107
      0.407342      0.554304      0.113407      0.108358      0.143292     0.0246025  -7.17105e-11    2.2575e-13       3.25055       1.62528      -1.62528       3.34126
      0.408938      0.555128      0.117089      0.112182      0.147209     0.0262947    -2.873e-11  -5.83613e-14       3.34745       1.67372      -1.67372       3.39187
      0.409072      0.554302      0.119803      0.114354      0.147986     0.0274295  -3.36646e-11  -1.84612e-13       3.34445       1.67222      -1.67222        3.4476
      0.413173      0.558384      0.124128       0.11926      0.153831     0.0296306  -5.46599e-11   5.64295e-14       3.44757       1.72379      -1.72379       3.56691
      0.412639      0.557368      0.124606      0.119816       0.15346     0.0298824  -1.54232e-11   3.51753e-13       3.43601         1.718        -1.718       3.57619
      0.412703      0.557326      0.124592      0.120465      0.152952     0.0300348  -1.16695e-11  -6.96996e-14        3.4394        1.7197       -1.7197       3.58239
      0.413493      0.557911      0.125627      0.122087      0.153941     0.0306874  -1.01222e-12  -6.46455e-15       3.45621        1.7281       -1.7281       3.60626
      0.414084      0.558322      0.126441      0.123374      0.154854     0.0312085  -7.70138e-12  -6.13752e-15       3.47109       1.73554      -1.73554       3.62047
      0.413944      0.557932       0.12666      0.123969      0.154736     0.0314111  -9.11456e-12   4.42219e-14       3.46647       1.73323      -1.73323       3.61739
      0.416063      0.560013      0.128774      0.126567      0.156982      0.032602  -6.44172e-12   2.28539e-14       3.51673       1.75837      -1.75837       3.66818
      0.415091      0.558756      0.128266      0.126257      0.156106     0.0323931   -6.0787e-12   1.28175e-13       3.49165       1.74583      -1.74583       3.64624
      0.417708      0.561376      0.130852      0.129204      0.158824     0.0338158   4.08716e-12    1.6101e-13       3.55218       1.77609      -1.77609       3.70652
      0.416237      0.559667      0.129731      0.128252      0.157263     0.0332787   1.01133e-11   1.65079e-13       3.51544       1.75772      -1.75772       3.67568
      0.417208      0.560664      0.130646       0.12928      0.158251     0.0337818   9.24035e-12   1.60048e-13       3.53837       1.76918      -1.76918        3.6965
      0.416729      0.560168      0.130107       0.12888      0.157526     0.0335377   5.99454e-12   1.03039e-13       3.52525       1.76263      -1.76263       3.68421
      0.417663      0.561109      0.131045      0.129879      0.158523     0.0340415   1.01014e-11   1.05005e-13       3.54686       1.77343      -1.77343       3.70359
       0.41711      0.560515        0.1305      0.129434      0.157802     0.0337834     7.038e-12   1.29819e-13       3.53262       1.76631      -1.76631       3.69038
      0.417974      0.561394      0.131369       0.13032      0.158735      0.034241   2.75277e-12   2.05365e-14       3.55309       1.77654      -1.77654       3.70877
      0.417327       0.56072      0.130704      0.129743      0.157909     0.0339169   3.09803e-12             0        3.5373       1.76865      -1.76865        3.6937
