            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
       0.33208       0.45963     0.0599398     0.0755088      0.110429    0.00929435             0             0       1.46297      0.731487     -0.731487       1.67038
      0.316104      0.433061     0.0663447     0.0888819      0.109712     0.0123016  -1.05364e-11   9.68165e-13       1.47479      0.737395     -0.737395        1.7046
        0.2809      0.380936     0.0676011     0.0901508       0.10587     0.0126971  -4.62999e-11  -1.58366e-14       1.25667      0.628333     -0.628333       1.37836
      0.241625      0.322193     0.0607243       0.09628      0.107014     0.0129573   3.25697e-11  -1.35777e-12      0.949923      0.474961     -0.474961       1.10972
      0.240994      0.323051     0.0594026     0.0909156      0.101494     0.0117943   6.53106e-14   -7.4671e-15      0.961869      0.480934     -0.480934       1.01427
      0.244859      0.328116     0.0606419      0.092598      0.103277     0.0122518  -4.68579e-11  -3.69559e-13       1.00658      0.503291     -0.503291       1.03775
        0.2515       0.33638      0.063441     0.0965793      0.107313     0.0133523   9.33908e-12   1.65746e-13       1.07654      0.538271     -0.538271       1.10035
       0.25429      0.339702     0.0649839     0.0985194      0.109235      0.013929  -4.07086e-11   5.94419e-13       1.11066      0.555328     -0.555328       1.12879
       0.25758      0.343736     0.0665925      0.100525      0.111204     0.0145398  -6.18702e-12  -2.33049e-13       1.15057      0.575287     -0.575287       1.16613
      0.254454       0.34002     0.0649344     0.0982999      0.108967     0.0138794  -5.14646e-11  -1.57138e-13       1.11705      0.558524     -0.558524       1.12875
      0.255961      0.341874     0.0656602     0.0992133      0.109877     0.0141545  -2.53888e-11  -3.60432e-13       1.13605      0.568025     -0.568025       1.14544
      0.257701      0.343976     0.0666049      0.100317      0.110924     0.0144997  -1.71146e-11    -3.026e-13       1.15704      0.578518     -0.578518       1.16471
      0.259709      0.346423      0.067628       0.10156      0.112136      0.014888  -3.34578e-12   2.94024e-13        1.1814      0.590698     -0.590698       1.18836
       0.25781      0.344155     0.0665562      0.100298      0.110901     0.0144895  -1.46453e-13    6.0562e-14       1.15894      0.579468     -0.579468       1.16579
      0.258698      0.345231     0.0670306      0.100854      0.111443     0.0146647   -8.3079e-14   9.92366e-14       1.16986      0.584928     -0.584928       1.17601
      0.257897      0.344293     0.0665394      0.100285      0.110895     0.0144847   2.27242e-12   1.71468e-13       1.15976      0.579881     -0.579881       1.16616
      0.259027      0.345664     0.0671263      0.100998      0.111597     0.0147065   5.33311e-12  -1.06518e-13       1.17327      0.586633     -0.586633       1.17962
      0.258462      0.344989     0.0668133      0.100619      0.111227     0.0145881   8.69677e-12  -1.99493e-13       1.16661      0.583303     -0.583303       1.17284
      0.258742      0.345329     0.0669608      0.100795        0.1114     0.0146433   8.52942e-12   -2.2946e-13       1.17001      0.585003     -0.585003       1.17614
      0.259035      0.345685     0.0671115      0.100976      0.111578     0.0147001   3.80372e-12  -2.34429e-13       1.17348      0.586741     -0.586741       1.17955
      0.258758      0.345353     0.0669594      0.100792      0.111399     0.0146427   7.74544e-12   -2.2615e-13       1.17023      0.585115     -0.585115       1.17623
