            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.415829      0.566636       0.11202       0.11047      0.148224     0.0247522             0             0       3.48413       1.74206      -1.74206       3.58325
      0.413977      0.564656      0.110479      0.108219      0.140094      0.023917  -4.12684e-12   3.85882e-13        3.4006        1.7003       -1.7003       3.41748
      0.416274      0.562851       0.12154      0.122452      0.153091     0.0297666  -6.38036e-11    1.7522e-12       3.50986       1.75493      -1.75493        3.6282
      0.415241      0.561049      0.122799      0.122453      0.151551     0.0300742  -4.91304e-11   9.17801e-13       3.42412       1.71206      -1.71206       3.58767
      0.414685      0.560457       0.12271      0.121483      0.150424     0.0298159   2.00884e-12   2.03987e-13       3.39573       1.69786      -1.69786       3.56587
      0.414399      0.559425      0.123426      0.123541      0.151922     0.0304964   1.82654e-11   3.03572e-13       3.42847       1.71423      -1.71423       3.57206
       0.41445      0.559524      0.123558      0.123299      0.151624     0.0304693   2.86383e-11   2.10266e-13       3.42378       1.71189      -1.71189       3.57503
      0.414712      0.559553       0.12407      0.124412      0.152507     0.0308718   2.93551e-11   2.64404e-13       3.44458       1.72229      -1.72229       3.58219
      0.414343      0.559242      0.123634      0.123785      0.151781     0.0306081   2.27997e-11   3.79964e-13       3.43998       1.71999      -1.71999       3.57361
      0.414646      0.559372      0.124196      0.124668      0.152432     0.0309667   1.31977e-11   1.96653e-13       3.46055       1.73028      -1.73028        3.5841
      0.414253      0.559027      0.123818      0.123973      0.151714     0.0307001   1.74428e-11   2.14082e-13       3.45152       1.72576      -1.72576       3.57559
      0.414966      0.559637      0.124621      0.125178      0.152715     0.0311999   1.32831e-11   1.93516e-13       3.47815       1.73907      -1.73907       3.59954
      0.414784      0.559484      0.124445      0.124833      0.152255     0.0310698   1.10138e-11   2.13812e-13       3.47412       1.73706      -1.73706       3.59345
      0.414541      0.559203      0.124355      0.124561      0.151862     0.0309797  -1.58038e-12   2.27874e-13       3.46871       1.73436      -1.73436       3.58387
      0.414194      0.558831      0.124119      0.124161      0.151301     0.0308216  -1.84422e-11   1.01987e-13       3.46019        1.7301       -1.7301       3.56969
      0.414674      0.559186      0.124701      0.125183      0.152213     0.0312211  -1.57289e-11   1.62312e-13       3.47715       1.73858      -1.73858       3.58009
      0.414421       0.55893      0.124562      0.124784      0.151792     0.0310867  -1.62151e-11   6.02568e-14        3.4665       1.73325      -1.73325       3.57152
      0.415282       0.55971      0.125571      0.125993       0.15292     0.0316424  -3.70013e-11   6.83312e-14       3.48561        1.7428       -1.7428       3.59061
      0.414974      0.559358      0.125424      0.125678      0.152612     0.0315262  -4.97141e-11    4.8346e-14       3.47812       1.73906      -1.73906       3.58176
      0.414699      0.559067      0.125208      0.125368      0.152311     0.0313944  -3.77201e-11     1.968e-13       3.47101        1.7355       -1.7355       3.57155
      0.415427      0.559697      0.126046      0.126537      0.153441     0.0318991  -3.30711e-11   2.45067e-13       3.49095       1.74547      -1.74547       3.59181
