            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.113224      0.154648      0.016772     0.0379747     0.0674718    0.00172338             0             0      0.314997      0.157498     -0.157498       0.32773
      0.141861      0.193896      0.025578     0.0447078      0.075763    0.00265302  -1.26917e-10  -1.17242e-13      0.464405      0.232203     -0.232203      0.547053
      0.108168      0.147691     0.0183445     0.0353779      0.059806    0.00158812    3.3834e-10   5.51112e-13      0.271193      0.135597     -0.135597      0.354909
      0.123912      0.168682     0.0224583      0.041836     0.0676784    0.00225462   2.20649e-10   5.46682e-13      0.362696      0.181348     -0.181348      0.438739
      0.106577      0.144379      0.019519     0.0386167     0.0606362    0.00187224  -2.13524e-10  -1.75002e-12      0.282136      0.141068     -0.141068      0.346628
      0.123392      0.167494     0.0232549     0.0430842      0.067759    0.00239704  -6.60677e-11   1.36545e-12      0.364988      0.182494     -0.182494       0.43416
      0.114219      0.154742     0.0215153     0.0410402     0.0637115    0.00214721  -1.61443e-10   5.53809e-13      0.321439      0.160719     -0.160719      0.381926
       0.11806      0.159988     0.0224347     0.0421534     0.0652125    0.00228023  -1.07207e-10   4.62997e-13      0.342611      0.171306     -0.171306      0.400855
      0.114003       0.15435     0.0216355     0.0412448     0.0635732    0.00216923  -8.09249e-11   5.16944e-13      0.323229      0.161614     -0.161614      0.379157
      0.115264      0.156083     0.0219052     0.0415905     0.0640847     0.0022096  -7.16107e-11   4.38907e-13      0.329921       0.16496      -0.16496      0.385499
      0.114006      0.154334     0.0216542     0.0413144     0.0636034    0.00217579   -7.3333e-11   3.93764e-13      0.323956      0.161978     -0.161978      0.378971
      0.115268      0.156072      0.021921      0.041649      0.064107    0.00221517  -7.69186e-11   2.61152e-13      0.330538      0.165269     -0.165269      0.385351
      0.114008      0.154322     0.0216687     0.0413639     0.0636171    0.00218051  -6.75141e-11   2.54374e-13      0.324456      0.162228     -0.162228      0.378838
       0.11527      0.156061     0.0219355     0.0416904     0.0641134    0.00221926  -6.86185e-11   3.62032e-13      0.330957      0.165478     -0.165478      0.385234
      0.114008       0.15431     0.0216842     0.0413984     0.0636155    0.00218403   -6.5026e-11   3.01564e-13      0.324788      0.162394     -0.162394      0.378725
      0.115268      0.156048     0.0219526     0.0417184     0.0641046    0.00222234  -6.38727e-11   2.47534e-13      0.331248      0.165624     -0.165624      0.385126
      0.114003      0.154294     0.0217026     0.0414204     0.0635993    0.00218665  -5.65924e-11   2.12901e-13      0.325028      0.162514     -0.162514      0.378611
       0.11526      0.156029     0.0219735     0.0417342     0.0640803    0.00222458  -6.02368e-11   1.37324e-13       0.33146       0.16573      -0.16573      0.384996
      0.113994      0.154275      0.021723     0.0414313       0.06357    0.00218844  -6.02886e-11   2.77576e-13      0.325218      0.162609     -0.162609      0.378466
      0.115246      0.156005     0.0219955     0.0417392     0.0640439    0.00222596  -5.44379e-11   3.02319e-13      0.331644      0.165822     -0.165822      0.384816
      0.113978      0.154248      0.021745     0.0414315     0.0635293    0.00218941  -5.94904e-11    2.6549e-13      0.325431      0.162716     -0.162716      0.378258
