label,t,I,D,E
lower_Re_attempt step 1 Re 350.277,0.0,1.7137440356203295,1.701669568188716,0.03792488900636277
lower_Re_attempt step 1 Re 350.277,0.3930536668608458,1.7136334688495878,1.7009021250917664,0.03791343399710845
lower_Re_attempt step 1 Re 350.277,0.7861073337216916,1.7135032511734596,1.7001231710539682,0.03790162622713474
lower_Re_attempt step 1 Re 350.277,1.1791610005825375,1.7133541424897878,1.6993358308694764,0.03788951260795005
lower_Re_attempt step 1 Re 350.277,1.5722146674433832,1.7131869591537034,1.6985432427691038,0.03787714063227859
lower_Re_attempt step 1 Re 350.277,1.9652683343042292,1.7130025671108273,1.6977485456200387,0.0378645581983854
lower_Re_attempt step 1 Re 350.277,2.358322001165075,1.7128018752835403,1.6969548661808362,0.03785181343851803
lower_Re_attempt step 1 Re 350.277,2.7513756680259207,1.7125858290495386,1.6961653071862672,0.03783895456242366
lower_Re_attempt step 1 Re 350.277,3.1444293348867665,1.7123554044066922,1.6953829354376213,0.037826029701695636
lower_Re_attempt step 1 Re 350.277,3.537483001747612,1.7121116021215694,1.6946107708494038,0.03781308677162274
lower_Re_attempt step 1 Re 350.277,3.9305366686084584,1.711855442635026,1.6938517752433966,0.03780017332701074
lower_Re_attempt step 1 Re 350.277,4.323590335469304,1.711587961534179,1.6931088431201986,0.03778733644876103
lower_Re_attempt step 1 Re 350.277,4.71664400233015,1.7113102047411035,1.692384790466119,0.03777462260184868
lower_Re_attempt step 1 Re 350.277,5.109697669190996,1.7110232257007694,1.6916823476089062,0.03776207754447104
lower_Re_attempt step 1 Re 350.277,5.502751336051841,1.7107280814684775,1.6910041488040368,0.03774974619967153
lower_Re_attempt step 1 Re 350.277,5.895805002912687,1.7104258297500103,1.6903527249730286,0.03773767255335346
lower_Re_attempt step 1 Re 350.277,6.288858669773533,1.7101175283176215,1.6897304971871348,0.037725899574982
lower_Re_attempt step 1 Re 350.277,6.681912336634379,1.7098042308225307,1.6891397671792425,0.03771446908358831
lower_Re_attempt step 1 Re 350.277,7.074966003495224,1.7094869867596507,1.6885827131405353,0.03770342168260621
lower_Re_attempt step 1 Re 350.277,7.468019670356071,1.70916684157515,1.6880613831730722,0.03769279666816223
lower_Re_attempt step 1 Re 350.277,7.861073337216917,1.7088448326067955,1.687577687899339,0.037682631904253736
lower_Re_attempt step 1 Re 350.277,8.254127004077763,1.7085219916303798,1.687133397875705,0.03767296377554602
lower_Re_attempt step 1 Re 350.277,8.647180670938608,1.708199344558772,1.6867301375933699,0.03766382708009191
lower_Re_attempt step 1 Re 350.277,9.040234337799454,1.7078779079033377,1.686369379866017,0.03765525491409565
lower_Re_attempt step 1 Re 350.277,9.4332880046603,1.7075586926269641,1.6860524443606855,0.0376472786315389
lower_Re_attempt step 1 Re 350.277,9.826341671521146,1.7072427032710926,1.6857804926361606,0.03763992772586677
lower_Re_attempt step 1 Re 350.277,10.219395338381991,1.7069309347899124,1.6855545236890581,0.037633229718263016
lower_Re_attempt step 1 Re 350.277,10.612449005242837,1.706624376262141,1.6853753734763641,0.037627210120443184
lower_Re_attempt step 1 Re 350.277,11.005502672103683,1.7063240096488843,1.6852437113621948,0.037621892313969924
lower_Re_attempt step 1 Re 350.277,11.398556338964529,1.706030806710531,1.6851600364468957,0.03761729743559548
lower_Re_attempt step 1 Re 350.277,11.791610005825374,1.705745731334941,1.685124677931337,0.03761344434365754
lower_Re_attempt step 1 Re 350.277,12.18466367268622,1.7054697379631938,1.685137793356045,0.03761034950775842
lower_Re_attempt step 1 Re 350.277,12.577717339547066,1.7052037684639407,1.6851993657100857,0.037608026886665716
lower_Re_attempt step 1 Re 350.277,12.970771006407912,1.7049487524257523,1.6853092043929028,0.037606487900667424
lower_Re_attempt step 1 Re 350.277,13.363824673268757,1.7047056047542337,1.6854669455512319,0.03760574134632339
lower_Re_attempt step 1 Re 350.277,13.756878340129603,1.7044752225608917,1.6856720504714755,0.037605793268624836
lower_Re_attempt step 1 Re 350.277,14.149932006990449,1.7042584837477945,1.6859238068192481,0.03760664694121676
lower_Re_attempt step 1 Re 350.277,14.542985673851295,1.7040562426780783,1.6862213310945284,0.037608302815969476
lower_Re_attempt step 1 Re 350.277,14.936039340712142,1.7038693270854757,1.686563569320586,0.03761075840628114
lower_Re_attempt step 1 Re 350.277,15.329093007572988,1.7036985362409751,1.68694929827734,0.03761400827334871
lower_Re_attempt step 1 Re 350.277,15.722146674433834,1.7035446337073419,1.6873771299349318,0.03761804400824419
lower_Re_attempt step 1 Re 350.277,16.115200341294678,1.7034083438848096,1.6878455150055853,0.03762285416346035
lower_Re_attempt step 1 Re 350.277,16.508254008155525,1.7032903506469694,1.688352745189738,0.03762842423416742
lower_Re_attempt step 1 Re 350.277,16.90130767501637,1.703191288830141,1.6888969584854503,0.03763473667645902
lower_Re_attempt step 1 Re 350.277,17.294361341877217,1.7031117382577943,1.689476145434052,0.037641770903395856
lower_Re_attempt step 1 Re 350.277,17.68741500873806,1.7030522230946405,1.6900881548128683,0.037649503284599914
lower_Re_attempt step 1 Re 350.277,18.080468675598908,1.7030132058473546,1.6907306983803516,0.037657907186908
lower_Re_attempt step 1 Re 350.277,18.473522342459752,1.7029950767911723,1.6914013588469776,0.03766695302786375
lower_Re_attempt step 1 Re 350.277,18.8665760093206,1.7029981537063426,1.6920976006938475,0.037676608348429105
lower_Re_attempt step 1 Re 350.277,19.259629676181444,1.7030226798280137,1.6928167745239917,0.03768683785353564
lower_Re_attempt step 1 Re 350.277,19.65268334304229,1.7030688119733683,1.6935561267125483,0.037697603523038505
lower_Re_attempt step 1 Re 350.277,20.04573700990314,1.7031366182241503,1.694312811450041,0.03770886474828828
lower_Re_attempt step 1 Re 350.277,20.438790676763983,1.7032260779894872,1.695083901040105,0.037720578446124156
lower_Re_attempt step 1 Re 350.277,20.83184434362483,1.703337076038502,1.6958663934175362,0.03773269916949392
lower_Re_attempt step 1 Re 350.277,21.224898010485674,1.7034693952317266,1.6966572238441824,0.03774517928505339
lower_Re_attempt step 1 Re 350.277,21.61795167734652,1.7036227187067112,1.6974532823826407,0.03775796922996584
lower_Re_attempt step 1 Re 350.277,22.011005344207366,1.7037966288584012,1.698251420253143,0.03777101759713767
lower_Re_attempt step 1 Re 350.277,22.404059011068213,1.7039906013799366,1.6990484621004083,0.037784271368770835
lower_Re_attempt step 1 Re 350.277,22.797112677929057,1.7042040069029714,1.6998412216846266,0.03779767619391561
lower_Re_attempt step 1 Re 350.277,23.190166344789905,1.7044361126312562,1.7006265172384762,0.037811176645545015
lower_Re_attempt step 1 Re 350.277,23.58322001165075,1.7046860818547227,1.701401179110762,0.0378247163664818
lower_Re_attempt step 1 Re 350.277,23.976273678511596,1.7049529751292374,1.7021620634385175,0.03783823837407444
lower_Re_attempt step 1 Re 350.277,24.36932734537244,1.7052357554443809,1.702906072261941,0.037851685450560675
lower_Re_attempt step 1 Re 350.277,24.762381012233288,1.705533289371364,1.7036301628960526,0.037865000308780115
lower_Re_attempt step 1 Re 350.277,25.15543467909413,1.7058443519149156,1.7043313590901237,0.03787812586727069
lower_Re_attempt step 1 Re 350.277,25.54848834595498,1.7061676342885868,1.7050067655194932,0.037891005582784146
lower_Re_attempt step 1 Re 350.277,25.941542012815823,1.7065017490270327,1.7056535870704397,0.03790358385578566
lower_Re_attempt step 1 Re 350.277,26.33459567967667,1.7068452327047998,1.7062691348414298,0.037915806147831306
lower_Re_attempt step 1 Re 350.277,26.727649346537515,1.7071965595990877,1.7068508386221515,0.037927619331623266
lower_Re_attempt step 1 Re 350.277,27.120703013398362,1.7075541505327727,1.7073962623036283,0.037938972037213615
lower_Re_attempt step 1 Re 350.277,27.513756680259206,1.7079163777866242,1.7079031174758612,0.03794981495366487
lower_Re_attempt step 1 Re 350.277,27.906810347120054,1.7082815728403211,1.708369269407711,0.03796010097914723
lower_Re_attempt step 1 Re 350.277,28.299864013980898,1.7086480449476777,1.7087927475293605,0.03796978552719863
lower_Re_attempt step 1 Re 350.277,28.692917680841745,1.7090140889716219,1.7091717600182186,0.03797882685348961
lower_Re_attempt step 1 Re 350.277,29.08597134770259,1.7093779901147599,1.7095047012200961,0.03798718622700107
lower_Re_attempt step 1 Re 350.277,29.479025014563437,1.7097380386784566,1.7097901571409624,0.03799482809524961
lower_Re_attempt step 1 Re 350.277,29.872078681424284,1.7100925457224565,1.7100269126791354,0.03800172028671366
lower_Re_attempt step 1 Re 350.277,30.265132348285128,1.7104398514777992,1.7102139621916206,0.038007834249879656
lower_Re_attempt step 1 Re 350.277,30.658186015145976,1.7107783297929358,1.7103505125122767,0.03801314513138436
lower_Re_attempt step 1 Re 350.277,31.05123968200682,1.7111064062680459,1.7104359854204414,0.03801763187449367
lower_Re_attempt step 1 Re 350.277,31.444293348867667,1.7114225679903425,1.710470021339638,0.03802127731451661
lower_Re_attempt step 1 Re 350.277,31.83734701572851,1.71172537209805,1.710452483725225,0.03802406827935989
lower_Re_attempt step 1 Re 350.277,32.230400682589355,1.7120134506247968,1.7103834589978286,0.03802599560846099
lower_Re_attempt step 1 Re 350.277,32.623454349450206,1.7122855245329034,1.710263253998495,0.03802705412509995
lower_Re_attempt step 1 Re 350.277,33.01650801631105,1.7125404094123275,1.710092395247429,0.038027242620665445
lower_Re_attempt step 1 Re 350.277,33.409561683171894,1.712777022718841,1.709871628007467,0.03802656384586373
lower_Re_attempt step 1 Re 350.277,33.80261535003274,1.7129943878996288,1.709601912139115,0.03802502444542976
lower_Re_attempt step 1 Re 350.277,34.19566901689359,1.7131916381312338,1.7092844148311845,0.038022634819894985
lower_Re_attempt step 1 Re 350.277,34.58872268375443,1.713368022726864,1.7089205044122198,0.038019408996580455
lower_Re_attempt step 1 Re 350.277,34.98177635061528,1.7135229109060701,1.7085117464332085,0.03801536457289587
lower_Re_attempt step 1 Re 350.277,35.37483001747612,1.7136557898808786,1.7080598937395948,0.038010522531742565
lower_Re_attempt step 1 Re 350.277,35.76788368433697,1.7137662625020713,1.7075668759112594,0.03800490704326007
lower_Re_attempt step 1 Re 350.277,36.160937351197816,1.7138540535282147,1.7070347886040311,0.037998545264278594
lower_Re_attempt step 1 Re 350.277,36.55399101805866,1.7139190088873792,1.7064658876560441,0.03799146725349538
lower_Re_attempt step 1 Re 350.277,36.947044684919504,1.7139610839159587,1.7058625737797568,0.03798370569047421
lower_Re_attempt step 1 Re 350.277,37.340098351780355,1.7139803435821337,1.705227379215346,0.037975295646867906
lower_Re_attempt step 1 Re 350.277,37.7331520186412,1.713976965070995,1.7045629569878753,0.03796627440773596
lower_Re_attempt step 1 Re 350.277,38.12620568550204,1.7139512289208767,1.7038720701164476,0.03795668130086939
lower_Re_attempt step 1 Re 350.277,38.51925935236289,1.7139035055228593,1.703157575829072,0.03794655743282919
lower_Re_attempt step 1 Re 350.277,38.91231301922374,1.7138342577101402,1.702422409030885,0.03793594543142639
lower_Re_attempt step 1 Re 350.277,39.30536668608458,1.7137440380256357,1.7016695750770114,0.03792488933847379
lower_Re_attempt step 20 Re 370.000,0.0,1.7135975512182153,1.7051177774182475,0.03702465699880216
lower_Re_attempt step 20 Re 370.000,0.36801403991912934,1.7122112636142313,1.7000902240623756,0.03694230691696625
lower_Re_attempt step 20 Re 370.000,0.7360280798382587,1.7107870029588188,1.6950709895053304,0.036861712093025974
lower_Re_attempt step 20 Re 370.000,1.104042119757388,1.7093427092351807,1.6900806555581316,0.03678313820780979
lower_Re_attempt step 20 Re 370.000,1.4720561596765174,1.7078947172628385,1.6851384176365078,0.0367068096851702
lower_Re_attempt step 20 Re 370.000,1.8400701995956468,1.7064575124985486,1.6802620529441072,0.03663291140075031
lower_Re_attempt step 20 Re 370.000,2.208084239514776,1.705043548692195,1.6754679214593313,0.03656159094253759
lower_Re_attempt step 20 Re 370.000,2.5760982794339053,1.703663129444568,1.6707709956615737,0.036492961334443415
lower_Re_attempt step 20 Re 370.000,2.9441123193530347,1.7023243536899266,1.6661849142117489,0.03642710413164248
lower_Re_attempt step 20 Re 370.000,3.312126359272164,1.7010331231035623,1.6617220543382558,0.03636407280468116
lower_Re_attempt step 20 Re 370.000,3.6801403991912935,1.6997932064586783,1.6573936171125068,0.03630389631345811
lower_Re_attempt step 20 Re 370.000,4.048154439110423,1.69860635550675,1.6532097215665211,0.03624658285937709
