step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,300.0,true,4.616723422271161e-13,0.2627265742777425,1.7043012956202852,1.7043012956202852,4,0.05313331442952527,0.05313331442952527,-0.03727856224514271,168.54687865539307,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0001_Re300.00000000.asc
2,299.0,true,5.0046100548458664e-12,0.2628861794620702,1.7043991352098429,1.7043991352098429,4,0.05311545555110973,0.05311545555110973,-0.037626656014232256,166.9876085933062,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0002_Re299.00000000.asc
3,298.0,true,5.07423798372633e-12,0.2630453706577416,1.7045014963919036,1.7045014963919036,2,0.05309625104561855,0.05309625104561855,-0.037968545040755176,165.48396311829327,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0003_Re298.00000000.asc
4,297.0,true,5.145062341527067e-12,0.2632041290145888,1.7046082271620735,1.7046082271620735,2,0.05307563625164771,0.05307563625164771,-0.03830434261025604,164.03323693896928,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0004_Re297.00000000.asc
5,296.0,true,5.217715406599122e-12,0.26336243635252143,1.7047191773006376,1.7047191773006376,2,0.053053546195784465,0.053053546195784465,-0.03863415724603901,162.63290712323675,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0005_Re296.00000000.asc
6,295.0,true,5.291841349314663e-12,0.26352027507500175,1.704834198210735,1.704834198210735,2,0.05302991558560874,0.05302991558560874,-0.03895809305284138,161.28061757687408,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0006_Re295.00000000.asc
7,294.0,true,5.3675559408561455e-12,0.2636776281486942,1.70495314290905,1.70495314290905,2,0.05300467880738072,0.05300467880738072,-0.03927625004878464,159.9741650329475,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0007_Re294.00000000.asc
8,293.0,true,5.445159417822735e-12,0.26383447908221114,1.705075866010424,1.705075866010424,2,0.05297776992191598,0.05297776992191598,-0.03958872446618035,158.71148646244345,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0008_Re293.00000000.asc
9,292.0,true,5.524504167620776e-12,0.2639908119039598,1.705202223706274,1.705202223706274,2,0.05294912265858705,0.05294912265858705,-0.0398956090243889,157.49064773866624,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0009_Re292.00000000.asc
10,291.0,true,5.605862595803157e-12,0.2641466111391164,1.7053320737369548,1.7053320737369548,2,0.05291867040741155,0.05291867040741155,-0.04019699317754819,156.3098334103513,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_down/states/xeq_step0010_Re291.00000000.asc
