step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,346.0,true,2.4359439052872727e-12,0.25541118601570817,1.7075575150703157,1.7075575150703157,4,0.05352675998813115,0.05352675998813115,-0.006538140421975126,961.0049496736689,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0001_Re346.00000000.asc
2,346.1,true,4.876148111506732e-16,0.255396634189313,1.7075872318527876,1.7075872318527876,4,0.05352857619960233,0.05352857619960233,-0.006305225359707985,996.504478227021,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0002_Re346.10000000.asc
3,346.20000000000005,true,2.4603616086427537e-16,0.25538209475685286,1.7076170709160445,1.7076170709160445,4,0.05353040296204428,0.05353040296204428,-0.0060634402607034985,1036.2409848251052,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0003_Re346.20000000.asc
4,346.30000000000007,true,4.866834801786749e-16,0.255367567784297,1.7076470323609463,1.7076470323609463,4,0.05353224030580948,0.05353224030580948,-0.005811678889318435,1081.1308447766714,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0004_Re346.30000000.asc
5,346.4000000000001,true,8.065501036044195e-16,0.2553530533181273,1.707677116314121,1.707677116314121,4,0.0535340882591763,0.0535340882591763,-0.005548584037463739,1132.3943666989378,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0005_Re346.40000000.asc
6,346.5000000000001,true,3.96947059227522e-16,0.2553385514048215,1.7077073229017707,1.7077073229017707,4,0.0535359468502867,0.0535359468502867,-0.005272460008289626,1191.6989976786638,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0006_Re346.50000000.asc
7,346.60000000000014,true,3.7222166084112975e-16,0.25532406209086267,1.707737652249726,1.707737652249726,4,0.05353781610715046,0.05353781610715046,-0.004981141181914537,1261.39474423903,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0007_Re346.60000000.asc
8,346.70000000000016,true,3.3262054367240475e-16,0.2553095854227321,1.7077681044834143,1.7077681044834143,4,0.05353969605764079,0.05353969605764079,-0.004671786641167544,1344.9212881026028,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0008_Re346.70000000.asc
9,346.8000000000002,true,3.62736282947347e-16,0.25529512144691136,1.707798679727837,1.707798679727837,4,0.05354158672949602,0.05354158672949602,-0.004340542611296473,1447.5575682236804,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0009_Re346.80000000.asc
10,346.9000000000002,true,3.0425520763527077e-16,0.2552806702098784,1.707829378107595,1.707829378107595,4,0.05354348815031988,0.05354348815031988,-0.003981950961907326,1577.9162946220677,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_1_2_5/restartable_eq_branch_up_refine_346_348/states/xeq_step0010_Re346.90000000.asc
