label,t,I,D,E
lower_Re_attempt step 1 Re 341.917,0.0,2.2093322936925572,2.1780146389273436,0.0606557424844476
lower_Re_attempt step 1 Re 341.917,0.19803212473776888,2.209377496881464,2.178033889593385,0.06065515871912915
lower_Re_attempt step 1 Re 341.917,0.39606424947553776,2.2094170306434,2.1780555468085305,0.06065477600598781
lower_Re_attempt step 1 Re 341.917,0.5940963742133066,2.2094507143617617,2.178079546798231,0.06065459626012994
lower_Re_attempt step 1 Re 341.917,0.7921284989510755,2.2094783899332358,2.1781058215078892,0.060654620518215824
lower_Re_attempt step 1 Re 341.917,0.9901606236888444,2.2094999227904917,2.178134298457387,0.06065484892973991
lower_Re_attempt step 1 Re 341.917,1.1881927484266133,2.209515202761975,2.1781649005183175,0.060655280752110824
lower_Re_attempt step 1 Re 341.917,1.3862248731643823,2.209524144940269,2.1781975457129135,0.060655914352327873
lower_Re_attempt step 1 Re 341.917,1.584256997902151,2.20952669027078,2.178232146890142,0.060656747210316775
lower_Re_attempt step 1 Re 341.917,1.78228912263992,2.209522806335572,2.1782686114762875,0.06065777593229381
lower_Re_attempt step 1 Re 341.917,1.9803212473776888,2.2095124875788428,2.178306841176528,0.06065899626294278
lower_Re_attempt step 1 Re 341.917,2.1783533721154575,2.209495755902367,2.1783467315751244,0.06066040310584199
lower_Re_attempt step 1 Re 341.917,2.3763854968532265,2.2094726607443596,2.1783881720443903,0.06066199055237208
lower_Re_attempt step 1 Re 341.917,2.5744176215909955,2.209443279142978,2.178431045293663,0.06066375190291867
lower_Re_attempt step 1 Re 341.917,2.7724497463287645,2.2094077157833407,2.178475227112333,0.06066567970427251
lower_Re_attempt step 1 Re 341.917,2.970481871066533,2.209366102660044,2.178520586469036,0.060667765792678824
lower_Re_attempt step 1 Re 341.917,3.168513995804302,2.2093185989224433,2.1785669850641813,0.06067000132250269
lower_Re_attempt step 1 Re 341.917,3.366546120542071,2.2092653900611676,2.1786142772451287,0.06067237681609805
lower_Re_attempt step 1 Re 341.917,3.56457824527984,2.209206687314164,2.1786623104055156,0.06067488222172186
lower_Re_attempt step 1 Re 341.917,3.7626103700176086,2.209142727404547,2.178710924709078,0.0606775069470261
lower_Re_attempt step 1 Re 341.917,3.9606424947553776,2.20907377075088,2.178759953194672,0.060680239916136545
lower_Re_attempt step 1 Re 341.917,4.158674619493146,2.2090001003216266,2.17880922236602,0.0606830696353769
lower_Re_attempt step 1 Re 341.917,4.356706744230915,2.2089220214542373,2.17885855254212,0.06068598424294751
lower_Re_attempt step 1 Re 341.917,4.554738868968684,2.2088398599112007,2.178907758012963,0.060688971557964405
lower_Re_attempt step 1 Re 341.917,4.752770993706453,2.208753959119076,2.178956647644163,0.06069201914458475
lower_Re_attempt step 1 Re 341.917,4.950803118444222,2.208664679850809,2.179005026110093,0.06069511438850392
lower_Re_attempt step 1 Re 341.917,5.148835243181991,2.208572399563239,2.1790526941743362,0.06069824453016275
lower_Re_attempt step 1 Re 341.917,5.34686736791976,2.208477508009002,2.179099449515139,0.06070139672993054
lower_Re_attempt step 1 Re 341.917,5.544899492657529,2.208380405716971,2.1791450879007304,0.06070455813422667
lower_Re_attempt step 1 Re 341.917,5.742931617395298,2.2082815036191636,2.179189404590228,0.06070771594026956
