step,Re,rank,eig_real,eig_imag
1,302.0,1,0.027566798035701463,-0.08908943960994407
1,302.0,2,0.027566798035701463,0.08908943960994407
1,302.0,3,0.018939335902652128,0.0
1,302.0,4,-0.02478743235418543,-0.7213225498459844
1,302.0,5,-0.02478743235418543,0.7213225498459844
1,302.0,6,-0.03411279726850022,-0.018261942876108866
1,302.0,7,-0.03411279726850022,0.018261942876108866
1,302.0,8,-0.03552174512798367,-0.23163409944409863
1,302.0,9,-0.03552174512798367,0.23163409944409863
1,302.0,10,-0.04823273126244687,-1.2060882955260146
1,302.0,11,-0.04823273126244687,1.2060882955260146
1,302.0,12,-0.06333762399757398,-0.8298532524283733
1,302.0,13,-0.06333762399757398,0.8298532524283733
1,302.0,14,-0.06546126741389212,-0.14907340842448172
1,302.0,15,-0.06546126741389212,0.14907340842448172
1,302.0,16,-0.06637471851761266,-0.5746920217692343
1,302.0,17,-0.06637471851761266,0.5746920217692343
1,302.0,18,-0.07247481658177246,-0.3090806254567731
1,302.0,19,-0.07247481658177246,0.3090806254567731
1,302.0,20,-0.0802353787235003,-0.04244222138014655
1,302.0,21,-0.0802353787235003,0.04244222138014655
1,302.0,22,-0.0827320796800334,-0.44575346076212524
1,302.0,23,-0.0827320796800334,0.44575346076212524
1,302.0,24,-0.08864349612029215,-0.16949339319744788
2,304.0,1,0.029228841161311785,-0.08818715144202369
2,304.0,2,0.029228841161311785,0.08818715144202369
2,304.0,3,0.01775093486530414,0.0
2,304.0,4,-0.023397298525633853,-0.7170264062181838
2,304.0,5,-0.023397298525633853,0.7170264062181838
2,304.0,6,-0.03419475665237591,-0.018925560725035265
2,304.0,7,-0.03419475665237591,0.018925560725035265
2,304.0,8,-0.035282126756811374,-0.22825572060715835
2,304.0,9,-0.035282126756811374,0.22825572060715835
2,304.0,10,-0.046461241889762916,-1.2034528831893403
2,304.0,11,-0.046461241889762916,1.2034528831893403
2,304.0,12,-0.06177601719998224,-0.8259688941083783
2,304.0,13,-0.06177601719998224,0.8259688941083783
2,304.0,14,-0.06326408948962636,-0.14893670893080257
2,304.0,15,-0.06326408948962636,0.14893670893080257
2,304.0,16,-0.06510082879776008,-0.5708303840141877
2,304.0,17,-0.06510082879776008,0.5708303840141877
2,304.0,18,-0.07133260136735206,-0.3066004245198086
