step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,302.0,true,5.9062411746661455e-15,0.29079551765032935,1.8375928433817084,1.8375928433817084,3,0.027566798035701463,0.027566798035701463,-0.08908943960994407,70.52671264617837,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0001_Re302.00000000.asc
2,304.0,true,5.608477803825709e-15,0.2921078590968962,1.8474159008853355,1.8474159008853355,3,0.029228841161311785,0.029228841161311785,-0.08818715144202369,71.24830776862433,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0002_Re304.00000000.asc
3,306.0,true,6.898802663839256e-15,0.29344288910729144,1.8575763144065873,1.8575763144065873,3,0.030872476814432767,0.030872476814432767,-0.08715596828051497,72.09127993342811,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0003_Re306.00000000.asc
4,308.0,true,5.58559623893437e-15,0.29479562068945575,1.8680343515528168,1.8680343515528168,3,0.03248316336117631,0.03248316336117631,-0.086001812639175,73.05875439557316,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0004_Re308.00000000.asc
5,310.0,true,6.26677383062644e-15,0.2961619704719271,1.8787529276911061,1.8787529276911061,3,0.03404619188606588,0.03404619188606588,-0.08472985174773927,74.1555092753627,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0005_Re310.00000000.asc
6,312.0,true,7.294967570625218e-15,0.29753972729040173,1.8897058888178067,1.8897058888178067,3,0.03554828108613226,0.03554828108613226,-0.08334280746168757,75.38965267120318,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0006_Re312.00000000.asc
7,314.0,true,5.137725978386039e-15,0.2989294463404137,1.9008862124068087,1.9008862124068087,3,0.0369786620088846,0.0369786620088846,-0.08183929693413178,76.77467356832986,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0007_Re314.00000000.asc
8,316.0,true,5.344663184322044e-15,0.30033529934604736,1.9123141045581817,1.9123141045581817,3,0.038329458298400496,0.038329458298400496,-0.08021208194517747,78.33215588985651,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0008_Re316.00000000.asc
9,318.0,true,7.299887203840646e-15,0.301766063050523,1.9240462233215059,1.9240462233215059,3,0.039595383592569804,0.039595383592569804,-0.07844582826864248,80.09585016633949,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0009_Re318.00000000.asc
10,320.0,true,1.160767903519562e-14,0.30323662556352576,1.9361889734325914,1.9361889734325914,3,0.0407728666053685,0.0407728666053685,-0.07651358715113152,82.11855620844027,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0010_Re320.00000000.asc
11,322.0,true,2.845922639342828e-14,0.3047707403709632,1.948921831421623,1.948921831421623,3,0.04185861624029119,0.04185861624029119,-0.0743704280909167,84.48499583058053,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0011_Re322.00000000.asc
12,324.0,true,8.908649570692125e-14,0.3064066009010791,1.962543769681568,1.962543769681568,3,0.042847265011790064,0.042847265011790064,-0.07194065572211406,87.33844922750932,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0012_Re324.00000000.asc
13,326.0,true,4.074439596880979e-13,0.30820924061830784,1.9775762644370454,1.9775762644370454,3,0.04372663089919699,0.04372663089919699,-0.06908910569271232,90.94321375536855,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0013_Re326.00000000.asc
14,328.0,true,2.7821665196212513e-12,0.310302063745538,1.9950263995282582,1.9950263995282582,3,0.0444650298634581,0.0444650298634581,-0.06554587395255387,95.8593566351368,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0014_Re328.00000000.asc
15,330.0,true,3.019324291484523e-11,0.31296515104868056,2.0172152910338292,2.0172152910338292,3,0.0449632655210698,0.0449632655210698,-0.060656362650613596,103.58658238990243,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0015_Re330.00000000.asc
16,332.0,true,3.3183247624678884e-15,0.3170241988363345,2.0511373524564886,2.0511373524564886,3,0.044754987667671546,0.044754987667671546,-0.052208923400583626,120.34696174388742,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0016_Re332.00000000.asc
17,334.0,true,2.6924760590510937e-15,0.3234238655619494,2.1059876875849315,2.1059876875849315,3,0.040829192115189636,0.040829192115189636,-0.03369053441534511,186.49705076562304,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0017_Re334.00000000.asc
18,336.0,true,1.1673765538164517e-12,0.32789681255844233,2.1464785889226707,2.1464785889226707,3,0.05723439665404079,0.016953814962417362,-0.02383202369363097,263.64464000003267,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0018_Re336.00000000.asc
19,338.0,true,1.6093032496891905e-15,0.33070566573580706,2.1732787599101453,2.1732787599101453,3,0.07122063854286853,0.010561795325672191,-0.028974222450983213,216.8543200014802,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0019_Re338.00000000.asc
20,340.0,true,8.793566740773539e-11,0.33281851302175736,2.1943019651679845,2.1943019651679845,3,0.0782747422273672,0.0076325197076337345,-0.03139309844707004,200.14543380524466,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0020_Re340.00000000.asc
21,342.0,true,9.403554771996198e-12,0.33456991225689053,2.212370108957313,2.212370108957313,5,0.08301466714754532,0.005668785358132903,-0.03280420979058347,191.53594454158107,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0021_Re342.00000000.asc
22,344.0,true,1.5269977241315896e-12,0.3361093470986917,2.228782049038424,2.228782049038424,5,0.0865643610768415,0.0043171222353333705,-0.3171895510656068,19.808929033352634,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0022_Re344.00000000.asc
23,346.0,true,3.3487003140013937e-13,0.3375200300260804,2.2442949381289985,2.2442949381289985,5,0.0893718508351113,0.007205933237246748,-0.3168988396070496,19.82710102369151,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch/states/xeq_step0023_Re346.00000000.asc
