step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,300.0,true,4.416884467289853e-11,0.2895107979926443,1.828142013044385,1.828142013044385,3,0.025899025854753645,0.025899025854753645,-0.08985776878443293,69.9236737365784,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0001_Re300.00000000.asc
2,301.0,true,6.893039027786957e-11,0.29014942038946706,1.8328190647781586,1.8328190647781586,3,0.0267329484799981,0.0267329484799981,-0.08949059544125655,70.21056543649883,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0002_Re301.00000000.asc
3,302.0,true,6.966439494324462e-11,0.2907955151983031,1.837592824542877,1.837592824542877,3,0.027566797436369916,0.027566797436369916,-0.08908944212797446,70.5267106528063,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0003_Re302.00000000.asc
4,303.0,true,7.009127276290759e-11,0.29144852960141493,1.8424598116715096,1.8424598116715096,3,0.028399265448415985,0.028399265448415985,-0.08865476416690737,70.87250602066283,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0004_Re303.00000000.asc
5,304.0,true,7.000771432415638e-11,0.29210785643186504,1.8474158801824379,1.8474158801824379,3,0.029228840539742198,0.029228840539742198,-0.08818715441098376,71.24830536993733,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0005_Re304.00000000.asc
6,305.0,true,6.922409305483975e-11,0.2927728565603288,1.852456367546751,1.852456367546751,3,0.030053843654669,0.030053843654669,-0.08768730684356059,71.65444502006619,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0006_Re305.00000000.asc
7,306.0,true,6.758826521480831e-11,0.2934428863155739,1.8575762925188966,1.8575762925188966,3,0.030872476208064676,0.030872476208064676,-0.08715597160416916,72.09127718425924,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0007_Re306.00000000.asc
8,307.0,true,6.503594102862897e-11,0.29411732737398927,1.8627705836729076,1.8627705836729076,3,0.03168287388728089,0.03168287388728089,-0.08659390490328923,72.55920972956287,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0008_Re307.00000000.asc
9,308.0,true,6.162656223657748e-11,0.29479561786366476,1.8680343292647938,1.8680343292647938,3,0.03248316280017299,0.03248316280017299,-0.08600181616378103,73.05875140141167,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0009_Re308.00000000.asc
10,309.0,true,5.7625936032210645e-11,0.2954772834843151,1.873363038541497,1.873363038541497,3,0.03327151383275656,0.03327151383275656,-0.08538031441080446,73.59056183546309,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0010_Re309.00000000.asc
11,310.0,true,5.3592092837893395e-11,0.29616196767909153,1.878752905621707,1.878752905621707,3,0.03404619138472641,0.03404619138472641,-0.08472985530280613,74.1555061639707,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0011_Re310.00000000.asc
12,311.0,true,5.0499156698273604e-11,0.2968494602800421,1.8842010694829088,1.8842010694829088,3,0.03480559340182525,0.03480559340182525,-0.08405068935110531,74.754714752342,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0012_Re311.00000000.asc
13,312.0,true,4.9804388088470164e-11,0.2975397245444707,1.8897058671533529,1.8897058671533529,3,0.03554828065016033,0.03554828065016033,-0.08334281091369297,75.38964954861245,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0013_Re312.00000000.asc
14,313.0,true,5.3203141852405994e-11,0.29823292305937654,1.8952670815941504,1.8952670815941504,3,0.036272994274581014,0.036272994274581014,-0.08260590654281136,76.06217969320706,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0014_Re313.00000000.asc
15,314.0,true,6.208225322653278e-11,0.29892944358479234,1.9008861906947987,1.9008861906947987,3,0.03697866166220197,0.03697866166220197,-0.0818393002363264,76.77467047049161,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0015_Re314.00000000.asc
16,315.0,true,7.739579721243734e-11,0.2996299265295747,1.9065666292070858,1.9065666292070858,3,0.037664391353485545,0.037664391353485545,-0.08104189204324855,77.530091521389,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/restartable_eq_branch_up/states/xeq_step0016_Re315.00000000.asc
