label,t,I,D,E
lower_Re_attempt step 1 Re 410.251,0.0,1.6974153278299806,1.6723971526702832,0.04097356467385827
lower_Re_attempt step 1 Re 410.251,0.06236487407957189,1.6974279066159952,1.6724203272113862,0.04097327523001957
lower_Re_attempt step 1 Re 410.251,0.12472974815914378,1.6974405062244697,1.672443270361677,0.04097297179114998
lower_Re_attempt step 1 Re 410.251,0.18709462223871567,1.6974531447522505,1.672465966688043,0.040972654734911004
lower_Re_attempt step 1 Re 410.251,0.24945949631828757,1.6974658393768207,1.6724884022347308,0.040972324445225694
lower_Re_attempt step 1 Re 410.251,0.3118243703978595,1.69747860620747,1.6725105645046887,0.04097198131159711
lower_Re_attempt step 1 Re 410.251,0.37418924447743135,1.6974914601599926,1.672532442439314,0.04097162572844695
lower_Re_attempt step 1 Re 410.251,0.43655411855700327,1.697504414854085,1.672554026379901,0.040971258094580854
lower_Re_attempt step 1 Re 410.251,0.49891899263657513,1.6975174824681964,1.6725753080338905,0.040970878812549225
lower_Re_attempt step 1 Re 410.251,0.561283866716147,1.6975306736293587,1.6725962804405554,0.04097048828805841
lower_Re_attempt step 1 Re 410.251,0.623648740795719,1.6975439973358568,1.6726169379167604,0.04097008692950919
lower_Re_attempt step 1 Re 410.251,0.6860136148752908,1.697557460861986,1.672637275990859,0.040969675147544134
lower_Re_attempt step 1 Re 410.251,0.7483784889548627,1.6975710696161657,1.6726572913698856,0.04096925335444469
lower_Re_attempt step 1 Re 410.251,0.8107433630344346,1.697584827105205,1.672676981873526,0.040968821963768554
lower_Re_attempt step 1 Re 410.251,0.8731082371140065,1.6975987348716202,1.6726963463607094,0.040968381389965745
lower_Re_attempt step 1 Re 410.251,0.9354731111935783,1.6976127924218194,1.6727153846391132,0.040967932048060214
lower_Re_attempt step 1 Re 410.251,0.9978379852731503,1.6976269971507858,1.6727340974214229,0.040967474353219784
lower_Re_attempt step 1 Re 410.251,1.0602028593527222,1.697641344301722,1.6727524862562873,0.04096700872047493
lower_Re_attempt step 1 Re 410.251,1.122567733432294,1.6976558269630355,1.6727705534307784,0.040966535564458624
lower_Re_attempt step 1 Re 410.251,1.184932607511866,1.6976704360224597,1.6727883018855896,0.040966055299205995
lower_Re_attempt step 1 Re 410.251,1.247297481591438,1.697685160158865,1.6728057351034669,0.040965568337959474
lower_Re_attempt step 1 Re 410.251,1.3096623556710096,1.6976999858462338,1.6728228570792945,0.040965075092955085
lower_Re_attempt step 1 Re 410.251,1.3720272297505816,1.6977148973511778,1.6728396722283205,0.04096457597530638
lower_Re_attempt step 1 Re 410.251,1.4343921038301535,1.6977298767351652,1.6728561852742119,0.04096407139483277
lower_Re_attempt step 1 Re 410.251,1.4967569779097254,1.6977449039151444,1.6728724011671563,0.04096356176004085
lower_Re_attempt step 1 Re 410.251,1.5591218519892973,1.6977599566504318,1.6728883249476878,0.04096304747812013
lower_Re_attempt step 1 Re 410.251,1.6214867260688692,1.6977750106771485,1.6729039617204313,0.04096252895484599
lower_Re_attempt step 1 Re 410.251,1.6838516001484412,1.697790039753333,1.672919316583074,0.040962006594626704
lower_Re_attempt step 1 Re 410.251,1.746216474228013,1.6978050156589406,1.6729343945174167,0.04096148080047622
lower_Re_attempt step 1 Re 410.251,1.808581348307585,1.6978199082418206,1.672949200283807,0.04096095197395879
lower_Re_attempt step 1 Re 410.251,1.8709462223871567,1.6978346856363338,1.67296373834762,0.04096042051549732
lower_Re_attempt step 1 Re 410.251,1.9333110964667286,1.697849314215349,1.6729780127479248,0.04095988682436064
lower_Re_attempt step 1 Re 410.251,1.9956759705463005,1.6978637589057268,1.672992027112152,0.04095935129869856
lower_Re_attempt step 1 Re 410.251,2.0580408446258724,1.6978779832238413,1.6730057845784767,0.04095881433570956
lower_Re_attempt step 1 Re 410.251,2.1204057187054444,1.6978919492755784,1.673019287699348,0.04095827633173534
lower_Re_attempt step 1 Re 410.251,2.1827705927850163,1.6979056178208953,1.6730325383494895,0.040957737682292765
lower_Re_attempt step 1 Re 410.251,2.245135466864588,1.697918948709641,1.6730455376850641,0.04095719878243742
lower_Re_attempt step 1 Re 410.251,2.30750034094416,1.6979319007113256,1.6730582860123113,0.04095666002700623
lower_Re_attempt step 1 Re 410.251,2.369865215023732,1.69794443199419,1.6730707828385116,0.0409561218103982
lower_Re_attempt step 1 Re 410.251,2.432230089103304,1.697956500206542,1.673083026829263,0.04095558452684207
lower_Re_attempt step 1 Re 410.251,2.494594963182876,1.6979680624767532,1.6730950157423456,0.040955048570631446
lower_Re_attempt step 1 Re 410.251,2.556959837262448,1.6979790754167756,1.6731067463559701,0.04095451433628377
lower_Re_attempt step 1 Re 410.251,2.6193247113420193,1.6979894956424577,1.6731182144613053,0.04095398221846657
lower_Re_attempt step 1 Re 410.251,2.681689585421591,1.697999279761931,1.6731294147681335,0.04095345261286087
lower_Re_attempt step 1 Re 410.251,2.744054459501163,1.6980083846307539,1.6731403409379655,0.04095292591557513
lower_Re_attempt step 1 Re 410.251,2.806419333580735,1.6980167676947509,1.6731509856258178,0.040952402523084984
lower_Re_attempt step 1 Re 410.251,2.868784207660307,1.6980243869900136,1.6731613404579952,0.04095188283260401
lower_Re_attempt step 1 Re 410.251,2.931149081739879,1.6980312011428995,1.6731713960046473,0.040951367242375095
lower_Re_attempt step 1 Re 410.251,2.993513955819451,1.6980371694660836,1.6731811417587266,0.04095085615172294
lower_Re_attempt step 1 Re 410.251,3.0558788298990227,1.6980422526985928,1.6731905661725683,0.040950349960667765
lower_Re_attempt step 1 Re 410.251,3.1182437039785946,1.6980464126241612,1.6731996565952094,0.04094984907117812
lower_Re_attempt step 1 Re 410.251,3.1806085780581665,1.6980496126387603,1.6732083993984164,0.040949353885549655
lower_Re_attempt step 1 Re 410.251,3.2429734521377385,1.6980518178766113,1.6732167800237017,0.04094886480657751
lower_Re_attempt step 1 Re 410.251,3.3053383262173104,1.6980529952101848,1.6732247830065128,0.04094838223795249
lower_Re_attempt step 1 Re 410.251,3.3677032002968823,1.698053113250201,1.6732323919952292,0.040947906584569524
lower_Re_attempt step 1 Re 410.251,3.4300680743764542,1.6980521425164103,1.6732395897810008,0.04094743825221843
lower_Re_attempt step 1 Re 410.251,3.492432948456026,1.6980500560880298,1.673246358353211,0.04094697764685851
lower_Re_attempt step 1 Re 410.251,3.554797822535598,1.6980468292002866,1.6732526789126712,0.040946525176082604
