label,t,I,D,E
natural step 1 Re 410.251,0.0,1.6974153308961089,1.672397155543639,0.04097356482901055
natural step 1 Re 410.251,0.06236488788074473,1.6974279096926874,1.6724203300992855,0.04097327538496155
natural step 1 Re 410.251,0.12472977576148946,1.6974405093112255,1.672443273263735,0.04097297194586944
natural step 1 Re 410.251,0.18709466364223418,1.6974531478486463,1.6724659696038615,0.04097265488939619
natural step 1 Re 410.251,0.2494595515229789,1.69746584248251,1.6724884051638997,0.040972324599465426
natural step 1 Re 410.251,0.3118244394037236,1.6974786093221768,1.6725105674467926,0.04097198146558058
natural step 1 Re 410.251,0.37418932728446835,1.6974914632835016,1.672532445393931,0.040971625882163874
natural step 1 Re 410.251,0.4365542151652131,1.6975044179862455,1.6725540293466061,0.04097125824802139
natural step 1 Re 410.251,0.4989191030459578,1.6975174856089106,1.67257531101226,0.040970878965704054
natural step 1 Re 410.251,0.5612839909267026,1.6975306767785816,1.6725962834301686,0.04097048844091869
natural step 1 Re 410.251,0.6236488788074472,1.6975440004935907,1.6726169409171994,0.040970087082066516
natural step 1 Re 410.251,0.686013766688192,1.697557464028275,1.6726372790017128,0.040969675299790655
natural step 1 Re 410.251,0.7483786545689367,1.697571072791085,1.6726572943907547,0.040969253506372955
natural step 1 Re 410.251,0.8107435424496815,1.6975848302888656,1.672676984904021,0.040968822115371534
natural step 1 Re 410.251,0.8731084303304262,1.697598738064157,1.6726963494004519,0.04096838154123698
natural step 1 Re 410.251,0.935473318211171,1.6976127956233906,1.6727153876877363,0.04096793219899364
natural step 1 Re 410.251,0.9978382060919156,1.697627000361556,1.672734100478579,0.04096747450380982
natural step 1 Re 410.251,1.0602030939726603,1.697641347521868,1.6727524893216472,0.04096700887071643
natural step 1 Re 410.251,1.1225679818534051,1.6976558301927445,1.6727705565040298,0.04096653571434682
natural step 1 Re 410.251,1.18493286973415,1.697670439261913,1.6727883049664314,0.04096605544873661
natural step 1 Re 410.251,1.2472977576148945,1.697685163408243,1.672805738191617,0.040965568487128685
natural step 1 Re 410.251,1.3096626454956393,1.6976999891057056,1.6728228601744979,0.04096507524175942
natural step 1 Re 410.251,1.372027533376384,1.6977149006208936,1.6728396753303427,0.04096457612374286
natural step 1 Re 410.251,1.4343924212571288,1.6977298800152487,1.6728561883828355,0.04096407154289873
natural step 1 Re 410.251,1.4967573091378734,1.697744907205697,1.67287240428218,0.040963561907734085
natural step 1 Re 410.251,1.5591221970186182,1.6977599599515216,1.672888328068919,0.04096304762543884
natural step 1 Re 410.251,1.621487084899363,1.6977750139888246,1.6729039648477078,0.04096252910178875
natural step 1 Re 410.251,1.6838519727801076,1.6977900430756045,1.6729193197162564,0.040962006741192464
natural step 1 Re 410.251,1.7462168606608524,1.6978050189917548,1.6729343976563802,0.04096148094666431
natural step 1 Re 410.251,1.8085817485415971,1.6978199115850885,1.6729492034284426,0.04096095211976895
natural step 1 Re 410.251,1.870946636422342,1.6978346889899005,1.6729637414978162,0.04096042066092963
natural step 1 Re 410.251,1.9333115243030865,1.6978493175790226,1.6729780159035839,0.04095988696941556
natural step 1 Re 410.251,1.9956764121838313,1.6978637622792907,1.6729920302731998,0.04095935144337694
natural step 1 Re 410.251,2.058041300064576,1.6978779866070144,1.6730057877448552,0.0409588144800126
