label,t,I,D,E
lower_Re_attempt step 1 Re 428.191,0.0,1.664667494759356,1.6451686390324962,0.03873919726788292
lower_Re_attempt step 1 Re 428.191,0.04458742468139366,1.6647171644626257,1.6451228151042216,0.038739413883797015
lower_Re_attempt step 1 Re 428.191,0.08917484936278731,1.6647658324599146,1.645076788628178,0.038739639094143206
lower_Re_attempt step 1 Re 428.191,0.13376227404418095,1.6648133249294124,1.6450305990893734,0.03873987235652821
lower_Re_attempt step 1 Re 428.191,0.17834969872557463,1.664859463607747,1.6449842892598179,0.03874011309392443
lower_Re_attempt step 1 Re 428.191,0.22293712340696828,1.6649040665049433,1.6449379051755502,0.038740360696728114
lower_Re_attempt step 1 Re 428.191,0.2675245480883619,1.6649469485696589,1.6448914960847647,0.038740614524560915
lower_Re_attempt step 1 Re 428.191,0.3121119727697556,1.664987922531671,1.6448451143936544,0.038740873908844356
lower_Re_attempt step 1 Re 428.191,0.35669939745114926,1.6650267995223174,1.6447988155983366,0.03874113815474308
lower_Re_attempt step 1 Re 428.191,0.4012868221325429,1.6650633899259055,1.6447526581686507,0.0387414065434969
lower_Re_attempt step 1 Re 428.191,0.44587424681393656,1.6650975042537335,1.6447067034766816,0.03874167833561353
lower_Re_attempt step 1 Re 428.191,0.4904616714953302,1.665128953697558,1.6446610156720347,0.03874195277265674
lower_Re_attempt step 1 Re 428.191,0.5350490961767238,1.6651575510852947,1.644615661505601,0.03874222907984282
lower_Re_attempt step 1 Re 428.191,0.5796365208581176,1.6651831118553098,1.6445707102287899,0.03874250646993679
lower_Re_attempt step 1 Re 428.191,0.6242239455395112,1.665205454466118,1.6445262334440196,0.03874278414498651
lower_Re_attempt step 1 Re 428.191,0.6688113702209049,1.665224401383968,1.6444823048741073,0.038743061299007474
lower_Re_attempt step 1 Re 428.191,0.7133987949022985,1.6652397800212575,1.6444390001768383,0.03874333712136887
lower_Re_attempt step 1 Re 428.191,0.7579862195836922,1.6652514234886489,1.6443963968172342,0.03874361080052002
lower_Re_attempt step 1 Re 428.191,0.8025736442650858,1.665259170929079,1.644354573831339,0.03874388152529868
lower_Re_attempt step 1 Re 428.191,0.8471610689464795,1.6652628687176294,1.6443136115342765,0.03874414848818339
lower_Re_attempt step 1 Re 428.191,0.8917484936278731,1.6652623712108463,1.644273591318925,0.03874441088878578
lower_Re_attempt step 1 Re 428.191,0.9363359183092668,1.6652575414009865,1.644234595495279,0.038744667937570317
lower_Re_attempt step 1 Re 428.191,0.9809233429906604,1.6652482511214277,1.6441967070104142,0.038744918856887814
lower_Re_attempt step 1 Re 428.191,1.025510767672054,1.6652343822640583,1.6441600091149517,0.038745162884373074
lower_Re_attempt step 1 Re 428.191,1.0700981923534476,1.6652158273207471,1.6441245851034514,0.03874539927560357
lower_Re_attempt step 1 Re 428.191,1.1146856170348414,1.665192490031224,1.6440905181554704,0.03874562730850304
lower_Re_attempt step 1 Re 428.191,1.1592730417162351,1.6651642854517588,1.6440578910564028,0.03874584628426513
lower_Re_attempt step 1 Re 428.191,1.2038604663976287,1.6651311407618166,1.6440267858480024,0.038746055529940766
lower_Re_attempt step 1 Re 428.191,1.2484478910790224,1.6650929959856464,1.6439972834838432,0.038746254400497795
lower_Re_attempt step 1 Re 428.191,1.293035315760416,1.6650498043064426,1.643969463658128,0.03874644228276765
lower_Re_attempt step 1 Re 428.191,1.3376227404418097,1.6650015322552467,1.6439434045842554,0.03874661859754799
lower_Re_attempt step 1 Re 428.191,1.3822101651232033,1.6649481598059812,1.643919182670436,0.03874678280039853
lower_Re_attempt step 1 Re 428.191,1.426797589804597,1.6648896812766396,1.6438968721450506,0.038746934384178894
lower_Re_attempt step 1 Re 428.191,1.4713850144859906,1.6648261054250182,1.643876544776718,0.038747072880431374
lower_Re_attempt step 1 Re 428.191,1.5159724391673843,1.6647574554438456,1.6438582697274557,0.038747197862530364
lower_Re_attempt step 1 Re 428.191,1.5605598638487779,1.6646837689880505,1.643842113319613,0.03874730894685117
lower_Re_attempt step 1 Re 428.191,1.6051472885301716,1.6646050982428295,1.6438281387126605,0.03874740579339037
lower_Re_attempt step 1 Re 428.191,1.6497347132115652,1.664521510510163,1.6438164055417297,0.03874748810719306
lower_Re_attempt step 1 Re 428.191,1.694322137892959,1.6644330878749112,1.6438069697107052,0.038747555639231185
lower_Re_attempt step 1 Re 428.191,1.7389095625743525,1.6643399268182222,1.6437998832726963,0.038747608188122444
lower_Re_attempt step 1 Re 428.191,1.7834969872557462,1.6642421382132309,1.6437951942373763,0.03874764560105014
lower_Re_attempt step 1 Re 428.191,1.8280844119371398,1.6641398472265492,1.6437929462860401,0.03874766777378239
lower_Re_attempt step 1 Re 428.191,1.8726718366185335,1.6640331934674868,1.6437931784474444,0.03874767465067791
lower_Re_attempt step 1 Re 428.191,1.917259261299927,1.6639223304065673,1.6437959249619656,0.0387476662249206
lower_Re_attempt step 1 Re 428.191,1.9618466859813208,1.6638074245358374,1.643801215215642,0.038747642538676436
lower_Re_attempt step 1 Re 428.191,2.0064341106627146,1.663688655352558,1.6438090736259228,0.038747603683914604
lower_Re_attempt step 1 Re 428.191,2.051021535344108,1.6635662151176627,1.6438195194322731,0.038747549801886806
lower_Re_attempt step 1 Re 428.191,2.0956089600255017,1.6634403084458675,1.643832566418608,0.03874748108129465
lower_Re_attempt step 1 Re 428.191,2.140196384706895,1.663311151771632,1.6438482228521623,0.03874739775822126
lower_Re_attempt step 1 Re 428.191,2.184783809388289,1.6631789719109027,1.6438664914906176,0.03874730011437684
lower_Re_attempt step 1 Re 428.191,2.2293712340696827,1.6630440060038316,1.6438873695716683,0.038747188477769506
lower_Re_attempt step 1 Re 428.191,2.2739586587510763,1.6629065012923248,1.643910848713438,0.03874706322215082
lower_Re_attempt step 1 Re 428.191,2.3185460834324703,1.6627667140541789,1.643936914693985,0.038746924763006216
lower_Re_attempt step 1 Re 428.191,2.363133508113864,1.662624909398544,1.6439655474577328,0.038746773557648335
lower_Re_attempt step 1 Re 428.191,2.4077209327952573,1.6624813591816638,1.643996721207779,0.03874661010136227
lower_Re_attempt step 1 Re 428.191,2.452308357476651,1.66233634179397,1.64403040450976,0.03874643492761381
lower_Re_attempt step 1 Re 428.191,2.496895782158045,1.6621901420807492,1.644066560321782,0.03874624860787417
lower_Re_attempt step 1 Re 428.191,2.5414832068394384,1.6620430498518028,1.6441051458636862,0.0387460517461775
lower_Re_attempt step 1 Re 428.191,2.586070631520832,1.6618953598569717,1.6441461126528658,0.03874584497869796
lower_Re_attempt step 1 Re 428.191,2.6306580562022255,1.6617473694724842,1.6441894066943818,0.03874562896884309
lower_Re_attempt step 1 Re 428.191,2.6752454808836195,1.6615993780435772,1.6442349686920434,0.038745404406167
lower_Re_attempt step 1 Re 428.191,2.719832905565013,1.661451686884494,1.6442827342052326,0.03874517200641782
lower_Re_attempt step 1 Re 428.191,2.7644203302464065,1.6613045981635417,1.6443326336635409,0.03874493250724328
lower_Re_attempt step 1 Re 428.191,2.8090077549278,1.6611584140479658,1.644384592369925,0.03874468666417377
lower_Re_attempt step 1 Re 428.191,2.853595179609194,1.6610134354200325,1.6444385307962706,0.03874443524810982
lower_Re_attempt step 1 Re 428.191,2.8981826042905876,1.6608699602405022,1.6444943648802446,0.03874417904134943
lower_Re_attempt step 1 Re 428.191,2.942770028971981,1.6607282835465276,1.6445520062956198,0.0387439188376485
lower_Re_attempt step 1 Re 428.191,2.9873574536533747,1.6605886970768395,1.644611362620306,0.038743655440330524
lower_Re_attempt step 1 Re 428.191,3.0319448783347687,1.660451487527359,1.6446723373448062,0.0387433896548875
lower_Re_attempt step 1 Re 428.191,3.076532303016162,1.6603169365086694,1.6447348301718447,0.038743122288936706
lower_Re_attempt step 1 Re 428.191,3.1211197276975557,1.6601853182236805,1.6447987374100337,0.03874285414625931
lower_Re_attempt step 1 Re 428.191,3.1657071523789493,1.6600568992437588,1.6448639523328161,0.03874258602625743
lower_Re_attempt step 1 Re 428.191,3.2102945770603433,1.6599319384933326,1.6449303654542344,0.03874231872332555
lower_Re_attempt step 1 Re 428.191,3.254882001741737,1.6598106859104014,1.6449978646517214,0.03874205302081423
lower_Re_attempt step 1 Re 428.191,3.2994694264231303,1.6596933822175846,1.6450663353298485,0.03874178968857286
lower_Re_attempt step 1 Re 428.191,3.344056851104524,1.6595802574113838,1.6451356608999825,0.03874152947938144
lower_Re_attempt step 1 Re 428.191,3.388644275785918,1.659471529851389,1.6452057232091946,0.0387412731264705
lower_Re_attempt step 1 Re 428.191,3.4332317004673114,1.6593674062602786,1.6452764028814753,0.038741021343103296
lower_Re_attempt step 1 Re 428.191,3.477819125148705,1.6592680814450878,1.6453475795575563,0.03874077482041494
lower_Re_attempt step 1 Re 428.191,3.522406549830099,1.6591737372426407,1.645419131996219,0.038740534221210994
lower_Re_attempt step 1 Re 428.191,3.5669939745114925,1.6590845425351524,1.6454909384393703,0.03874030017989286
lower_Re_attempt step 1 Re 428.191,3.611581399192886,1.6590006518382403,1.6455628771459625,0.038740073298897164
lower_Re_attempt step 1 Re 428.191,3.6561688238742795,1.6589222051896064,1.6456348267729155,0.03873985414817948
lower_Re_attempt step 1 Re 428.191,3.7007562485556735,1.6588493281481398,1.6457066666521347,0.038739643264341476
lower_Re_attempt step 1 Re 428.191,3.745343673237067,1.658782131413049,1.6457782769780325,0.03873944114714788
lower_Re_attempt step 1 Re 428.191,3.7899310979184606,1.6587207107820718,1.6458495389174732,0.03873924825672127
lower_Re_attempt step 1 Re 428.191,3.834518522599854,1.6586651466470985,1.6459203351426162,0.03873906501310322
lower_Re_attempt step 1 Re 428.191,3.879105947281248,1.6586155035913992,1.6459905502894718,0.03873889179531024
lower_Re_attempt step 1 Re 428.191,3.9236933719626417,1.6585718303896255,1.6460600712408673,0.03873872894084207
lower_Re_attempt step 1 Re 428.191,3.968280796644035,1.6585341600310963,1.646128787313617,0.03873857674448614
lower_Re_attempt step 1 Re 428.191,4.012868221325429,1.6585025100536828,1.6461965903847657,0.03873843545603885
lower_Re_attempt step 1 Re 428.191,4.057455646006822,1.6584768825531295,1.6462633750383058,0.03873830527921507
lower_Re_attempt step 1 Re 428.191,4.102043070688216,1.658457264153229,1.6463290391594962,0.03873818637301934
lower_Re_attempt step 1 Re 428.191,4.14663049536961,1.6584436260269895,1.646393484239011,0.03873807885183513
lower_Re_attempt step 1 Re 428.191,4.191217920051003,1.6584359238966375,1.646456615529777,0.038737982784730916
lower_Re_attempt step 1 Re 428.191,4.235805344732397,1.6584340984082555,1.646518342147862,0.038737898194907826
lower_Re_attempt step 1 Re 428.191,4.28039276941379,1.6584380762284283,1.646578577100199,0.03873782505937355
lower_Re_attempt step 1 Re 428.191,4.324980194095184,1.6584477698388662,1.6466372375119593,0.038737763309101204
lower_Re_attempt step 1 Re 428.191,4.369567618776578,1.6584630782570526,1.6466942451329758,0.03873771283259761
lower_Re_attempt step 1 Re 428.191,4.4141550434579715,1.658483887069986,1.646749526473728,0.03873767347592011
lower_Re_attempt step 1 Re 428.191,4.4587424681393655,1.6585100684347998,1.6468030128183049,0.038737645041904245
lower_Re_attempt step 1 Re 428.191,4.5033298928207595,1.6585414823832887,1.6468546402684803,0.038737627291950974
lower_Re_attempt step 1 Re 428.191,4.547917317502153,1.6585779777347371,1.6469043496109528,0.03873761994566002
lower_Re_attempt step 1 Re 428.191,4.5925047421835465,1.6586193924047872,1.6469520866632974,0.038737622684125714
lower_Re_attempt step 1 Re 428.191,4.6370921668649405,1.6586655543188322,1.6469978025753271,0.038737635153849925
lower_Re_attempt step 1 Re 428.191,4.681679591546334,1.6587162814120149,1.6470414538104943,0.038737656966665646
lower_Re_attempt step 1 Re 428.191,4.726267016227728,1.6587713817242329,1.6470830020242273,0.038737687699254
