direction,continuation_step,Re,period,norm,shear,power,raw_state_path,x0_state_path
lower_Re_attempt,1,428.2050736172394,8.916985503020609,0.26633908789569277,1.6646112839537084,1.6646112839537084,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0001_Re428.20507362_T8.91698550.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0001_Re428.20507362_T8.91698550.asc
lower_Re_attempt,2,428.225937685026,8.916269201744822,0.2663121587278264,1.6645316019416159,1.6645316019416159,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0002_Re428.22593769_T8.91626920.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0002_Re428.22593769_T8.91626920.asc
lower_Re_attempt,3,428.2567187051138,8.915229887938732,0.26627324449675926,1.6644169167375946,1.6644169167375946,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0003_Re428.25671871_T8.91522989.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0003_Re428.25671871_T8.91522989.asc
lower_Re_attempt,4,428.30213032903043,8.913743392516299,0.2662179730336514,1.6642553064222694,1.6642553064222694,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0004_Re428.30213033_T8.91374339.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0004_Re428.30213033_T8.91374339.asc
lower_Re_attempt,5,428.3691266658542,8.911642931066522,0.2661406453703546,1.6640318219103962,1.6640318219103962,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0005_Re428.36912667_T8.91164293.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0005_Re428.36912667_T8.91164293.asc
lower_Re_attempt,6,428.46796719977476,8.908720813390566,0.26603456696457967,1.6637304690030403,1.6637304690030403,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0006_Re428.46796720_T8.90872081.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0006_Re428.46796720_T8.90872081.asc
lower_Re_attempt,7,428.613787876251,8.90473281862879,0.2658925946623382,1.6633373122008739,1.6633373122008739,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0007_Re428.61378788_T8.90473282.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0007_Re428.61378788_T8.90473282.asc
lower_Re_attempt,8,428.8289189450407,8.899413087022491,0.26570824858664654,1.6628461664593321,1.6628461664593321,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0008_Re428.82891895_T8.89941309.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0008_Re428.82891895_T8.89941309.asc
lower_Re_attempt,9,429.1411279114822,8.892594830538,0.26548035235404943,1.6622736680046102,1.6622736680046102,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0009_Re429.14112791_T8.89259483.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0009_Re429.14112791_T8.89259483.asc
lower_Re_attempt,10,429.5942211777604,8.884068648050778,0.265208754885505,1.661652431936174,1.661652431936174,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/raw_lower_Re_attempt_contstep0010_Re429.59422118_T8.88406865.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_lower_to550/restartable_po_branch/states/x0_lower_Re_attempt_contstep0010_Re429.59422118_T8.88406865.asc
