direction,continuation_step,Re,period,norm,shear,power,raw_state_path,x0_state_path
natural,1,428.2050736172394,9.127458119672374,0.27686176569107857,1.7055057563094496,1.7055057563094496,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0001_Re428.20507362_T9.12745812.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0001_Re428.20507362_T9.12745812.asc
natural,2,428.19464158354043,9.127635973412783,0.2768606082204542,1.7054988779417006,1.7054988779417006,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0002_Re428.19464158_T9.12763597.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0002_Re428.19464158_T9.12763597.asc
natural,3,428.2259376874354,9.127102387048533,0.2768640806508701,1.7055195154402232,1.7055195154402232,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0003_Re428.22593769_T9.12710239.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0003_Re428.22593769_T9.12710239.asc
natural,4,428.2728818432779,9.126302007502156,0.27686928941741007,1.7055504716880079,1.7055504716880079,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0004_Re428.27288184_T9.12630201.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0004_Re428.27288184_T9.12630201.asc
natural,5,428.34329807704165,9.125101438182591,0.2768771028392651,1.705596906059685,1.705596906059685,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0005_Re428.34329808_T9.12510144.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0005_Re428.34329808_T9.12510144.asc
natural,6,428.44892242768725,9.123300584203244,0.27688882358409417,1.7056665576171999,1.7056665576171999,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0006_Re428.44892243_T9.12330058.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0006_Re428.44892243_T9.12330058.asc
natural,7,428.4513979984055,9.123258376688103,0.2768890982978591,1.7056681900755795,1.7056681900755795,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0007_Re428.45139800_T9.12325838.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0007_Re428.45139800_T9.12325838.asc
natural,8,428.45163008316035,9.123254419733557,0.27688912405229527,1.7056683431185526,1.7056683431185526,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0008_Re428.45163008_T9.12325442.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0008_Re428.45163008_T9.12325442.asc
natural,9,428.4518041467265,9.123251452017648,0.2768891433681247,1.7056684579007824,1.7056684579007824,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0009_Re428.45180415_T9.12325145.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0009_Re428.45180415_T9.12325145.asc
natural,10,428.45183678364515,9.123250895570916,0.27688914698984296,1.7056684794224501,1.7056684794224501,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/raw_natural_contstep0010_Re428.45183678_T9.12325090.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/clean_po_pipeline_target427p691_to550/restartable_po_branch/states/x0_natural_contstep0010_Re428.45183678_T9.12325090.asc
