step,Re,rank,eig_real,eig_imag
1,300.0,1,0.061981281487398066,0.0
1,300.0,2,-0.01949801274494476,-0.09525540965352915
1,300.0,3,-0.01949801274494476,0.09525540965352915
1,300.0,4,-0.036858800178914075,0.0
1,300.0,5,-0.05296429339536009,-0.04233474981501228
1,300.0,6,-0.05296429339536009,0.04233474981501228
1,300.0,7,-0.06424379572207856,-0.12855313507435276
1,300.0,8,-0.06424379572207856,0.12855313507435276
1,300.0,9,-0.07330754964030244,-0.7137938935715538
1,300.0,10,-0.07330754964030244,0.7137938935715538
1,300.0,11,-0.07428135526045808,0.0
1,300.0,12,-0.0757910581352248,-0.5342634702862865
1,300.0,13,-0.0757910581352248,0.5342634702862865
1,300.0,14,-0.08553982795677684,-0.9123239510510811
1,300.0,15,-0.08553982795677684,0.9123239510510811
1,300.0,16,-0.09150357555277622,-0.5870420213973753
1,300.0,17,-0.09150357555277622,0.5870420213973753
1,300.0,18,-0.09198815967078819,-0.2085896246498649
1,300.0,19,-0.09198815967078819,0.2085896246498649
1,300.0,20,-0.09212248300929746,-0.2978535682786351
1,300.0,21,-0.09212248300929746,0.2978535682786351
1,300.0,22,-0.10902774288761505,-1.2645121453937376
1,300.0,23,-0.10902774288761505,1.2645121453937376
1,300.0,24,-0.11552746560661958,0.0
1,300.0,25,-0.1220313826075907,-0.040496012122275646
1,300.0,26,-0.1220313826075907,0.040496012122275646
1,300.0,27,-0.1281902752976783,-0.48000892908694903
1,300.0,28,-0.1281902752976783,0.48000892908694903
1,300.0,29,-0.13194948390286637,-0.32807589325246095
1,300.0,30,-0.13194948390286637,0.32807589325246095
1,300.0,31,-0.13787422297585916,-0.24446188368066926
1,300.0,32,-0.13787422297585916,0.24446188368066926
1,300.0,33,-0.13850868345561496,-0.14122997567222836
1,300.0,34,-0.13850868345561496,0.14122997567222836
1,300.0,35,-0.1403861791453846,0.0
1,300.0,36,-0.15023576118411267,-0.6656805172008713
1,300.0,37,-0.15023576118411267,0.6656805172008713
1,300.0,38,-0.15929237300710447,-0.5777057535542796
1,300.0,39,-0.15929237300710447,0.5777057535542796
1,300.0,40,-0.1627002491879047,0.0
2,301.0,1,0.062089164641257244,0.0
2,301.0,2,-0.018878023618430897,-0.09538628430257332
2,301.0,3,-0.018878023618430897,0.09538628430257332
2,301.0,4,-0.03676842855505661,0.0
2,301.0,5,-0.05232184785888816,-0.04240313143665492
2,301.0,6,-0.05232184785888816,0.04240313143665492
2,301.0,7,-0.06427266618137542,-0.12786341704575602
2,301.0,8,-0.06427266618137542,0.12786341704575602
2,301.0,9,-0.07249786465827897,-0.7132098193185534
2,301.0,10,-0.07249786465827897,0.7132098193185534
2,301.0,11,-0.0748197707882806,-0.5340114117624726
2,301.0,12,-0.0748197707882806,0.5340114117624726
2,301.0,13,-0.07547158297902451,0.0
2,301.0,14,-0.0847780551941043,-0.9123495046562752
2,301.0,15,-0.0847780551941043,0.9123495046562752
2,301.0,16,-0.09087754743491763,-0.5873196423569648
2,301.0,17,-0.09087754743491763,0.5873196423569648
2,301.0,18,-0.0909182818831483,-0.20783990640510222
2,301.0,19,-0.0909182818831483,0.20783990640510222
2,301.0,20,-0.09151610672461535,-0.2982872316646009
2,301.0,21,-0.09151610672461535,0.2982872316646009
2,301.0,22,-0.10838336821827144,-1.2648946825140857
2,301.0,23,-0.10838336821827144,1.2648946825140857
2,301.0,24,-0.11482196295977673,0.0
2,301.0,25,-0.12165236867166737,-0.04056529550460966
2,301.0,26,-0.12165236867166737,0.04056529550460966
2,301.0,27,-0.12792931696174326,-0.4805202212495738
2,301.0,28,-0.12792931696174326,0.4805202212495738
2,301.0,29,-0.13226070113802163,-0.3280672465895136
2,301.0,30,-0.13226070113802163,0.3280672465895136
2,301.0,31,-0.13736652257031096,-0.2447800051226004
2,301.0,32,-0.13736652257031096,0.2447800051226004
2,301.0,33,-0.13825566632453967,-0.14096295717464072
2,301.0,34,-0.13825566632453967,0.14096295717464072
2,301.0,35,-0.1397597161681157,0.0
2,301.0,36,-0.14969467142045734,-0.6659218217692795
2,301.0,37,-0.14969467142045734,0.6659218217692795
2,301.0,38,-0.15927809110595958,-0.5771160915824803
2,301.0,39,-0.15927809110595958,0.5771160915824803
2,301.0,40,-0.16228210311556834,0.0
3,302.0,1,0.062194400357782786,0.0
3,302.0,2,-0.018273654277441924,-0.09551490333840175
3,302.0,3,-0.018273654277441924,0.09551490333840175
3,302.0,4,-0.036680521775494815,0.0
3,302.0,5,-0.05171036205174473,-0.042480415325608416
3,302.0,6,-0.05171036205174473,0.042480415325608416
3,302.0,7,-0.06428796618305957,-0.12717572522079182
3,302.0,8,-0.06428796618305957,0.12717572522079182
3,302.0,9,-0.07169912813789289,-0.7126405080138646
3,302.0,10,-0.07169912813789289,0.7126405080138646
3,302.0,11,-0.07385732796746848,-0.5337585223196435
3,302.0,12,-0.07385732796746848,0.5337585223196435
3,302.0,13,-0.07659433270041509,0.0
3,302.0,14,-0.08402075952620489,-0.9123736379820708
3,302.0,15,-0.08402075952620489,0.9123736379820708
3,302.0,16,-0.08987516366877282,-0.20711574312926465
3,302.0,17,-0.08987516366877282,0.20711574312926465
3,302.0,18,-0.09024965488523454,-0.5875933031942726
3,302.0,19,-0.09024965488523454,0.5875933031942726
3,302.0,20,-0.09091569080688733,-0.29870007554287165
3,302.0,21,-0.09091569080688733,0.29870007554287165
3,302.0,22,-0.1077410135551756,-1.265273481018605
3,302.0,23,-0.1077410135551756,1.265273481018605
3,302.0,24,-0.11412337708328277,0.0
3,302.0,25,-0.12127412982765326,-0.040618082259055714
3,302.0,26,-0.12127412982765326,0.040618082259055714
3,302.0,27,-0.12765731134578556,-0.48104041662840497
3,302.0,28,-0.12765731134578556,0.48104041662840497
3,302.0,29,-0.13262187978691825,-0.32808364054514716
3,302.0,30,-0.13262187978691825,0.32808364054514716
3,302.0,31,-0.1368563986005769,-0.2450866197089599
3,302.0,32,-0.1368563986005769,0.2450866197089599
3,302.0,33,-0.13797270600615694,-0.14067659411956618
3,302.0,34,-0.13797270600615694,0.14067659411956618
3,302.0,35,-0.1391559116700471,0.0
3,302.0,36,-0.14915681810479423,-0.6661605122479238
3,302.0,37,-0.14915681810479423,0.6661605122479238
3,302.0,38,-0.1592725627384604,-0.5765101489185528
3,302.0,39,-0.1592725627384604,0.5765101489185528
3,302.0,40,-0.1618586263760662,0.0
4,303.0,1,0.062297094295640634,0.0
4,303.0,2,-0.017684614551732085,-0.09564129333669023
4,303.0,3,-0.017684614551732085,0.09564129333669023
4,303.0,4,-0.036594886104068594,0.0
4,303.0,5,-0.051127891468043044,-0.042563643881817464
4,303.0,6,-0.051127891468043044,0.042563643881817464
4,303.0,7,-0.06428938467203632,-0.1264897970533365
4,303.0,8,-0.06428938467203632,0.1264897970533365
4,303.0,9,-0.07091099873945113,-0.7120855932978947
4,303.0,10,-0.07091099873945113,0.7120855932978947
4,303.0,11,-0.072903498726717,-0.5335049832938172
4,303.0,12,-0.072903498726717,0.5335049832938172
4,303.0,13,-0.07765486954369022,0.0
4,303.0,14,-0.08326791470983619,-0.9123963985121611
4,303.0,15,-0.08326791470983619,0.9123963985121611
4,303.0,16,-0.08885825550172516,-0.2064155158086619
4,303.0,17,-0.08885825550172516,0.2064155158086619
4,303.0,18,-0.08962024947129146,-0.5878628220205426
4,303.0,19,-0.08962024947129146,0.5878628220205426
4,303.0,20,-0.09032204399438362,-0.2990932567471535
4,303.0,21,-0.09032204399438362,0.2990932567471535
4,303.0,22,-0.10710069563500085,-1.2656485450558812
4,303.0,23,-0.10710069563500085,1.2656485450558812
4,303.0,24,-0.11342974192539682,0.0
4,303.0,25,-0.12089623142223835,-0.04065478462046776
4,303.0,26,-0.12089623142223835,0.04065478462046776
4,303.0,27,-0.12737372972218886,-0.4815686015990991
4,303.0,28,-0.12737372972218886,0.4815686015990991
4,303.0,29,-0.13304030107100454,-0.3281285939047382
4,303.0,30,-0.13304030107100454,0.3281285939047382
4,303.0,31,-0.13634444683253566,-0.2453826612609996
4,303.0,32,-0.13634444683253566,0.2453826612609996
4,303.0,33,-0.13765561515730268,-0.1403735096227255
4,303.0,34,-0.13765561515730268,0.1403735096227255
4,303.0,35,-0.13857541675752996,0.0
4,303.0,36,-0.1486221947408865,-0.6663966813153507
4,303.0,37,-0.1486221947408865,0.6663966813153507
4,303.0,38,-0.15927333272183003,-0.5758864260826505
4,303.0,39,-0.15927333272183003,0.5758864260826505
4,303.0,40,-0.1605720738119002,-1.017750214270781
