step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,300.0,true,3.322351895718153e-11,0.258106735185437,1.6189979060541109,1.6189979060541109,1,0.061981281487398066,-0.01949801274494476,-0.09525540965352915,65.96145384323376,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0001_Re300.00000000.asc
2,301.0,true,3.290882458837466e-11,0.25838998127773255,1.6202353374306506,1.6202353374306506,1,0.062089164641257244,-0.018878023618430897,-0.09538628430257332,65.87095150125351,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0002_Re301.00000000.asc
3,302.0,true,3.0508311202861496e-11,0.25866793523697607,1.6214480718079698,1.6214480718079698,1,0.062194400357782786,-0.018273654277441924,-0.09551490333840175,65.78225059725766,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0003_Re302.00000000.asc
4,303.0,true,2.829312898644322e-11,0.2589407442337796,1.6226368223292933,1.6226368223292933,1,0.062297094295640634,-0.017684614551732085,-0.09564129333669023,65.69531933304806,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0004_Re303.00000000.asc
5,304.0,true,2.6248788101871278e-11,0.2592085521719037,1.6238022889403412,1.6238022889403412,1,0.06239734951933206,-0.01711061192054166,-0.09576548509362137,65.6101235328895,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0005_Re304.00000000.asc
6,305.0,true,2.4357997335587062e-11,0.2594714994562045,1.6249451570159352,1.6249451570159352,1,0.062495266385414854,-0.0165513531004294,-0.09588751248853122,65.52662744203627,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0006_Re305.00000000.asc
7,306.0,true,2.2613490861342136e-11,0.25972972296893665,1.6260660969850877,1.6260660969850877,1,0.0625909425357127,-0.01600654540401847,-0.09600741161608674,65.444794328012,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0007_Re306.00000000.asc
8,307.0,true,2.1003184778724248e-11,0.2599833560644577,1.627165764067166,1.627165764067166,1,0.0626844729059279,-0.015475897948044576,-0.09612522008416483,65.364586959366,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0008_Re307.00000000.asc
9,308.0,true,1.951342569659725e-11,0.2602325285795264,1.6282447981040697,1.6282447981040697,1,0.06277594974713864,-0.014959122715431011,-0.09624097645277133,65.28596798124711,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0009_Re308.00000000.asc
10,309.0,true,1.813754860633031e-11,0.26047736685677786,1.6293038234749897,1.6293038234749897,1,0.0628654626580575,-0.01445593547859641,-0.09635471979207225,65.20890020476762,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0010_Re309.00000000.asc
11,310.0,true,1.6864064897229192e-11,0.26071799377917304,1.6303434490818418,1.6303434490818418,1,0.06295309862608123,-0.013966056592932362,-0.0964664893401843,65.13334682495021,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0011_Re310.00000000.asc
12,311.0,true,1.5686234729484256e-11,0.26095452881368436,1.63136426839542,1.63136426839542,1,0.06303894207559506,-0.01348921167029089,-0.0965763242440636,65.05927157986451,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0012_Re311.00000000.asc
13,312.0,true,1.4596641872485653e-11,0.26118708806254237,1.6323668595531906,1.6323668595531906,1,0.06312307492209515,-0.013025132142920729,-0.09668426336903758,64.98663886176672,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0013_Re312.00000000.asc
14,313.0,true,1.3587597001961855e-11,0.26141578432070955,1.6333517855007695,1.6333517855007695,1,0.06320557663091414,-0.012573555728326946,-0.09679034516475243,64.91541378930526,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0014_Re313.00000000.asc
15,314.0,true,1.2652113665835636e-11,0.26164072713836095,1.634319594170334,1.634319594170334,1,0.06328652427953219,-0.012134226805391293,-0.0968946075771576,64.84556224840746,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0015_Re314.00000000.asc
16,315.0,true,1.1787333781482308e-11,0.26186202288735005,1.6352708186899092,1.6352708186899092,1,0.06336599262257041,-0.011706896711613006,-0.09699708799789913,64.77705090812287,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0016_Re315.00000000.asc
17,316.0,true,1.0984460537664981e-11,0.26207977483076855,1.6362059776183044,1.6362059776183044,1,0.06344405415872018,-0.011291323970908672,-0.09709782324383394,64.70984721666859,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0017_Re316.00000000.asc
18,317.0,true,1.024279474547215e-11,0.26229408319483394,1.6371255752011475,1.6371255752011475,1,0.06352077919894579,-0.01088727446062826,-0.09719684956081401,64.64391938185538,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0018_Re317.00000000.asc
19,318.0,true,9.552827532849046e-12,0.2625050452424767,1.638030101644142,1.638030101644142,1,0.06359623593544762,-0.010494521525875461,-0.09729420264680798,64.57923633937838,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0019_Re318.00000000.asc
20,319.0,true,8.913872648679367e-12,0.26271275534799804,1.638920033399745,1.638920033399745,1,0.06367049051085738,-0.010112846048501278,-0.09738991769043567,64.51576771171905,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0020_Re319.00000000.asc
21,320.0,true,8.318890175170806e-12,0.26291730507238886,1.6397958334647393,1.6397958334647393,1,0.06374360708733155,-0.009742036477396854,-0.09748402942176422,64.45348375984145,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0021_Re320.00000000.asc
22,321.0,true,7.769587352609283e-12,0.2631187832388827,1.6406579516857986,1.6406579516857986,1,0.06381564791521199,-0.009381888826112869,-0.09757657217285952,64.3923553293997,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0022_Re321.00000000.asc
23,322.0,true,7.256786776402433e-12,0.26331727600836036,1.6415068250708214,1.6415068250708214,1,0.06388667340093522,-0.009032206643160762,-0.09766757994612175,64.33235379279081,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0023_Re322.00000000.asc
24,323.0,true,6.7815176332818836e-12,0.2635128669543687,1.642342878104183,1.642342878104183,1,0.06395674217400589,-0.008692800959768002,-0.09775708648891525,64.2734509880472,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0024_Re323.00000000.asc
25,324.0,true,6.338749681670178e-12,0.26370563713747386,1.643166523064245,1.643166523064245,1,0.06402591115287515,-0.00836349021931871,-0.09784512537340626,64.21561915528314,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re300_450_dRe1/states/xeq_step0025_Re324.00000000.asc
