step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,302.0,true,3.732798967901431e-15,0.2586679350654411,1.6214480710141348,1.6214480710141348,1,0.06219440020181266,-0.018273654351232335,-0.09551490329348018,65.78225062819568,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0001_Re302.00000000.asc
2,304.0,true,2.2272285694508045e-15,0.2592085520321066,1.6238022882912613,1.6238022882912613,1,0.06239734938980925,-0.017110611976838025,-0.09576548505543571,65.61012355905098,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0002_Re304.00000000.asc
3,306.0,true,2.9606778921302153e-15,0.25972972285536206,1.6260660964559437,1.6260660964559437,1,0.06259094242811748,-0.016006545446770055,-0.09600741158380506,65.44479435001725,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0003_Re306.00000000.asc
4,308.0,true,4.149083876133619e-15,0.2602325284876133,1.6282447976742849,1.6282447976742849,1,0.06277594965772926,-0.014959122747739228,-0.09624097642562703,65.2859679996607,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0004_Re308.00000000.asc
5,310.0,true,2.6138993685742347e-15,0.2607179937051487,1.6303434487343542,1.6303434487343542,1,0.0629530985517647,-0.013966056617224385,-0.09646648931747813,65.13334684028122,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0005_Re310.00000000.asc
6,312.0,true,2.3088300832990874e-15,0.261187088003283,1.6323668592738148,1.6323668592738148,1,0.06312307486031202,-0.013025132161092396,-0.09668426335015114,64.9866388744613,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0006_Re312.00000000.asc
7,314.0,true,2.8398819139436407e-15,0.26164072709128816,1.6343195939473139,1.6343195939473139,1,0.06328652422816414,-0.012134226818914566,-0.09689460756154915,64.84556225885323,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0007_Re314.00000000.asc
8,316.0,true,2.0579230955774473e-15,0.26207977479374006,1.6362059774418822,1.6362059774418822,1,0.06344405411600877,-0.011291323980928917,-0.09709782323102689,64.70984722520372,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0008_Re316.00000000.asc
9,318.0,true,4.535392162062414e-15,0.2625050452137281,1.638030101506229,1.638030101506229,1,0.06359623589995018,-0.01049452153327527,-0.09729420263639278,64.5792363462915,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0009_Re318.00000000.asc
10,320.0,true,4.6852384659777e-15,0.262917305050456,1.6397958333586193,1.6397958333586193,1,0.06374360705784272,-0.009742036482861535,-0.09748402941338169,64.45348376538372,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0010_Re320.00000000.asc
11,322.0,true,4.340431890698624e-15,0.26331727599202415,1.6415068249908868,1.6415068249908868,1,0.06388667337645282,-0.009032206647216576,-0.09766757993946275,64.33235379717702,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0011_Re322.00000000.asc
12,324.0,true,3.504223608933387e-15,0.2637056371257266,1.6431665230058434,1.6431665230058434,1,0.06402591113257435,-0.008363490222369988,-0.0978451253682055,64.21561915869638,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0012_Re324.00000000.asc
13,326.0,true,9.327231919973653e-11,0.26408302747104145,1.6447781794538037,1.6447781794538037,1,0.06416176950287508,-0.007734463840800007,-0.09801693415755161,64.103058937551,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0013_Re326.00000000.asc
14,328.0,true,8.162766052003392e-11,0.26445004767328645,1.6463448587914986,1.6463448587914986,1,0.0642946714079814,-0.007143819886299118,-0.09818327451472787,63.9944566753789,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0014_Re328.00000000.asc
15,330.0,true,7.153246358863443e-11,0.26480726331186627,1.647869453171189,1.647869453171189,1,0.06442501734199015,-0.006590362804434962,-0.09834441787689278,63.88959783202802,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0015_Re330.00000000.asc
16,332.0,true,6.276469982441928e-11,0.265155206308172,1.6493546885241799,1.6493546885241799,1,0.06455318590405336,-0.006073005623436905,-0.09850064179135357,63.78826769970475,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0016_Re332.00000000.asc
17,334.0,true,5.5140334265110606e-11,0.2654943772172782,1.6508031352144674,1.6508031352144674,1,0.06467953588771244,-0.005590766193812698,-0.09865223351017136,63.69024890380987,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0017_Re334.00000000.asc
18,336.0,true,4.849348224504385e-11,0.2658252472107968,1.6522172173359668,1.6522172173359668,1,0.06480440791829259,-0.005142763613240864,-0.09879949383184576,63.59531879660648,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0018_Re336.00000000.asc
19,338.0,true,4.2697500599641194e-11,0.26614825996100794,1.6535992216633324,1.6535992216633324,1,0.06492812598702132,-0.004728214900495308,-0.09894274138023164,63.503246620524116,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0019_Re338.00000000.asc
20,340.0,true,3.7628596375284904e-11,0.26646383342730245,1.6549513062399202,1.6549513062399202,1,0.0650509988853998,-0.004346431996228005,-0.0990823174474776,63.413790361839595,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0020_Re340.00000000.asc
21,342.0,true,3.318986636550107e-11,0.26677236154726364,1.6562755085964318,1.6562755085964318,1,0.06517332154419185,-0.003996819134638821,-0.09921859156170591,63.326693196122974,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0021_Re342.00000000.asc
22,344.0,true,2.9298342016208925e-11,0.2670742158357989,1.6575737536015258,1.6575737536015258,1,0.06529537628219224,-0.0036788705982165465,-0.0993519679810041,63.24167940368246,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_Re330_370/states/xeq_step0022_Re344.00000000.asc
