step,Re,period,norm,shear,power
1,351.50837685524,16.103514290112496,0.3910947683148411,1.444867420595006,1.444867420595006
2,351.5225189908637,16.105913054044322,0.391126924968751,1.445032901321847,1.445032901321847
3,351.52420375738194,16.10619617585074,0.3911307477585544,1.4450525825788838,1.4450525825788838
4,351.51301669614566,16.10431124720599,0.39110530899618834,1.4449216993719571,1.4449216993719571
5,351.55672119074694,16.111652383226378,0.3912046397771225,1.4454321247118216,1.4454321247118216
6,351.6208454003161,16.12230380765066,0.39134999628742945,1.446176383795809,1.446176383795809
7,351.7149298728697,16.137678961339486,0.3915625462880866,1.4472588569421718,1.4472588569421718
8,351.8529727150994,16.159707348663886,0.39187311418282034,1.448827872008719,1.448827872008719
9,352.05551226471044,16.19092598121158,0.39232650244464784,1.451091536322476,1.451091536322476
10,352.34626908064826,16.23355605248436,0.3929741862670202,1.4542696911346338,1.4542696911346338
11,352.763666709899,16.290509748215698,0.39390018711959324,1.4587027677775057,1.4587027677775057
12,353.3628643045028,16.36413286433795,0.3952282277856193,1.4648425014841004,1.4648425014841004
13,354.22304591331056,16.4543982437514,0.3971490941810788,1.4732951915919037,1.4732951915919037
14,355.3470921767576,16.54729824223946,0.3997316506458966,1.483912704919527,1.483912704919527
15,357.1197720781751,16.6420039131517,0.40419024557163724,1.5003642558747199,1.5003642558747199
16,359.66455290201117,16.693512290183197,0.4124107409407469,1.525620738459952,1.525620738459952
17,361.4522613115837,16.661833071747566,0.4228397710266175,1.551788365992013,1.551788365992013
18,361.4714729259733,16.653297240877915,0.4233584133466411,1.552948920920164,1.552948920920164
19,361.47836752835366,16.647257015187854,0.4236827656637937,1.5536674253682154,1.5536674253682154
20,361.47963181605684,16.644308496417036,0.4238271662257299,1.553984900820153,1.553984900820153
21,361.4805589303275,16.64112851759233,0.4239800457342321,1.5543203981093299,1.5543203981093299
22,361.4805797246083,16.641057193728,0.4239834752511761,1.5543279229906122,1.5543279229906122
