step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,370.0,true,9.100995398028512e-14,0.23332439109997108,1.4673681677063026,1.4673681677063026,1,0.052209843619135325,-0.026438479943257535,-0.08868882168610749,70.84529016990881,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0001_Re370.00000000.asc
2,375.0,true,5.5548290713415044e-11,0.23340328021380485,1.467128774260309,1.467128774260309,1,0.052125613108143565,-0.026022047191261603,-0.08831593302490624,71.14441405955193,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0002_Re375.00000000.asc
3,380.0,true,5.210381596737697e-11,0.2334816525880074,1.4669051672963318,1.4669051672963318,1,0.052044070529006614,-0.025643113533396975,-0.0879571419814124,71.43462333629923,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0003_Re380.00000000.asc
4,385.0,true,4.906753705238398e-11,0.23355934721759936,1.4666958405491521,1.4666958405491521,1,0.051965356880855636,-0.02530117493690634,-0.08761084475951747,71.71698120736386,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0004_Re385.00000000.asc
5,390.0,true,4.6373521218504884e-11,0.23363625780699357,1.4664995809261245,1.4664995809261245,1,0.051889599518858784,-0.02499564882776418,-0.08727542774938053,71.9926039803819,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0005_Re390.00000000.asc
6,395.0,true,4.396347376908656e-11,0.23371232429412744,1.4663154279532333,1.4663154279532333,1,0.05181691386508976,-0.024725872193614752,-0.08694925421120273,72.26267049878902,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0006_Re395.00000000.asc
7,400.0,true,4.181017854919035e-11,0.2337875260184747,1.466142641370223,1.466142641370223,1,0.05174740523156132,-0.024491091945026952,-0.08663065331908322,72.52843037021759,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0007_Re400.00000000.asc
8,405.0,true,3.9879610562764494e-11,0.23386187582448753,1.4659806730537592,1.4659806730537592,1,0.0516811706748727,-0.024290448429160276,-0.08631791344132106,72.79120934093127,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0008_Re405.00000000.asc
9,410.0,true,3.814530253549236e-11,0.23393541502613852,1.4658291429034978,1.4658291429034978,1,0.051618300893983025,-0.02412295317657056,-0.08600928164126424,73.05241001065556,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0009_Re410.00000000.asc
10,415.0,true,3.6557260226054376e-11,0.2340082091633767,1.4656878183593314,1.4656878183593314,1,0.051558882175454644,-0.023987462676744006,-0.0857029713496033,73.3135060341017,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0010_Re415.00000000.asc
11,420.0,true,3.513403465143551e-11,0.23408034448910342,1.4655565972590183,1.4655565972590183,1,0.051502998386103914,-0.023882650815573836,-0.08539717984442656,73.57602813847087,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0011_Re420.00000000.asc
12,425.0,true,3.385985969318829e-11,0.2341519251342713,1.4654354937907035,1.4654354937907035,1,0.05145073301075294,-0.023806983457266576,-0.08509011647321399,73.84154079936542,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0012_Re425.00000000.asc
13,430.0,true,3.270091553505235e-11,0.23422307090887295,1.4653246273425815,1.4653246273425815,1,0.051402171232212475,-0.023758699325044083,-0.0847800413982385,74.11160933108643,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0013_Re430.00000000.asc
14,435.0,true,3.167833005122342e-11,0.23429391570810124,1.4652242141054863,1.4652242141054863,1,0.051357402052693256,-0.023735801580143743,-0.0844653130800915,74.3877584544292,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0014_Re435.00000000.asc
15,440.0,true,3.076822722719541e-11,0.23436460650536337,1.4651345613391535,1.4651345613391535,1,0.05131652045899933,-0.023736064062620185,-0.0841444409172722,74.67142497692734,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0015_Re440.00000000.asc
16,445.0,true,2.997658758469386e-11,0.2344353029279623,1.4650560642762689,1.4650560642762689,1,0.05127962963982017,-0.023757054878216607,-0.08381613778139872,74.96390878289802,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0016_Re445.00000000.asc
17,450.0,true,2.9306897164008026e-11,0.2345061774270647,1.46498920570734,1.46498920570734,1,0.051246843270900684,-0.02379617793513728,-0.08347936608306551,75.26632750094856,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0017_Re450.00000000.asc
18,455.0,true,2.8762839658359467e-11,0.23457741607188726,1.4649345583690194,1.4649345583690194,1,0.05121828789408393,-0.02385073046964168,-0.08313337089618225,75.57958061181097,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0018_Re455.00000000.asc
19,460.0,true,2.8347703752859785e-11,0.23464922001983238,1.464892790353734,1.464892790353734,1,0.05119410542925456,-0.023917972104624253,-0.08277769477182381,75.90432814659971,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0019_Re460.00000000.asc
20,465.0,true,2.807552206514089e-11,0.23472180774051157,1.4648646738716768,1.4648646738716768,1,0.051174455874801836,-0.023995199193188106,-0.08241217104610668,76.24098755588379,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0020_Re465.00000000.asc
21,470.0,true,2.7962664321253853e-11,0.23479541810401036,1.4648510978371672,1.4648510978371672,1,0.0511595202733349,-0.02407981757980212,-0.0820368951993112,76.58975015953969,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0021_Re470.00000000.asc
22,475.0,true,2.8023299462034357e-11,0.23487031448432114,1.4648530849274124,1.4648530849274124,1,0.051149504046637116,-0.024169407581920634,-0.08165217646997783,76.95061636831947,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0022_Re475.00000000.asc
23,480.0,true,2.8307869518912918e-11,0.23494679008101352,1.4648718139897743,1.4648718139897743,1,0.051144640838851105,-0.021449070017037192,-0.14472704518770096,43.41403708636993,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0023_Re480.00000000.asc
24,485.0,true,2.884287190947363e-11,0.2350251747290528,1.4649086489639402,1.4649086489639402,1,0.051145197052625595,-0.01879032762624259,-0.14468161230844168,43.427669950101766,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0024_Re485.00000000.asc
25,490.0,true,2.968116965107425e-11,0.23510584355498285,1.4649651758739104,1.4649651758739104,1,0.05115147732287576,-0.016198533954661115,-0.14461821086237145,43.446708887576364,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0025_Re490.00000000.asc
26,495.0,true,3.090190331039407e-11,0.23518922795368596,1.465043249953173,1.465043249953173,1,0.05116383125190362,-0.01367120677631501,-0.14453385804286392,43.4720652465819,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0026_Re495.00000000.asc
27,500.0,true,3.258280571115604e-11,0.2352758295160529,1.4651450556550103,1.4651450556550103,1,0.051182661834860387,-0.011206028465672785,-0.14442524739237245,43.50475710184881,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0027_Re500.00000000.asc
28,505.0,true,3.4859940231692295e-11,0.23536623774811727,1.4652731832302988,1.4652731832302988,1,0.051208436144978366,-0.008800827289107856,-0.14428868851218368,43.54593122973071,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0028_Re505.00000000.asc
29,510.0,true,3.789294036608372e-11,0.23546115270822754,1.4654307268254556,1.4654307268254556,1,0.05124169903570042,-0.006453567468571687,-0.1441200197670143,43.59689456979703,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0029_Re510.00000000.asc
30,515.0,true,4.1909934103088464e-11,0.23556141408184075,1.4656214108067633,1.4656214108067633,1,0.05128309086850589,-0.0041623441523712616,-0.14391448780261382,43.659157622805154,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0030_Re515.00000000.asc
31,520.0,true,4.723833184545665e-11,0.2356680387548093,1.4658497534455432,1.4658497534455432,1,0.051333370610535035,-0.001925380417572231,-0.14366658590796086,43.73449307972608,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0031_Re520.00000000.asc
32,525.0,true,5.4332870499474586e-11,0.23578226969583782,1.46612128048096,1.46612128048096,3,0.05139344608904434,0.00025897584365467893,-0.1433698402016592,43.82501437081795,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0032_Re525.00000000.asc
33,530.0,true,6.386643428725452e-11,0.2359056399953816,1.4664428057884629,1.4664428057884629,3,0.05146441376208513,0.0023922569083227813,-0.14301652810010337,43.93328093366745,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_370_550_dRe5/states/xeq_step0033_Re530.00000000.asc
