step,Re,rank,eig_real,eig_imag
1,300.0,1,0.053539271424729466,0.0
1,300.0,2,-0.03346093013154966,0.0
1,300.0,3,-0.0361290310370993,-0.09634180178243822
1,300.0,4,-0.0361290310370993,0.09634180178243822
1,300.0,5,-0.05748333896896237,0.0
1,300.0,6,-0.07926677724632925,-0.03724167396917535
1,300.0,7,-0.07926677724632925,0.03724167396917535
1,300.0,8,-0.10261893921524055,0.0
1,300.0,9,-0.1198617674098735,-0.11634277639391795
1,300.0,10,-0.1198617674098735,0.11634277639391795
1,300.0,11,-0.12122672290109074,-0.048258759729610336
1,300.0,12,-0.12122672290109074,0.048258759729610336
1,300.0,13,-0.1321357364271507,-0.2683422924108983
1,300.0,14,-0.1321357364271507,0.2683422924108983
1,300.0,15,-0.1354227525981977,-0.626231681746145
1,300.0,16,-0.1354227525981977,0.626231681746145
1,300.0,17,-0.13835869296985293,-0.16104834736482437
1,300.0,18,-0.13835869296985293,0.16104834736482437
1,300.0,19,-0.15571903462830133,-0.4635402344746506
1,300.0,20,-0.15571903462830133,0.4635402344746506
1,300.0,21,-0.160635980549782,-0.5917055678951586
1,300.0,22,-0.160635980549782,0.5917055678951586
1,300.0,23,-0.16159841717368506,0.0
1,300.0,24,-0.16316547560255146,-1.0857913830325094
2,295.0,1,0.05362922757490127,0.0
2,295.0,2,-0.03405462850367492,0.0
2,295.0,3,-0.03704182531205287,-0.09713194800891434
2,295.0,4,-0.03704182531205287,0.09713194800891434
2,295.0,5,-0.05590943720718277,0.0
2,295.0,6,-0.08186786682500388,-0.03924217497843811
2,295.0,7,-0.08186786682500388,0.03924217497843811
2,295.0,8,-0.10569711515430782,0.0
2,295.0,9,-0.12324609042171457,-0.11763733929251391
2,295.0,10,-0.12324609042171457,0.11763733929251391
2,295.0,11,-0.12352585080229535,-0.04948485519161154
2,295.0,12,-0.12352585080229535,0.04948485519161154
2,295.0,13,-0.13285176979039337,-0.26809294948955653
2,295.0,14,-0.13285176979039337,0.26809294948955653
2,295.0,15,-0.13625326969149104,-0.6248502307938969
2,295.0,16,-0.13625326969149104,0.6248502307938969
2,295.0,17,-0.1388015203030072,-0.16007511673664293
2,295.0,18,-0.1388015203030072,0.16007511673664293
2,295.0,19,-0.158607549158515,-0.4641309352456787
2,295.0,20,-0.158607549158515,0.4641309352456787
2,295.0,21,-0.1634201817513405,0.0
2,295.0,22,-0.16463206686331122,-0.5898640468157158
2,295.0,23,-0.16463206686331122,0.5898640468157158
2,295.0,24,-0.1679321164831022,-0.42007765648159395
3,290.0,1,0.05371494163005516,0.0
3,290.0,2,-0.03466674895515132,0.0
3,290.0,3,-0.03796585709493039,-0.09796237580884443
3,290.0,4,-0.03796585709493039,0.09796237580884443
3,290.0,5,-0.054697529823247666,0.0
3,290.0,6,-0.08439746540379352,-0.04126830310802124
3,290.0,7,-0.08439746540379352,0.04126830310802124
3,290.0,8,-0.1088502122676654,0.0
3,290.0,9,-0.1259020933229672,-0.05073344144966586
3,290.0,10,-0.1259020933229672,0.05073344144966586
3,290.0,11,-0.1269834301181807,-0.11905723026064376
3,290.0,12,-0.1269834301181807,0.11905723026064376
3,290.0,13,-0.13357806963309185,-0.26797419978873893
