step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,300.0,true,4.304084103251199e-13,0.23248284683544632,1.474381651549271,1.474381651549271,1,0.053539271424729466,-0.0361290310370993,-0.09634180178243822,65.21764375310785,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0001_Re300.00000000.asc
2,295.0,true,1.585789171770932e-14,0.23248960574896627,1.4754163614742681,1.4754163614742681,1,0.05362922757490127,-0.03704182531205287,-0.09713194800891434,64.687113107244,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0002_Re295.00000000.asc
3,290.0,true,7.73725503404842e-15,0.23251649138896666,1.4765833669314228,1.4765833669314228,1,0.05371494163005516,-0.03796585709493039,-0.09796237580884443,64.1387599606615,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0003_Re290.00000000.asc
4,285.0,true,1.6522384413510636e-14,0.23256676971654894,1.4779004698574356,1.4779004698574356,1,0.05379524637880217,-0.0388948877443028,-0.09883368343169058,63.57331922696419,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0004_Re285.00000000.asc
5,280.0,true,2.6393457770065724e-14,0.23264403504307912,1.4793874274470622,1.4793874274470622,1,0.05386876822481235,-0.03982188953491318,-0.09974610100811038,62.99178858799402,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0005_Re280.00000000.asc
6,275.0,true,2.408993472250578e-14,0.23275222379960256,1.4810661209934808,1.4810661209934808,1,0.05393388634453645,-0.04073905569795362,-0.10069946518878102,62.395418837632505,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0006_Re275.00000000.asc
7,270.0,true,1.7225633005447306e-14,0.23289563056441667,1.4829607579731974,1.4829607579731974,1,0.053988684012921985,-0.041637833265007806,-0.10169321567376818,61.785688116462396,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0007_Re270.00000000.asc
8,265.0,true,2.1154242610832644e-14,0.23307892884065895,1.4850981234174094,1.4850981234174094,1,0.05403089023163349,-0.0425089804312864,-0.10272642052187363,61.164258184599184,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0008_Re265.00000000.asc
9,260.0,true,1.3762136281763626e-14,0.23330719997581556,1.4875079021711373,1.4875079021711373,1,0.05405780901108823,-0.04334264849787887,-0.1037978359892434,60.53291234155127,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0009_Re260.00000000.asc
10,255.0,true,1.467830477712815e-14,0.23358597466326003,1.4902231006198996,1.4902231006198996,1,0.05406623249337468,-0.04412848607086521,-0.10490600395359204,59.89347673522214,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0010_Re255.00000000.asc
11,250.0,true,1.8740828099626348e-14,0.23392129273230075,1.4932806055359855,1.4932806055359855,1,0.05405233239560965,-0.044855759901542266,-0.10604938546130653,59.247729535142724,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_down_clean/states/xeq_step0011_Re250.00000000.asc
