step,Re,rank,eig_real,eig_imag
1,300.0,1,0.053539271424729466,0.0
1,300.0,2,-0.03346093013154966,0.0
1,300.0,3,-0.0361290310370993,-0.09634180178243822
1,300.0,4,-0.0361290310370993,0.09634180178243822
1,300.0,5,-0.05748333896896237,0.0
1,300.0,6,-0.07926677724632925,-0.03724167396917535
1,300.0,7,-0.07926677724632925,0.03724167396917535
1,300.0,8,-0.10261893921524055,0.0
1,300.0,9,-0.1198617674098735,-0.11634277639391795
1,300.0,10,-0.1198617674098735,0.11634277639391795
1,300.0,11,-0.12122672290109074,-0.048258759729610336
1,300.0,12,-0.12122672290109074,0.048258759729610336
1,300.0,13,-0.1321357364271507,-0.2683422924108983
1,300.0,14,-0.1321357364271507,0.2683422924108983
1,300.0,15,-0.1354227525981977,-0.626231681746145
1,300.0,16,-0.1354227525981977,0.626231681746145
1,300.0,17,-0.13835869296985293,-0.16104834736482437
1,300.0,18,-0.13835869296985293,0.16104834736482437
1,300.0,19,-0.15571903462830133,-0.4635402344746506
1,300.0,20,-0.15571903462830133,0.4635402344746506
1,300.0,21,-0.160635980549782,-0.5917055678951586
1,300.0,22,-0.160635980549782,0.5917055678951586
1,300.0,23,-0.16159841717368506,0.0
1,300.0,24,-0.16316547560255146,-1.0857913830325094
2,305.0,1,0.05344606833349314,0.0
2,305.0,2,-0.032884939550474744,0.0
2,305.0,3,-0.03523293384280812,-0.09559101112794936
2,305.0,4,-0.03523293384280812,0.09559101112794936
2,305.0,5,-0.05953357906275949,0.0
2,305.0,6,-0.07654047455051281,-0.03528032048800287
2,305.0,7,-0.07654047455051281,0.03528032048800287
2,305.0,8,-0.0995869264879745,0.0
2,305.0,9,-0.1167522852938257,-0.11517883490816672
2,305.0,10,-0.1167522852938257,0.11517883490816672
2,305.0,11,-0.11899851772275712,-0.047067510126816973
2,305.0,12,-0.11899851772275712,0.047067510126816973
2,305.0,13,-0.13137949440103758,-0.26868754056115063
2,305.0,14,-0.13137949440103758,0.26868754056115063
2,305.0,15,-0.1346112498609916,-0.6276943915804162
2,305.0,16,-0.1346112498609916,0.6276943915804162
2,305.0,17,-0.13770854478738054,-0.16183144169658775
2,305.0,18,-0.13770854478738054,0.16183144169658775
2,305.0,19,-0.1530459397609104,-0.46313582994961955
2,305.0,20,-0.1530459397609104,0.46313582994961955
2,305.0,21,-0.15672034493230452,-0.5940169072955169
2,305.0,22,-0.15672034493230452,0.5940169072955169
2,305.0,23,-0.15837820140576322,-1.0871850248498862
2,305.0,24,-0.15837820140576322,1.0871850248498862
3,310.0,1,0.05335047027955552,0.0
3,310.0,2,-0.032325982143426295,0.0
3,310.0,3,-0.03435824090444855,-0.09487837143831117
3,310.0,4,-0.03435824090444855,0.09487837143831117
3,310.0,5,-0.0622318097575485,0.0
3,310.0,6,-0.0736147458207348,-0.033404025115506185
3,310.0,7,-0.0736147458207348,0.033404025115506185
3,310.0,8,-0.09655788891274616,0.0
3,310.0,9,-0.11386685013334816,-0.11413941954837048
3,310.0,10,-0.11386685013334816,0.11413941954837048
3,310.0,11,-0.11684066162366494,-0.0459205418784963
3,310.0,12,-0.11684066162366494,0.0459205418784963
3,310.0,13,-0.13053809975182135,-0.2690803844806451
