step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,300.0,true,4.304084103251199e-13,0.23248284683544632,1.474381651549271,1.474381651549271,1,0.053539271424729466,-0.0361290310370993,-0.09634180178243822,65.21764375310785,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0001_Re300.00000000.asc
2,305.0,true,1.756592740862969e-14,0.23249326376277532,1.4734632431749524,1.4734632431749524,1,0.05344606833349314,-0.03523293384280812,-0.09559101112794936,65.72987598979877,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0002_Re305.00000000.asc
3,310.0,true,1.1036011159213666e-14,0.2325182069571775,1.4726468169263827,1.4726468169263827,1,0.05335047027955552,-0.03435824090444855,-0.09487837143831117,66.22357879809142,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0003_Re310.00000000.asc
4,315.0,true,1.9862900479346023e-14,0.23255531316670242,1.4719196026784425,1.4719196026784425,1,0.05325321017334894,-0.033508946896519405,-0.0942024523302454,66.69874458419227,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0004_Re315.00000000.asc
5,320.0,true,2.0924579427577346e-14,0.23260248924480675,1.4712702600853744,1.4712702600853744,1,0.05315492195439579,-0.0326883835661954,-0.09356165011223935,67.155563199688,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0005_Re320.00000000.asc
6,325.0,true,1.4922528190135752e-14,0.2326578947134209,1.4706887629879644,1.4706887629879644,1,0.053056157171968724,-0.03189927586295746,-0.09295423701865749,67.59439385122859,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0006_Re325.00000000.asc
7,330.0,true,1.51811620358287e-14,0.23271992342458167,1.4701662874746497,1.4701662874746497,1,0.0529573985748492,-0.031143801795935427,-0.09237840525092704,68.0157369042321,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0007_Re330.00000000.asc
8,335.0,true,1.622187155261349e-14,0.23278718469147627,1.469695103826679,1.469695103826679,1,0.05285907116269324,-0.03042365363155057,-0.09183230465778165,68.42020714381759,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0008_Re335.00000000.asc
9,340.0,true,1.211700784682225e-14,0.23285848429008774,1.4692684729220828,1.4692684729220828,1,0.05276155111311805,-0.029740098460245182,-0.09131407349079616,68.8085096522705,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0009_Re340.00000000.asc
10,345.0,true,9.145949961172258e-11,0.23293280505623676,1.4688805435235723,1.4688805435235723,1,0.052665172710512374,-0.029094036890687753,-0.09082186236195562,69.18141892024833,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0010_Re345.00000000.asc
11,350.0,true,8.272331439540148e-11,0.23300929133326262,1.4685262767491358,1.4685262767491358,1,0.05257023512967968,-0.028486056602959865,-0.09035385010279166,69.53976283281209,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0011_Re350.00000000.asc
12,355.0,true,7.541806213601369e-11,0.23308722775029717,1.468201333596076,1.468201333596076,1,0.052477005472032594,-0.027916484840760102,-0.08990825583927034,69.88440881794085,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0012_Re355.00000000.asc
13,360.0,true,6.925850237595019e-11,0.23316602552810312,1.467902012588802,1.467902012588802,1,0.05238572362679773,-0.02738543244516415,-0.08948334244247415,70.21625629617978,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0013_Re360.00000000.asc
14,365.0,true,6.399815486184316e-11,0.23324520674174304,1.4676251721825158,1.4676251721825158,1,0.05229660507876854,-0.02689283380490564,-0.08907741620516654,70.53623213214797,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0014_Re365.00000000.asc
15,370.0,true,5.947924042771589e-11,0.23332439046919207,1.467368164277938,1.467368164277938,1,0.05220984351795849,-0.02643848030358716,-0.08868882171606929,70.8452901459751,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_3_5_9/restartable_eq_branch_up_clean/states/xeq_step0015_Re370.00000000.asc
