      #(t)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
       0      0.341102      0.476847     0.0319346     0.0655622     0.0675515    0.00531823             0             0       1.11829      0.559143     -0.559143       1.06874
0.989367      0.338061      0.471973     0.0320458     0.0691714     0.0720153    0.00581162             0             0       1.10236      0.551182     -0.551182       1.05158
 1.97873      0.335059      0.467053     0.0323644     0.0730971     0.0767175    0.00639065             0             0       1.08668      0.543339     -0.543339       1.03591
  2.9681      0.332104       0.46208     0.0328952     0.0773708     0.0816971    0.00706833             0             0       1.07121      0.535605     -0.535605       1.02188
 3.95747      0.329232      0.457094     0.0336421     0.0819828     0.0869386    0.00785297             0             0       1.05612       0.52806      -0.52806       1.00981
 4.94684      0.326476       0.45213     0.0346084     0.0869172     0.0924146    0.00875234             0             0       1.04156       0.52078      -0.52078      0.999982
  5.9362      0.323862      0.447214     0.0357964     0.0921493     0.0980831    0.00977288             0             0       1.02769      0.513843     -0.513843       0.99265
 6.92557       0.32141      0.442368     0.0372069      0.097644      0.103885     0.0109187             0             0       1.01465      0.507324     -0.507324      0.988007
 7.91494      0.319128      0.437602     0.0388379      0.103354      0.109745     0.0121904             0             0       1.00258      0.501292     -0.501292      0.986167
 8.90431      0.317018      0.432917     0.0406835      0.109217      0.115568     0.0135835             0             0      0.991626      0.495813     -0.495813      0.987146
 9.89367      0.315067      0.428306     0.0427324      0.115158      0.121244     0.0150874             0             0      0.981878      0.490939     -0.490939      0.990835
  10.883       0.31325      0.423754     0.0449655      0.121085      0.126654     0.0166835             0             0      0.973414      0.486707     -0.486707       0.99697
 11.8724       0.31153      0.419235     0.0473549      0.126892      0.131669     0.0183441             0             0      0.966265      0.483133     -0.483133       1.00512
 12.8618       0.30986      0.414721      0.049862      0.132461      0.136154      0.020032             0             0      0.960406      0.480203     -0.480203       1.01466
 13.8511      0.308182      0.410185     0.0524375      0.137661      0.139981     0.0217003             0             0      0.955745      0.477872     -0.477872       1.02481
 14.8405      0.306435        0.4056     0.0550231      0.142359      0.143021     0.0232936             0             0      0.952118      0.476059     -0.476059       1.03463
 15.8299      0.304563      0.400957     0.0575543      0.146419       0.14516     0.0247509             0             0      0.949299      0.474649     -0.474649       1.04306
 16.8192      0.302518      0.396264     0.0599674      0.149711      0.146301     0.0260095             0             0      0.947021      0.473511     -0.473511       1.04907
 17.8086      0.300277      0.391563     0.0622068      0.152122      0.146375     0.0270108             0             0      0.945013      0.472507     -0.472507       1.05168
  18.798      0.297846      0.386933     0.0642333      0.153561      0.145356     0.0277067             0             0      0.943048      0.471524     -0.471524       1.05018
 19.7873      0.295272      0.382498     0.0660301      0.153968      0.143266      0.028066             0             0      0.940986      0.470493     -0.470493       1.04424
 20.7767      0.292644      0.378422     0.0676043      0.153322      0.140176     0.0280781             0             0      0.938815      0.469408     -0.469408       1.03399
 21.7661      0.290093      0.374904     0.0689815      0.151645      0.136208     0.0277547             0             0      0.936666      0.468333     -0.468333       1.02011
 22.7554       0.28778      0.372165     0.0701957      0.148998      0.131517     0.0271278             0             0      0.934809      0.467405     -0.467405       1.00376
 23.7448      0.285887      0.370431     0.0712754      0.145476      0.126276     0.0262435             0             0      0.933641      0.466821     -0.466821      0.986469
 24.7342      0.284597      0.369911     0.0722324      0.141206      0.120665     0.0251567             0             0      0.933653      0.466827     -0.466827      0.969955
 25.7235      0.284077      0.370778     0.0730541      0.136332      0.114855     0.0239233             0             0      0.935401      0.467701     -0.467701      0.955898
 26.7129       0.28446      0.373147     0.0737061       0.13101      0.109002     0.0225962             0             0       0.93946       0.46973      -0.46973      0.945767
 27.7023      0.285826      0.377056     0.0741389      0.125398      0.103238     0.0212212             0             0      0.946374      0.473187     -0.473187       0.94068
 28.6917      0.288193      0.382458     0.0743016      0.119647     0.0976685      0.019836             0             0      0.956595      0.478297     -0.478297      0.941329
  29.681      0.291514      0.389218      0.074153      0.113892      0.092368       0.01847             0             0      0.970404      0.485202     -0.485202      0.947948
 30.6704      0.295683       0.39713     0.0736717      0.108246      0.087377     0.0171448             0             0      0.987848      0.493924     -0.493924      0.960327
 31.6598      0.300547      0.405933     0.0728595      0.102797     0.0827056     0.0158756             0             0       1.00868      0.504342     -0.504342      0.977868
 32.6491      0.305928      0.415345     0.0717403     0.0976004     0.0783391     0.0146725             0             0       1.03238      0.516191     -0.516191      0.999668
 33.6385      0.311637      0.425082     0.0703545     0.0926894     0.0742475     0.0135411             0             0       1.05816      0.529081     -0.529081       1.02463
 34.6279      0.317495      0.434882     0.0687516     0.0880732     0.0703952     0.0124837             0             0       1.08509      0.542543     -0.542543       1.05159
 35.6172      0.323339      0.444517     0.0669829     0.0837466     0.0667491     0.0115002             0             0       1.11216       0.55608      -0.55608       1.07938
 36.6066      0.329029      0.453797     0.0650957     0.0796954     0.0632843     0.0105888             0             0       1.13845      0.569223     -0.569223       1.10697
  37.596      0.334454      0.462571     0.0631296      0.075903      0.059986    0.00974661             0             0       1.16313      0.581563     -0.581563       1.13345
 38.5853      0.339523      0.470724     0.0611162     0.0723542     0.0568503    0.00897033             0             0       1.18555      0.592777     -0.592777        1.1581
 39.5747      0.344168       0.47817     0.0590793     0.0690387     0.0538835     0.0082567             0             0       1.20527      0.602637     -0.602637       1.18034
 40.5641       0.34834       0.48485     0.0570368     0.0659518     0.0511017    0.00760283             0             0       1.22201      0.611005     -0.611005       1.19978
 41.5534      0.352005      0.490723      0.055003      0.063095     0.0485303     0.0070063             0             0       1.23564      0.617819     -0.617819       1.21614
