rank,i,j,t_i,t_j,T,distance,relative_distance,norm_i,norm_j,shear_i,shear_j,I_span,D_span
1,93,146,92.0,145.0,53.0,0.0025067930829212755,0.007518261848082166,0.3334272114452536,0.33385382917864426,2.276333241067001,2.2776709094785907,0.07615199129596029,0.059835879194447106
2,100,152,99.0,151.0,52.0,0.0028932391825352193,0.008595388450378971,0.33660365662795105,0.33698906243699145,2.281815135203194,2.2825535290349697,0.075393245942875,0.06459026896620657
3,89,142,88.0,141.0,53.0,0.0039561795027778165,0.012081870848308961,0.3274475908945462,0.32882436141690435,2.258744828497006,2.2605117825291248,0.07615199129596029,0.059835879194447106
4,85,138,84.0,137.0,53.0,0.005831080944400734,0.018198561768855277,0.32041438320581744,0.32211024427042595,2.241928585435785,2.2356488520827167,0.07615199129596029,0.059835879194447106
5,82,134,81.0,133.0,52.0,0.006201141437432251,0.019598498729262934,0.3164090027045386,0.315342927446095,2.2358231616896824,2.21464266407356,0.07615199129596029,0.059835879194447106
6,78,130,77.0,129.0,52.0,0.006583425787152335,0.020925998471539288,0.3146050973914683,0.31113334529244074,2.2361858814862803,2.20809014738518,0.07615199129596029,0.05797323972651425
7,95,151,94.0,150.0,56.0,0.007337055514612937,0.021880082771707523,0.3353303363230537,0.3368606279100948,2.2818757645698007,2.283307967679658,0.07615199129596029,0.06459026896620657
8,70,121,69.0,120.0,51.0,0.008609154685003326,0.02685841695028447,0.3205384256614626,0.3168647685876903,2.244151958042166,2.224957953782285,0.05928418489885523,0.0538878358840118
9,66,118,65.0,117.0,52.0,0.009181289798247417,0.028290101820783887,0.3245407123809713,0.32111129337172184,2.2544998854159353,2.2294430193801373,0.054799119301002897,0.06590820321741298
10,59,112,58.0,111.0,53.0,0.010852427127408982,0.032375915732194824,0.3352006231168083,0.32844688068714517,2.2894496905304558,2.2413689365816287,0.054341597708827294,0.09239203911653604
11,56,108,55.0,107.0,52.0,0.012626771541342058,0.037016574745112614,0.3411112894233738,0.3321196960715986,2.3032476140827116,2.254779799351713,0.06813952126108314,0.10534005952829606
12,101,157,100.0,156.0,56.0,0.012878742597890394,0.03828833550177459,0.3363620389633676,0.33533484382779993,2.2796242049119426,2.271671347628661,0.075393245942875,0.06459026896620657
