      #(t)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
       0      0.341102      0.476847     0.0319346     0.0655622     0.0675515    0.00531823             0             0       1.11829      0.559143     -0.559143       1.06874
 1.00614      0.338061      0.471973     0.0320458     0.0691714     0.0720153    0.00581162             0             0       1.10236      0.551182     -0.551182       1.05158
 2.01227      0.335009      0.466969     0.0323716     0.0731667     0.0767996    0.00640129             0             0       1.08641      0.543207     -0.543207       1.03566
 3.01841      0.332005      0.461911     0.0329169     0.0775216     0.0818706    0.00709313             0             0       1.07069      0.535346     -0.535346       1.02144
 4.02454      0.329089      0.456841     0.0336859     0.0822261     0.0872117    0.00789587             0             0       1.05537      0.527683     -0.527683       1.00925
 5.03068      0.326294      0.451795     0.0346819     0.0872628     0.0927934    0.00881764             0             0        1.0406      0.520298     -0.520298      0.999403
 6.03682      0.323648      0.446801     0.0359074     0.0926054     0.0985706    0.00986509             0             0       1.02655      0.513273     -0.513273       0.99215
 7.04295       0.32117       0.44188     0.0373627     0.0982157       0.10448     0.0110423             0             0       1.01337      0.506687     -0.506687       0.98769
 8.04909      0.318869      0.437042     0.0390458      0.104043      0.110439     0.0123494             0             0       1.00122      0.500612     -0.500612      0.986136
 9.05523      0.316744      0.432288     0.0409498       0.11002      0.116348     0.0137813             0             0      0.990231      0.495116     -0.495116      0.987492
 10.0614      0.314781      0.427609     0.0430617      0.116065       0.12209     0.0153255             0             0      0.980502      0.490251     -0.490251      0.991621
 11.0675      0.312952      0.422986     0.0453604      0.122081      0.127536     0.0169613             0             0       0.97211      0.486055     -0.486055      0.998223
 12.0736      0.311216      0.418394     0.0478147      0.127952      0.132549      0.018658             0             0      0.965077      0.482539     -0.482539       1.00681
 13.0798      0.309521      0.413801      0.050382      0.133552       0.13699     0.0203746             0             0      0.959366      0.479683     -0.479683       1.01671
 14.0859      0.307805      0.409179     0.0530086      0.138744      0.140722     0.0220599             0             0      0.954864      0.477432     -0.477432       1.02704
  15.092      0.306004      0.404504      0.055631      0.143385      0.143614     0.0236541             0             0      0.951385      0.475693     -0.475693       1.03679
 16.0982      0.304061      0.399767     0.0581814      0.147333      0.145548     0.0250921             0             0      0.948679       0.47434      -0.47434       1.04486
 17.1043       0.30193      0.394987     0.0605939      0.150456      0.146428     0.0263087             0             0      0.946461       0.47323      -0.47323       1.05014
 18.1105      0.299594      0.390217     0.0628137      0.152639      0.146194     0.0272444             0             0      0.944451      0.472225     -0.472225       1.05169
 19.1166      0.297072      0.385553     0.0648059      0.153796       0.14483     0.0278529             0             0      0.942432      0.471216     -0.471216       1.04884
 20.1227      0.294426      0.381137     0.0665604      0.153874      0.142375     0.0281076             0             0      0.940295      0.470148     -0.470148       1.04139
 21.1289      0.291763      0.377156     0.0680916      0.152867      0.138923     0.0280048             0             0      0.938074      0.469037     -0.469037       1.02964
  22.135      0.289233      0.373828     0.0694306       0.15081      0.134613     0.0275642             0             0      0.935954      0.467977     -0.467977        1.0145
 23.1411      0.287015      0.371389     0.0706129      0.147781      0.129617     0.0268253             0             0      0.934269      0.467134     -0.467134       0.99733
 24.1473      0.285302      0.370073     0.0716632      0.143893      0.124123     0.0258408             0             0      0.933476      0.466738     -0.466738      0.979843
 25.1534      0.284284      0.370088     0.0725845      0.139288      0.118316     0.0246695             0             0      0.934122      0.467061     -0.467061       0.96385
 26.1595      0.284123      0.371595     0.0733538      0.134122      0.112372     0.0233696             0             0      0.936806      0.468403     -0.468403      0.951052
 27.1657      0.284938      0.374681     0.0739269      0.128563      0.106444     0.0219938             0             0      0.942126      0.471063     -0.471063      0.942852
 28.1718      0.286786      0.379349     0.0742497      0.122775       0.10066     0.0205866             0             0       0.95062       0.47531      -0.47531      0.940241
 29.1779      0.289655      0.385508     0.0742717      0.116908     0.0951162     0.0191839             0             0      0.962692      0.481346     -0.481346      0.943729
 30.1841      0.293466      0.392978     0.0739584      0.111097     0.0898748     0.0178124             0             0      0.978532      0.489266     -0.489266      0.953342
 31.1902       0.29808      0.401512      0.073299      0.105446     0.0849622     0.0164917             0             0      0.998046      0.499023     -0.499023      0.968652
 32.1964      0.303322      0.410821     0.0723075      0.100032      0.080375     0.0152348             0             0       1.02082      0.510412     -0.510412      0.988858
 33.2025      0.308996      0.420603     0.0710188     0.0949004     0.0760881     0.0140497             0             0       1.04616      0.523082     -0.523082       1.01289
 34.2086      0.314906      0.430571     0.0694814     0.0900712     0.0720656     0.0129405             0             0       1.07314      0.536572     -0.536572       1.03954
 35.2148      0.320874      0.440468     0.0677495     0.0855453     0.0682707      0.011908             0             0       1.10073      0.550366     -0.550366       1.06757
 36.2209      0.326741      0.450076     0.0658749     0.0813112      0.064673      0.010951             0             0       1.12791      0.563953     -0.563953       1.09584
  37.227      0.332377      0.459219     0.0639032     0.0773517     0.0612525     0.0100669             0             0       1.15374      0.576871     -0.576871       1.12331
 38.2332      0.337679      0.467763     0.0618709     0.0736498     0.0580003    0.00925229             0             0       1.17749      0.588744     -0.588744       1.14916
