            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
       0.29161      0.387472     0.0647152        0.1255      0.116196     0.0199384   1.61404e-09  -2.26897e-10      0.854992      0.427496     -0.427496      0.951324
      0.291595      0.387453     0.0647108      0.125493       0.11619      0.019936   1.31995e-09  -2.37253e-10       0.85497      0.427485     -0.427485      0.951221
      0.291582      0.387435     0.0647068      0.125487      0.116185      0.019934   1.29376e-09    -2.348e-10      0.854948      0.427474     -0.427474      0.951131
       0.29161      0.387472     0.0647152        0.1255      0.116196     0.0199384   1.61404e-09  -2.26897e-10      0.854992      0.427496     -0.427496      0.951324
      0.290845      0.386688     0.0646064      0.124418      0.114869     0.0196538   2.84999e-10   1.17329e-11      0.849374      0.424687     -0.424687      0.944014
      0.290826      0.386704     0.0645525      0.124311      0.114801     0.0196202   8.82247e-11  -4.75149e-12      0.848903      0.424451     -0.424451      0.943548
      0.290821      0.386699     0.0645494      0.124302      0.114793     0.0196176  -3.81406e-12   4.87988e-13      0.848893      0.424446     -0.424446      0.943489
      0.290821      0.386699     0.0645494      0.124302      0.114793     0.0196176   1.33966e-13    6.9291e-15      0.848893      0.424446     -0.424446      0.943488
      0.290821      0.386699     0.0645494      0.124302      0.114793     0.0196176  -2.68405e-15             0      0.848893      0.424446     -0.424446      0.943488
      0.290821      0.386699     0.0645494      0.124302      0.114793     0.0196176             0             0      0.848893      0.424446     -0.424446      0.943488
