            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
       0.22867      0.302003     0.0555839      0.101414     0.0976659     0.0133743    -0.0409237             0      0.406227      0.293022     -0.113205      0.773111
      0.220301      0.292489     0.0520174     0.0938596     0.0950513     0.0115154    -0.0424995  -3.98577e-12      0.451339      0.274759      -0.17658      0.747457
      0.218636      0.292601     0.0498468     0.0866248     0.0888635    0.00998855    -0.0371429    1.4481e-12      0.560646      0.294813     -0.265833       0.73201
      0.231451      0.315527     0.0460492     0.0739052     0.0837113    0.00758251    -0.0365932  -5.00948e-12      0.701406      0.330103     -0.371304      0.856176
      0.234395      0.321695     0.0428458     0.0675171     0.0788933    0.00639432    -0.0346365  -1.01378e-12      0.721153      0.334131     -0.387022      0.830661
      0.231571      0.320008      0.037479     0.0586519     0.0720986    0.00484472    -0.0351187  -8.09551e-13       0.70385      0.320596     -0.383254      0.767098
      0.223875      0.311204     0.0309004     0.0493671     0.0651871    0.00339194    -0.0336045  -5.25521e-13      0.656551      0.299924     -0.356627      0.686443
      0.217229      0.303313     0.0258003     0.0413781     0.0584558     0.0023778    -0.0283503   5.64577e-13      0.611251      0.286774     -0.324477      0.624536
      0.210241      0.294614     0.0213641     0.0338947     0.0507038    0.00160527    -0.0204775   4.28167e-14      0.557923      0.272274     -0.285649       0.57174
      0.212402      0.297897     0.0211397     0.0322367     0.0478744    0.00148609    -0.0138104   6.36413e-14      0.569462      0.283856     -0.285606      0.577495
      0.215905      0.302833     0.0216182     0.0324704     0.0481222    0.00152167   -0.00104966   2.74125e-12      0.591354      0.295678     -0.295676      0.597429
      0.214715      0.301137     0.0215572     0.0325039     0.0480496    0.00152122  -5.70165e-05  -2.76285e-13      0.589631      0.294816     -0.294815      0.589718
      0.214683      0.301093     0.0215533     0.0325016     0.0480448     0.0015209  -4.03746e-07             0      0.589522      0.294761     -0.294761      0.589523
      0.214683      0.301093     0.0215533     0.0325015     0.0480448    0.00152089  -3.59792e-10             0      0.589521      0.294761     -0.294761      0.589521
      0.214683      0.301093     0.0215533     0.0325015     0.0480448    0.00152089   3.42419e-13             0      0.589521      0.294761     -0.294761      0.589521
