            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.066599     0.0914291    0.00812332     0.0211089     0.0221014   0.000511575   1.92218e-12             0     0.0427945     0.0213972    -0.0213972     0.0931403
     0.0407333     0.0563678      0.004928     0.0108069     0.0123454   0.000141075  -2.40155e-09   1.12136e-13      0.024936      0.012468     -0.012468     0.0376048
     0.0121715      0.016789    0.00184751    0.00331793    0.00457181    1.4422e-05  -1.97952e-08   6.05896e-14      0.041707     0.0208535    -0.0208535    0.00410315
    0.00186435    0.00261658    0.00017334   0.000273891   0.000384521   1.05063e-07  -5.16872e-09  -4.19449e-15    0.00352093    0.00176046   -0.00176047   7.58223e-05
   1.61702e-05   2.20854e-05   1.54621e-06   5.72641e-06   7.90328e-06   3.51826e-11  -3.02656e-08             0   4.21049e-05    2.1086e-05  -2.10189e-05   6.43831e-09
   3.02973e-07   3.54446e-07   1.76603e-08   2.40088e-07   2.92028e-07    5.7954e-14  -2.95671e-09             0   4.43633e-08   2.92786e-08  -1.50847e-08   8.93993e-12
   1.83903e-07   2.11324e-07   1.86385e-08   1.50451e-07   1.81752e-07   2.29828e-14  -3.40052e-09             0   1.41394e-08   3.66629e-09  -1.04731e-08   1.19482e-12
   1.83703e-07   2.13684e-07   1.88193e-08   1.46555e-07   1.78013e-07   2.18326e-14   3.27007e-09             0   1.70933e-08   3.48893e-09  -1.36043e-08   1.02821e-12
   1.80342e-07   2.08978e-07   1.86113e-08   1.45013e-07   1.76579e-07   2.13751e-14  -1.86033e-09             0   1.24651e-08    1.1557e-08  -9.08105e-10    9.9548e-13
   1.78674e-07   2.06747e-07   1.86392e-08   1.44072e-07   1.75881e-07   2.11042e-14   4.80348e-10             0   9.89634e-09   6.41193e-09  -3.48441e-09   9.88976e-13
   1.76057e-07   2.02762e-07   1.88387e-08   1.43266e-07   1.75225e-07   2.08799e-14   4.27927e-09             0   2.99241e-08   2.53149e-08  -4.60924e-09    9.7713e-13
   1.74011e-07   2.00066e-07   1.88087e-08   1.42054e-07   1.73833e-07   2.05331e-14   2.55564e-09             0   1.25977e-08    1.1022e-08  -1.57569e-09   9.59704e-13
   1.72373e-07   1.98188e-07   1.86629e-08   1.40705e-07   1.72216e-07   2.01462e-14   2.79759e-09             0   1.41729e-08   1.24494e-08  -1.72352e-09   9.42155e-13
    1.7081e-07   1.96443e-07   1.84891e-08   1.39356e-07   1.70592e-07   1.97621e-14   1.90914e-09             0   9.06331e-09   7.78817e-09  -1.27513e-09    9.2545e-13
   1.69028e-07   1.94329e-07   1.83076e-08   1.37994e-07   1.68946e-07   1.93775e-14    1.5567e-09             0   8.41054e-09   6.85739e-09  -1.55315e-09   9.07799e-13
   1.67395e-07   1.92451e-07   1.81344e-08   1.36661e-07   1.67343e-07   1.90052e-14   1.09767e-09             0   5.03353e-09   4.33027e-09  -7.03261e-10   8.91459e-13
   1.65753e-07   1.90559e-07   1.79583e-08   1.35325e-07   1.65727e-07   1.86353e-14   8.65663e-10             0   4.46685e-09   3.70967e-09  -7.57179e-10   8.74712e-13
   1.64172e-07   1.88762e-07   1.77894e-08   1.34004e-07    1.6413e-07   1.82735e-14   5.22484e-10             0   1.99233e-09   1.82597e-09  -1.66358e-10   8.58523e-13
   1.62573e-07   1.86928e-07   1.76164e-08   1.32694e-07   1.62544e-07   1.79181e-14   4.00831e-10             0   2.88467e-09   2.12515e-09  -7.59518e-10   8.42418e-13
   1.61001e-07   1.85132e-07   1.74478e-08   1.31394e-07   1.60961e-07   1.75687e-14   3.13212e-10             0   1.63539e-09   1.37694e-09  -2.58455e-10   8.26372e-13
   1.59441e-07   1.83349e-07   1.72778e-08   1.30105e-07   1.59388e-07   1.72257e-14   2.62518e-10             0    1.0475e-09   1.01908e-09  -2.84167e-11   8.10507e-13
