% Ny a b nu datacount wallunits? ustar
% 49 -1 1 0.0025000000000000001 1 0 0.050000000026188672
% <uu> <uv> <uw> <vv> <vw> <ww> <utot> <utot-Ubase> Ubase
0 -6.2907314868223985e-40 4.6222319174980664e-33 2.0652755294828789e-45 3.4310252505865511e-46 5.8621760097170544e-46 1 4.7214273183812886e-17 1
0 -1.3951086549571273e-21 6.0120360577369476e-20 1.1050955137110952e-24 -1.288775096469081e-25 1.9569295981596536e-18 0.99785892323763448 -9.6881557165510352e-13 0.99785892323860326
-2.2204460492503131e-16 -8.9686981975388805e-20 2.2370663018530782e-19 2.7195009701653242e-22 -4.1312824034859461e-24 3.0243346832175744e-17 0.99144486136291665 -1.0893780785916713e-11 0.99144486137381038
3.3306690738754696e-16 -1.0227343115995071e-18 4.4728072975136631e-19 6.5287143966148662e-21 6.2433502115141015e-24 1.4423418786718407e-16 0.98078528037383139 -2.9398933097185878e-11 0.98078528040323032
5.5511151231257827e-16 -5.6868417407873238e-18 7.6589002487335343e-19 5.9629892864211677e-20 5.0967708958278927e-23 4.1782060124329044e-16 0.9659258262400785 -4.8989802577413936e-11 0.96592582628906831
1.4432899320127035e-15 -2.1024720154931479e-17 1.3695970065712885e-18 3.180798582224656e-19 8.3047982240962844e-23 9.0740071465428209e-16 0.94693012943595956 -5.9146050326491062e-11 0.94693012949510558
3.3306690738754696e-15 -5.9063134499638354e-17 2.2299051219262077e-18 1.2015844403863437e-18 5.8128626122332173e-22 1.6218580013330724e-15 0.92387953241757603 -9.3710652378103218e-11 0.92387953251128674
5.1070259132757201e-15 -1.3516503525191059e-16 3.4705297287905068e-18 3.5701344459056176e-18 1.7498776469324405e-21 2.5125768012866898e-15 0.89687274142517659 -1.0751167797381651e-10 0.89687274153268826
7.9936057773011271e-15 -2.6327438440109028e-16 4.5672184265595165e-18 8.8883719540734743e-18 4.4831379824775447e-21 3.5024806652613862e-15 0.86602540371291803 -7.1520654652716697e-11 0.86602540378443871
1.0880185641326534e-14 -4.5210140351744384e-16 5.7687617071683629e-18 1.9295738344448224e-17 1.0138811793367721e-20 4.561378890368089e-15 0.83146961216298043 -1.3956470798232215e-10 0.83146961230254512
1.3877787807814457e-14 -7.0856576941270525e-16 6.5326457856136215e-18 3.7426427357350345e-17 1.8069456345209826e-20 5.8015919392932951e-15 0.79335334010606773 -1.8516747095212562e-10 0.79335334029123517
1.7319479184152442e-14 -1.0476297673448037e-15 5.8063119593977306e-18 6.5733593947471906e-17 2.9652014243431813e-20 7.513960527575904e-15 0.75183980736327349 -1.1570390672800814e-10 0.75183980747897738
2.1871393585115584e-14 -1.4907339324566542e-15 2.9799371207425539e-18 1.0514949749724152e-16 4.529156672878813e-20 1.0035818826850401e-14 0.70710678122157189 3.5024329463610936e-11 0.70710678118654757
2.7866597918091429e-14 -2.0287589843681536e-15 -2.483032923771029e-18 1.5337293806397195e-16 6.3384694829156122e-20 1.3424392065175709e-14 0.65934581532044689 2.2037803557419073e-10 0.65934581510006884
3.4527936065842368e-14 -2.5581591183350293e-15 -9.4375907942231903e-18 2.0379342773306464e-16 7.7932922601932936e-20 1.7112762739118066e-14 0.60876142932700794 3.1828733691819747e-10 0.60876142900872066
3.9135361618036768e-14 -2.8602283269959793e-15 -1.4249688143880626e-17 2.4640155497817299e-16 8.9522098169621073e-20 1.9889105715233233e-14 0.55557023334985234 3.302502581090434e-10 0.55557023301960207
3.9135361618036768e-14 -2.7032424290972529e-15 -1.41870151321855e-17 2.7120241748857331e-16 9.2655586974297446e-20 2.0422672820959628e-14 0.50000000038000347 3.8000354600583834e-10 0.49999999999999994
3.347322419244847e-14 -2.0378767805983132e-15 -1.0408868989808572e-17 2.7277789198252697e-16 8.3681442582784293e-20 1.8123171403729797e-14 0.44228869054321701 3.2421590883106586e-10 0.44228869021900108
2.425837308805967e-14 -1.1074785048826e-15 -4.4459486915837723e-18 2.5318337008379511e-16 6.6330895386975333e-20 1.3689954352344015e-14 0.3826834326448299 2.7974009273861152e-10 0.38268343236508978
1.4863110742169283e-14 -3.0859664502514133e-16 6.3553197734371988e-19 2.209004441881963e-16 4.3054290312776005e-20 8.7918324729525796e-15 0.32143946550794572 2.0478424896013492e-10 0.32143946530316148
8.0907502919558283e-15 1.1762306765660133e-16 3.7437686483711855e-18 1.8635491180869132e-16 2.3447890309698218e-20 5.0226758464595171e-15 0.2588190452876295 1.8510877074554957e-10 0.25881904510252074
4.7253867485608225e-15 2.5909490195521452e-16 3.5823017254211951e-18 1.5720188891253288e-16 1.0445253788952346e-20 2.9934527505947637e-15 0.19509032219791442 1.81786264339919e-10 0.19509032201612816
3.7886360715333467e-15 3.7469256994542538e-16 1.231312248757961e-18 1.3662347311001022e-16 1.0371746049403953e-21 2.3147424627581778e-15 0.13052619239255209 1.7250052631217187e-10 0.13052619222005157
3.9785882921528071e-15 5.7890628350588596e-16 3.7087739563705873e-20 1.2498318065797986e-16 -1.0680739624585284e-20 2.3072839281334857e-15 0.065403129531326681 3.0118362255630582e-10 0.065403129230143062
4.5398190408722378e-15 7.3399574646290347e-16 1.4553597156328318e-19 1.2233609214834402e-16 -2.0120716066064671e-20 2.5831246951691689e-15 4.0840489900890504e-10 4.0840489900890504e-10 0
5.1807516610047344e-15 6.5951777899064835e-16 1.0876319928849245e-19 1.2933869042654603e-16 -2.0826272211383619e-20 3.0122279422422867e-15 -0.065403128708240041 5.219030174182826e-10 -0.065403129230143062
5.7315263646273706e-15 3.7469456071195835e-16 -1.495989706469599e-18 1.4644936337504589e-16 -1.1901609688781144e-20 3.4806730984112941e-15 -0.13052619161315543 6.0689615638945372e-10 -0.13052619222005157
6.3560268159790212e-15 6.1463267082695596e-17 -3.9624237595680532e-18 1.7284752408259701e-16 5.88576885617226e-22 4.0011841819349095e-15 -0.19509032140101149 6.1511669169617467e-10 -0.19509032201612816
7.9658502016854982e-15 -1.8810069176243824e-16 -6.2122913145893768e-18 2.0584708599965054e-16 1.0781562558732545e-20 4.9924253904352088e-15 -0.25881904450443066 5.9809005406447257e-10 -0.25881904510252074
1.1907141939104804e-14 -4.9462553628163542e-16 -6.695746073804118e-18 2.40525901743222e-16 1.935310909632008e-20 7.088789913444411e-15 -0.32143946478653124 5.1663024730161885e-10 -0.32143946530316148
1.8762769116165146e-14 -1.0206769454535745e-15 -4.8505350664368913e-18 2.6967177374338178e-16 2.5462744456840345e-20 1.0435252223811677e-14 -0.38268343196668281 3.9840699354255654e-10 -0.38268343236508978
2.7228219678931964e-14 -1.7283144727445505e-15 -3.1883483367647246e-18 2.8501183930889418e-16 2.6619451769026512e-20 1.4224801158386077e-14 -0.44228868991268211 3.0631896686984573e-10 -0.44228869021900108
3.4416913763379853e-14 -2.3629691321266775e-15 -3.7107340700861117e-19 2.8013152326220441e-16 2.4395519220164542e-20 1.7086782365097984e-14 -0.49999999983464788 1.6535209278129866e-10 -0.49999999999999994
3.7969627442180354e-14 -2.6663206658731268e-15 4.0461148399735364e-18 2.5366242260121324e-16 1.5001158596165276e-20 1.8008766112899878e-14 -0.55557023285731133 1.6229074783624937e-10 -0.55557023301960207
3.7136960173711486e-14 -2.5690844729544079e-15 5.9536457854732553e-18 2.104197100658954e-16 8.7996655021839943e-21 1.6941269624659404e-14 -0.60876142881387352 1.9484711267809089e-10 -0.60876142900872066
3.3195668436292181e-14 -2.1909822755368663e-15 7.770740864923575e-18 1.5945585685914327e-16 1.7766748920706539e-21 1.4637835838921551e-14 -0.65934581489167055 2.083982787031477e-10 -0.65934581510006884
2.8255175976710234e-14 -1.708130785581783e-15 6.7287724560621804e-18 1.1026703362708111e-16 -2.742816269712044e-21 1.2024353800754882e-14 -0.70710678088306811 3.0347945424073156e-10 -0.70710678118654757
