            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
       0.26925      0.363053     0.0668224     0.0933719      0.100148     0.0131835  -7.75998e-10             0      0.513721      0.256861     -0.256861      0.982854
      0.293411      0.399693     0.0682716     0.0881166     0.0946295     0.0124255  -1.00455e-06    3.5073e-13       1.02917      0.514582     -0.514586       1.25098
      0.295668      0.400733     0.0714215     0.0956614      0.104661     0.0142521    0.00124092  -1.50718e-12       1.12887      0.570782     -0.558091       1.31203
      0.298977       0.40307     0.0742963       0.10387      0.113026     0.0163088    0.00329136    8.2777e-13       1.20158       0.60438     -0.597204       1.36763
      0.296093      0.400353     0.0719215     0.0994345      0.109958     0.0150599     0.0032284   1.27473e-12       1.21282      0.609756      -0.60306       1.35002
      0.293349      0.397554     0.0701321     0.0955984      0.107208     0.0140576    0.00399929   1.26576e-13       1.20678      0.609178     -0.597599        1.3366
      0.294444      0.398478     0.0711014     0.0977486      0.108963     0.0146102    0.00364265  -8.92955e-14       1.21397      0.612312     -0.601657       1.34525
      0.295519      0.399421     0.0720065     0.0997077      0.110381     0.0151266    0.00299473   5.85376e-13       1.22034      0.615039     -0.605303       1.35139
      0.294245       0.39829     0.0709506     0.0974204      0.108689     0.0145247    0.00304656  -3.76865e-13       1.21906      0.614283      -0.60478       1.34366
      0.294587      0.398581     0.0712677      0.098069      0.109174     0.0146966    0.00294147  -5.01554e-13       1.22067      0.614971     -0.605703        1.3456
      0.294311      0.398319     0.0710659      0.097619      0.108816     0.0145798    0.00313796   -5.1225e-13       1.21983      0.614426     -0.605407       1.34323
       0.29464      0.398605      0.071357     0.0982223      0.109267     0.0147394    0.00297222  -4.44297e-13       1.22138       0.61515     -0.606228       1.34505
      0.294345      0.398336     0.0711215     0.0977179       0.10887     0.0146071     0.0031432  -4.59339e-13       1.22064      0.614693     -0.605951       1.34276
      0.294645      0.398597     0.0713859     0.0982646      0.109279     0.0147519    0.00292546  -6.92537e-13       1.22202      0.615361     -0.606659       1.34446
      0.294361      0.398341     0.0711551     0.0977675       0.10889     0.0146215    0.00310823  -8.68275e-13       1.22128      0.614921     -0.606354       1.34232
      0.294634      0.398579     0.0713966     0.0982664      0.109264     0.0147538    0.00285846   -6.9018e-13       1.22249      0.615526     -0.606966       1.34391
      0.294368      0.398341      0.071178     0.0977934      0.108895     0.0146299    0.00306254  -4.08627e-13       1.22176      0.615106     -0.606651       1.34194
      0.294623      0.398563     0.0714031     0.0982586      0.109245     0.0147532    0.00279526  -1.21616e-13       1.22286      0.615662     -0.607196       1.34346
      0.294492      0.398447     0.0712953      0.098024      0.109061     0.0146917    0.00291396  -1.26881e-13       1.22249      0.615461     -0.607032       1.34247
      0.294609      0.398544     0.0714025     0.0982501      0.109216     0.0147514    0.00247651  -1.59254e-13       1.22286      0.615656       -0.6072       1.34291
      0.294326      0.398294     0.0711695     0.0977401       0.10882     0.0146182    0.00275435   1.59919e-13         1.222      0.615179     -0.606822       1.34088
