            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.413442      0.570935     0.0751168      0.101287      0.103706     0.0159016   -0.00583962             0       1.88214      0.980084     -0.902057       2.15629
      0.399591      0.554631     0.0654093     0.0863285     0.0863179      0.011731    -0.0111249   2.16314e-12       1.81651      0.972482     -0.844032       1.97772
      0.388424      0.542377     0.0556617     0.0668989     0.0713263    0.00757368    -0.0249626  -1.89179e-12       1.71496      0.910621     -0.804343       1.74044
      0.372904      0.523245     0.0415685      0.051007     0.0587932    0.00432966    -0.0386967   1.55382e-11       1.42573      0.741676     -0.684057       1.48676
      0.381816      0.536215     0.0354429      0.052769     0.0543368    0.00404076     -0.049196   8.78895e-12        1.4192      0.715738     -0.703458       1.45374
      0.382245      0.537481     0.0277153     0.0506753     0.0505119    0.00333612     -0.045866   5.10506e-12       1.35757      0.698156     -0.659412       1.38234
      0.383157      0.538929     0.0253099     0.0503336     0.0488481    0.00317407    -0.0443516   3.57429e-12       1.34397      0.696262     -0.647709       1.35203
      0.387813      0.545697     0.0231828     0.0497483     0.0477705    0.00301233    -0.0404808   2.71655e-12       1.33566      0.688748     -0.646916       1.35335
      0.386473      0.544312     0.0218995     0.0443516     0.0419114    0.00244666    -0.0283108   8.48795e-13       1.31059      0.672715     -0.637873       1.32572
      0.375341      0.528836     0.0202606     0.0410346      0.038872    0.00209433    -0.0221604   1.27966e-12       1.21109      0.625984     -0.585111       1.22203
      0.364748        0.5141     0.0184675     0.0379736      0.036233    0.00178305    -0.0195624   2.20034e-13       1.11368      0.578126     -0.535557       1.11978
      0.354098      0.499221     0.0170853     0.0354483     0.0340257    0.00154849    -0.0188616   1.13285e-13       1.02451      0.533147     -0.491364       1.02902
      0.344144       0.48527     0.0160239       0.03357     0.0324136    0.00138371    -0.0200656   1.98896e-13      0.950971       0.49416     -0.456811      0.955684
      0.346122      0.488055     0.0162673     0.0337521     0.0325696    0.00140383    -0.0199671   8.43432e-14       0.96309      0.499706     -0.463384      0.965502
      0.342842      0.483455     0.0159656     0.0331301     0.0320211    0.00135251    -0.0203897  -1.62382e-14       0.94141      0.488304     -0.453106      0.942443
      0.344056      0.485162     0.0161043     0.0332816     0.0321686    0.00136701    -0.0203255  -2.36281e-14      0.948687      0.491747      -0.45694      0.949522
      0.342788      0.483384     0.0159867     0.0330437     0.0319609    0.00134746    -0.0205503   6.48361e-14      0.940283      0.487341     -0.452942      0.940845
      0.343724      0.484699     0.0160923     0.0331666     0.0320795    0.00135899    -0.0204981   5.19906e-14      0.945894       0.49003     -0.455864      0.946497
      0.343008      0.483695     0.0160251     0.0330336     0.0319625    0.00134802     -0.020647   6.12291e-14      0.941154      0.487548     -0.453606      0.941671
      0.341221      0.481188     0.0158412     0.0327222     0.0316523    0.00132169    -0.0212351    1.3042e-13      0.929057      0.481576      -0.44748      0.929455
      0.342364      0.482795     0.0159583     0.0328757     0.0317918    0.00133548     -0.021251   1.45774e-13      0.935597      0.484673     -0.450924      0.936334
      0.342364      0.482795     0.0159583     0.0328757     0.0317918    0.00133548     -0.021251   1.45774e-13      0.935597      0.484673     -0.450924      0.936334
      0.343488      0.484372     0.0161051      0.033051     0.0319282    0.00135175    -0.0212354   3.62409e-14      0.942904      0.488527     -0.454378      0.943567
      0.342176      0.482529     0.0160106     0.0328412     0.0317008    0.00133488    -0.0218519   9.53412e-15      0.935377       0.48495     -0.450427      0.935634
      0.343275      0.484073     0.0161377     0.0329954     0.0318335    0.00134912     -0.021874   1.32689e-14      0.942309       0.48846      -0.45385      0.942587
      0.342538      0.483038     0.0160809     0.0328709      0.031702     0.0013391    -0.0223078   1.76434e-14      0.937991      0.486316     -0.451675       0.93808
