            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.342538      0.483038     0.0160809     0.0328709      0.031702     0.0013391    -0.0223078   1.76434e-14      0.937991      0.486316     -0.451675       0.93808
      0.340091      0.479602     0.0158614     0.0324763     0.0312927    0.00130629    -0.0240852  -4.72967e-15      0.922625       0.47822     -0.444405      0.923254
      0.341361      0.481386     0.0159956     0.0326445      0.031434    0.00132152    -0.0241761   3.30267e-15      0.930405      0.482013     -0.448392      0.930934
      0.342573      0.483089     0.0161328      0.032811     0.0315826    0.00133683    -0.0242203  -1.75128e-15      0.938039      0.485752     -0.452287      0.938515
      0.341907      0.482154     0.0160861     0.0326995     0.0314696    0.00132802    -0.0247491   -5.6775e-14      0.934286       0.48374     -0.450546      0.934507
      0.343708      0.484685     0.0162868     0.0329525     0.0316968    0.00135113    -0.0247986  -2.10664e-14      0.945484      0.489217     -0.456266      0.945923
      0.342989      0.483675     0.0162346     0.0328308     0.0315684    0.00134142    -0.0252956  -3.66062e-14      0.941481      0.487137     -0.454344      0.941574
      0.341427      0.481482     0.0160992     0.0325716     0.0312919    0.00132009    -0.0266304   2.98213e-14      0.931913      0.482038     -0.449876      0.932085
      0.342453      0.482924     0.0162111     0.0327079     0.0314096     0.0013326    -0.0266639  -4.57606e-14      0.938246      0.485139     -0.453107      0.938383
      0.343486      0.484375      0.016329     0.0328487     0.0315379    0.00134567    -0.0267096  -3.12459e-14      0.944825      0.488315      -0.45651      0.944889
      0.342645      0.483195     0.0162624     0.0327037     0.0313836      0.001334    -0.0273872  -3.49116e-14       0.93994      0.485753     -0.454187      0.939748
        0.3419      0.482149     0.0161981     0.0325729     0.0312425    0.00132337    -0.0281211  -5.21276e-14      0.935309      0.483279      -0.45203      0.935097
      0.343158      0.483917      0.016332     0.0327428     0.0313917    0.00133882    -0.0281381  -2.80289e-14      0.942946      0.487018     -0.455928      0.942887
      0.342467      0.482947     0.0162753     0.0326238     0.0312631    0.00132919    -0.0287281  -5.50036e-14      0.938805      0.484844     -0.453961      0.938589
       0.34431      0.485537     0.0164713     0.0328784     0.0314952     0.0013523    -0.0287352   8.19339e-14      0.949934      0.490237     -0.459697      0.950127
      0.343526      0.484435     0.0164088     0.0327545     0.0313645    0.00134211    -0.0293016   3.85428e-14      0.945309      0.487785     -0.457524      0.945331
      0.341927       0.48219     0.0162536     0.0325048     0.0310969    0.00132074    -0.0305892  -2.56916e-14      0.935218      0.482427     -0.452791      0.935499
      0.342837       0.48347     0.0163479     0.0326231     0.0311949    0.00133152    -0.0305755   6.20936e-14      0.940728      0.485145     -0.455584       0.94101
      0.342271      0.482676     0.0162945     0.0325299      0.031092    0.00132371    -0.0310351   1.26344e-14      0.937234      0.483342     -0.453892      0.937445
      0.343632      0.484588      0.016432     0.0327151     0.0312529    0.00134029    -0.0310118  -2.04803e-14      0.945407      0.487369     -0.458038      0.945816
      0.343004      0.483705     0.0163745     0.0326174     0.0311485    0.00133202    -0.0314515  -2.66587e-14      0.941567      0.485374     -0.456193      0.941892
