            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.343004      0.483705     0.0163745     0.0326174     0.0311485    0.00133202    -0.0314515  -2.66587e-14      0.941567      0.485374     -0.456193      0.941892
      0.342285      0.482697     0.0163014     0.0325066     0.0310293    0.00132242    -0.0320129  -5.53988e-14       0.93703      0.482979      -0.45405      0.937419
      0.343891      0.484953     0.0164645     0.0327285     0.0312249    0.00134223     -0.031965  -5.42616e-14      0.946626      0.487632     -0.458994      0.947349
      0.343456      0.484342     0.0164272     0.0326627     0.0311572     0.0013367    -0.0322214  -1.17084e-13      0.944012      0.486251     -0.457761      0.944645
      0.342574      0.483103     0.0163403     0.0325308     0.0310217    0.00132526    -0.0327822  -1.27996e-13      0.938526      0.483348     -0.455177      0.939202
      0.343242      0.484042     0.0164071     0.0326222     0.0311034     0.0013334    -0.0327478  -9.38244e-15      0.942529      0.485296     -0.457233      0.943297
      0.342889      0.483546     0.0163723     0.0325672     0.0310476    0.00132867    -0.0329611   -1.0429e-14      0.940325      0.484145      -0.45618      0.941077
      0.342169      0.482536     0.0162962     0.0324555     0.0309358    0.00131893    -0.0334468  -3.86752e-13       0.93575      0.481778     -0.453973      0.936553
      0.343608      0.484558     0.0164405     0.0326466     0.0311068    0.00133609    -0.0333403  -3.41264e-13      0.944293       0.48594     -0.458353      0.945359
      0.342757      0.483364     0.0163621     0.0325132     0.0309755    0.00132483    -0.0337636  -3.54438e-13      0.939041      0.483184     -0.455857       0.94006
      0.346955      0.489272     0.0167989     0.0329563     0.0313423    0.00136832    -0.0342053   1.13305e-12      0.968732      0.496019     -0.472713      0.967412
      0.345412      0.487109     0.0166779     0.0326537     0.0309675    0.00134442     -0.036014   1.35121e-12      0.962283      0.491713      -0.47057      0.959736
      0.344022      0.485157     0.0165505     0.0324333     0.0306627    0.00132584    -0.0382163   1.36697e-12      0.954542      0.486773     -0.467769      0.952439
      0.345131      0.486714      0.016674     0.0325829     0.0307784    0.00133967    -0.0382518   1.28507e-12      0.961667      0.489998     -0.471669      0.959645
      0.346698      0.488921     0.0168237      0.032759     0.0309075    0.00135619    -0.0382754   1.44337e-12      0.971628      0.494351     -0.477277      0.969904
       0.34576      0.487599     0.0167528     0.0326521     0.0307814    0.00134682     -0.039263   1.28153e-12      0.966652      0.491255     -0.475397      0.964941
      0.347864      0.490554     0.0169822     0.0329619     0.0310535    0.00137488    -0.0391042   1.05941e-12       0.98047      0.497707     -0.482763      0.978874
      0.346754      0.488994     0.0168789     0.0328074     0.0309013    0.00136122    -0.0398302   1.02319e-12      0.974134      0.494148     -0.479986       0.97249
      0.348683      0.491708       0.01707     0.0330496     0.0311099    0.00138366    -0.0394721   1.04807e-12      0.986544      0.500052     -0.486492      0.985154
      0.348239      0.491083     0.0170253     0.0329819     0.0310425    0.00137767    -0.0397012   1.03028e-12      0.983918      0.498619     -0.485298      0.982488
        0.3478      0.490468     0.0169793     0.0329105     0.0309707     0.0013714    -0.0399254    1.0685e-12      0.981286      0.497223     -0.484063      0.979839
