            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0292272      0.039036    0.00492575     0.0126646     0.0168135   0.000184655   0.000733668             0     0.0343886     0.0154647    -0.0189239     0.0147947
      0.041518     0.0581291     0.0028404    0.00777308    0.00936692   6.84886e-05   0.000315944  -2.57476e-13     0.0297655     0.0135352    -0.0162303      0.019705
     0.0284543     0.0401851     0.0010643    0.00182047    0.00211834   4.44686e-06   0.000346851  -5.36623e-14    0.00785052    0.00295546   -0.00489505    0.00621576
    0.00210993    0.00294546   6.63598e-05   0.000472773   0.000551801   2.27918e-07  -3.86405e-05  -3.49333e-15    0.00583063    0.00289654   -0.00293409   6.13894e-05
   4.72326e-05   5.78145e-05     2.004e-06    3.3396e-05   4.38739e-05   1.11931e-09   1.74176e-06   1.38802e-14   5.64157e-06    2.0776e-06  -3.56397e-06   2.50559e-07
   2.42024e-05   2.71608e-05   1.75779e-06   2.07536e-05   2.41798e-05   4.33804e-10   4.21884e-09   4.43236e-15   4.09923e-07   1.07798e-07  -3.02124e-07   4.65227e-08
   6.42952e-06   7.90081e-06   2.64898e-07   4.49272e-06   5.86794e-06   2.02547e-11   4.29524e-08             0   1.12903e-06   7.17253e-07  -4.11779e-07   2.27621e-09
   5.55444e-06   6.82313e-06   1.97151e-07   3.88711e-06   5.39944e-06   1.51485e-11   8.75794e-08             0    2.3111e-07   1.05721e-08  -2.20538e-07   2.00552e-09
   5.38594e-06   6.77486e-06   1.92497e-07   3.47576e-06   4.88004e-06    1.2118e-11   1.21715e-07             0   5.10678e-07   1.45873e-07  -3.64805e-07   1.60796e-09
   4.89598e-06   6.11281e-06   1.47802e-07   3.24851e-06   4.59494e-06   1.05747e-11   4.30902e-08             0   2.95332e-07   1.63077e-07  -1.32256e-07   1.40673e-09
   4.60917e-06   5.75494e-06   1.35742e-07   3.05797e-06    4.3444e-06    9.3696e-12   6.32244e-08             0   3.71904e-07   8.34392e-08  -2.88464e-07   1.26013e-09
   4.33672e-06   5.41132e-06    1.2335e-07   2.88388e-06   4.10752e-06   8.33196e-12   3.01736e-08             0   1.21456e-07   5.55989e-08   -6.5857e-08    1.1236e-09
   4.12741e-06   5.16118e-06   1.14427e-07   2.72401e-06   3.88425e-06   7.43331e-12   8.71331e-09             0   1.65281e-07   6.73637e-08  -9.79169e-08   1.00684e-09
   3.90662e-06   4.88721e-06   1.06295e-07   2.57435e-06   3.67516e-06   6.63859e-12  -3.66384e-08             0   2.91127e-07    3.6045e-09  -2.87522e-07   8.98706e-10
   3.68057e-06   4.60014e-06   9.85481e-08   2.43355e-06   3.47809e-06   5.93186e-12  -2.21743e-08             0   2.98702e-07    7.7909e-08  -2.20793e-07    8.0334e-10
   3.50507e-06   4.39015e-06   9.47762e-08    2.2997e-06    3.2911e-06   5.29763e-12  -2.40107e-08             0   1.67978e-07   2.18159e-08  -1.46162e-07   7.18664e-10
   3.27397e-06   4.08812e-06   8.52475e-08   2.17205e-06   3.11181e-06   4.72508e-12  -1.47918e-10             0   2.80452e-07   1.42938e-07  -1.37514e-07   6.37119e-10
   3.03646e-06   3.77866e-06   7.46484e-08    2.0387e-06   2.93754e-06   4.16187e-12    9.1607e-08             0   4.52721e-07   3.52404e-07  -1.00316e-07   5.57072e-10
   3.12026e-06   3.98407e-06    7.4683e-08    1.8957e-06   2.76195e-06   3.59925e-12   1.54041e-07             0    5.7023e-07    2.7766e-07   -2.9257e-07   4.94044e-10
   3.15075e-06   4.09065e-06   7.93337e-08   1.76487e-06   2.60156e-06   3.12107e-12     5.123e-08             0   2.12014e-07   9.21201e-08  -1.19894e-07   4.30961e-10
    3.2267e-06   4.24231e-06   8.72142e-08    1.6788e-06   2.46683e-06   2.82598e-12   8.01608e-08             0   2.95813e-07   1.56461e-07  -1.39352e-07   3.89735e-10
