J,K,L,m,projerr,eqerr,cx,cz,converged
1,1,1,15,0.2814386254284499,1.0,0.0,0.00018215289516086523,true
1,1,2,24,0.19326008223990304,0.5134972721578682,0.0,-0.009882745746495277,false
1,1,3,33,0.15967423328232017,0.37089947764728537,0.0,3.930787149466963e-14,true
1,2,3,53,0.10588112805570606,0.2824755267569101,0.0,3.653333623893635e-9,true
1,3,5,117,0.06397244314768594,0.18181160997334944,0.0,-0.02061253399155385,true
2,4,7,338,0.02330423656299696,0.20970135159251585,0.0,-0.029170853706041226,false
3,4,7,473,0.015354776704374622,0.17391404979268074,0.0,-0.02605229109611352,false
4,4,7,608,0.014239399904228674,0.1377578362045232,0.0,-0.026785593669217313,true
3,5,9,733,0.009365534928471511,0.014151190803067662,0.0,-0.021008472857953476,true
4,5,9,942,0.0063636821594720136,0.010920327582191374,0.0,-0.021171420683694007,true
