            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.157227      0.220973    0.00896013     0.0230399     0.0199916   0.000611121    0.00374864             0      0.101246     0.0431242    -0.0581215      0.121021
     0.0331996     0.0465542    0.00232966    0.00563019    0.00492563   3.71264e-05    0.00336441   1.26181e-12    0.00821041     0.0035802   -0.00463021    0.00846757
    0.00232977     0.0032789   7.83413e-05   0.000313599   0.000294863   1.04482e-07   -0.00104493  -2.00072e-12    0.00431655    0.00219319   -0.00212336   5.31053e-05
   0.000543999   0.000476377   5.20022e-05   0.000601856   0.000543761   3.64935e-07   1.42332e-06  -1.22616e-12   3.50353e-05   6.39561e-06  -2.86397e-05    2.5865e-05
   0.000310808   0.000226761   2.53562e-05   0.000375686   0.000310796   1.41783e-07   4.12013e-08  -9.93173e-13    1.8036e-05   7.47149e-06  -1.05645e-05   7.34564e-06
   0.000316279   0.000183606   2.14289e-05   0.000407302   0.000316268   1.66354e-07   1.43204e-07   8.20923e-13   5.76497e-06   8.56077e-07  -4.90889e-06   7.06549e-06
   0.000301663   0.000181078   2.10446e-05   0.000385705   0.000300049   1.49211e-07   8.26027e-07     7.672e-13   1.35522e-05   6.12252e-06   -7.4297e-06   6.26759e-06
   0.000292146   0.000174935   2.03996e-05   0.000373738   0.000290611   1.40097e-07   3.77238e-06   7.37018e-13   1.78165e-05   1.47556e-05  -3.06087e-06   5.86381e-06
   0.000281641   0.000164517    1.9672e-05   0.000362202    0.00028155   1.31578e-07   2.88946e-06   7.16894e-13   1.05492e-05   8.77487e-06   -1.7743e-06   5.50894e-06
   0.000272913   0.000159207   1.90961e-05   0.000351071   0.000272845   1.23616e-07   2.51667e-06   6.96333e-13   1.08024e-05   8.19994e-06  -2.60248e-06   5.17978e-06
   0.000265292   0.000156944   1.85567e-05    0.00034027   0.000264411   1.16128e-07   3.00718e-06   6.74841e-13   8.17942e-06   7.20851e-06  -9.70903e-07   4.86828e-06
   0.000256424   0.000149855   1.79271e-05   0.000329741   0.000256237    1.0905e-07   2.19096e-06   6.54758e-13   9.90708e-06   7.25216e-06  -2.65492e-06    4.5719e-06
   0.000257989   0.000175225   1.79265e-05   0.000319517    0.00024825   1.02413e-07   6.25664e-07   6.34606e-13   7.90009e-06   3.04611e-06  -4.85398e-06   4.32845e-06
   0.000241859   0.000144813   1.72824e-05    0.00030939    0.00024045   9.60207e-08  -7.46057e-07   6.16074e-13   8.95939e-06   6.54024e-07  -8.30537e-06   4.03993e-06
   0.000234702   0.000141479   1.67769e-05   0.000299788   0.000232976   9.01542e-08  -8.02492e-07   5.96672e-13   1.05305e-05    1.4812e-06  -9.04929e-06   3.78927e-06
   0.000225823   0.000131429    1.5747e-05   0.000290638   0.000225778   8.47182e-08  -2.65365e-06    5.7607e-13   1.59886e-05   4.55346e-06  -1.14351e-05   3.54849e-06
   0.000218856   0.000127278    1.5282e-05   0.000281714   0.000218818   7.95966e-08  -1.01578e-06   5.59116e-13    8.9119e-06   5.74259e-07  -8.33765e-06   3.33549e-06
   0.000212349   0.000124146   1.48604e-05   0.000273041   0.000212074   7.47723e-08  -2.17438e-06    5.4218e-13   1.32333e-05   3.62517e-06  -9.60815e-06   3.13503e-06
   0.000205921   0.000120735   1.46142e-05   0.000264606   0.000205515   7.02298e-08  -8.34619e-07   5.26423e-13   8.42517e-06   7.39541e-07  -7.68563e-06   2.94651e-06
   0.000200646    0.00012071   1.42946e-05   0.000256403   0.000199149   6.59466e-08  -2.01833e-06   5.12209e-13   1.21244e-05   4.78423e-06  -7.34014e-06    2.7716e-06
   0.000195378   0.000120409   1.48645e-05   0.000248245   0.000192848   6.18465e-08   1.51869e-06   4.97643e-13   6.97819e-06   5.48152e-06  -1.49667e-06   2.61062e-06
