            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0995867      0.120355     0.0404794     0.0609181     0.0565854     0.0053496             0   0.000742284      0.056428      0.028214     -0.028214     0.0996937
     0.0448246     0.0493427     0.0199448     0.0344383     0.0320897    0.00158379   -5.5338e-11     0.0054417     0.0255813     0.0127906    -0.0127906     0.0585337
     0.0230809     0.0310524    0.00343538    0.00945525    0.00751589   0.000101204  -3.28224e-10   -0.00159518     0.0142752     0.0071376   -0.00713757     0.0111708
    0.00458867    0.00648174   0.000163502   0.000268567   0.000149337   9.88614e-08  -1.12502e-11   3.42657e-05    0.00542397    0.00271198   -0.00271198   0.000327315
    0.00057744    0.00080315   5.87762e-05   0.000135532   1.43923e-05   2.18234e-08  -1.10409e-11  -6.25011e-05   0.000403234   0.000201617  -0.000201617   5.16722e-06
   4.83232e-05   6.68929e-05   7.74362e-06   1.16461e-05   3.77192e-07   1.95596e-10  -4.04575e-12  -3.15544e-07   4.75507e-06   2.37766e-06  -2.37741e-06   2.68035e-08
    2.6614e-05    3.5292e-05   6.58844e-06   1.12994e-05   1.03561e-08   1.71085e-10  -6.13915e-13  -6.32964e-07   2.26753e-06   1.13376e-06  -1.13377e-06   3.71891e-09
   2.59947e-05   3.44275e-05   6.49364e-06   1.11368e-05   1.48864e-09   1.66197e-10   2.31038e-13  -4.48317e-07   1.44172e-06   7.20865e-07  -7.20852e-07   3.39064e-09
   2.56947e-05   3.40256e-05   6.42583e-06   1.10183e-05   1.05567e-09   1.62694e-10   4.52921e-13  -4.06997e-07   1.37469e-06   6.87348e-07   -6.8734e-07    3.2938e-09
   2.54228e-05   3.36642e-05   6.36099e-06   1.09038e-05   9.11792e-10   1.59355e-10   4.44524e-13  -3.60406e-07   1.19335e-06   5.96679e-07  -5.96673e-07   3.21965e-09
   2.51559e-05   3.33109e-05    6.2951e-06   1.07885e-05   8.36195e-10   1.56019e-10   4.50092e-13  -3.23671e-07   1.06908e-06   5.34543e-07  -5.34539e-07   3.15018e-09
   2.49037e-05   3.29757e-05    6.2342e-06   1.06829e-05   8.03442e-10   1.52989e-10   4.34493e-13  -3.02319e-07   1.00164e-06    5.0082e-07  -5.00819e-07   3.08681e-09
   2.46523e-05    3.2643e-05   6.17178e-06   1.05744e-05    7.8952e-10   1.49908e-10   4.13524e-13  -2.74026e-07   8.88834e-07   4.44418e-07  -4.44416e-07   3.02453e-09
   2.44033e-05   3.23135e-05   6.10956e-06   1.04667e-05   7.63006e-10   1.46878e-10   3.81895e-13  -2.52712e-07   8.19551e-07   4.09776e-07  -4.09775e-07   2.96354e-09
   2.41566e-05   3.19872e-05   6.04784e-06     1.036e-05   7.36499e-10   1.43907e-10    3.9558e-13  -2.34517e-07   7.65944e-07   3.82973e-07  -3.82971e-07   2.90382e-09
   2.39124e-05    3.1664e-05   5.98667e-06   1.02545e-05   7.13222e-10   1.40995e-10   3.80571e-13  -2.17964e-07    7.1807e-07   3.59036e-07  -3.59035e-07   2.84531e-09
   2.36704e-05   3.13438e-05   5.92606e-06   1.01501e-05   6.93842e-10   1.38142e-10   3.59024e-13  -2.02684e-07   6.73797e-07   3.36899e-07  -3.36898e-07   2.78797e-09
   2.34307e-05   3.10267e-05   5.86601e-06   1.00467e-05   6.78131e-10   1.35345e-10   3.42333e-13   -1.8855e-07   6.32619e-07    3.1631e-07  -3.16309e-07   2.73176e-09
   2.31933e-05   3.07124e-05   5.80651e-06   9.94428e-06   6.65579e-10   1.32604e-10   3.65597e-13  -1.75463e-07    5.9422e-07    2.9711e-07   -2.9711e-07   2.67665e-09
   2.29581e-05   3.04012e-05   5.74757e-06   9.84279e-06   6.69976e-10   1.29915e-10   4.25661e-13  -1.58758e-07   5.35148e-07   2.67576e-07  -2.67572e-07    2.6225e-09
   2.27249e-05   3.00924e-05   5.68912e-06   9.74303e-06   7.07562e-10   1.27293e-10   5.68577e-13  -1.65496e-07    6.0896e-07   3.04481e-07  -3.04479e-07   2.56949e-09
