            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0877917      0.112691    0.00966108     0.0512061      0.041723     0.0027154             0   1.90775e-08      0.126875     0.0634377    -0.0634377      0.130913
     0.0234914     0.0291436    0.00496118     0.0151568     0.0111305   0.000254343  -9.83652e-10   2.28818e-08     0.0471653     0.0235826    -0.0235826     0.0102727
    0.00377776    0.00533499   0.000143547   0.000245634   5.96357e-05    8.0942e-08  -4.14148e-11   8.44526e-09     0.0147335    0.00736675   -0.00736675   0.000260089
   6.65094e-06   9.38858e-06   2.94522e-07    4.8755e-07   6.54056e-08   3.24448e-13   1.17916e-11   2.40069e-09   3.92588e-05   1.96297e-05  -1.96291e-05   9.05883e-10
   5.63627e-08   7.11511e-08   8.04194e-10    3.5922e-08   4.26725e-10   1.29104e-15   6.84515e-12    2.2852e-08   5.64542e-08   2.82278e-08  -2.82265e-08   3.77973e-14
   6.11066e-08   8.53518e-08   7.02146e-09   1.15672e-08   1.72862e-09   1.83101e-16   3.21598e-11   3.10551e-10   7.25284e-09   3.68878e-09  -3.56406e-09   4.67159e-14
   5.58706e-08   7.78245e-08   7.12338e-09   1.16469e-08    4.8847e-10   1.86393e-16   6.24517e-12   9.67202e-11   8.25807e-10   4.24619e-10  -4.01187e-10   4.41269e-14
   5.52265e-08   7.68235e-08   7.28349e-09    1.2043e-08   1.27444e-09   1.98083e-16   4.93548e-12   3.38282e-12   2.01241e-10   1.10333e-10  -9.09077e-11   4.49087e-14
   5.59124e-08   7.77432e-08   7.47545e-09   1.23489e-08   6.42828e-10   2.08378e-16   1.30665e-12  -6.17163e-10   1.67311e-09   8.35368e-10  -8.37747e-10   4.64348e-14
   5.74822e-08   7.98806e-08   7.81023e-09   1.29035e-08    9.9912e-10   2.27501e-16   5.23409e-13  -2.51993e-10    1.0445e-09   5.23071e-10  -5.21432e-10   4.92845e-14
   6.04087e-08   8.39047e-08   8.35561e-09   1.37333e-08   8.37951e-11   2.58419e-16  -1.69989e-13   -9.6196e-11   2.72286e-10   1.36073e-10  -1.36213e-10   5.40488e-14
   6.11871e-08   8.49727e-08   8.48134e-09   1.39797e-08   8.13218e-10   2.67366e-16   4.05058e-13  -4.91147e-11   1.80981e-09   9.04505e-10  -9.05302e-10    5.5264e-14
   6.13691e-08   8.52199e-08   8.53578e-09   1.40373e-08   9.29013e-11   2.69906e-16   4.87066e-14  -7.38911e-12   1.14601e-10   5.74445e-11  -5.71563e-11   5.56754e-14
   6.07442e-08   8.43426e-08    8.4588e-09   1.39462e-08   8.51514e-10   2.66047e-16  -1.51907e-13   2.72646e-11   3.72973e-10   1.88105e-10  -1.84868e-10   5.46475e-14
   5.99749e-08    8.3278e-08   8.35702e-09   1.37443e-08   1.52244e-10   2.58746e-16  -2.68708e-14   6.39172e-11   1.57816e-10   7.89373e-11  -7.88789e-11   5.33112e-14
   5.92871e-08    8.2317e-08   8.26462e-09   1.36209e-08    7.6042e-10   2.53832e-16  -7.63259e-14    4.9895e-11   1.35686e-10   6.83313e-11  -6.73544e-11   5.21227e-14
   5.88899e-08   8.17685e-08   8.21412e-09    1.3509e-08   1.24395e-10   2.49965e-16  -2.73325e-14   5.35809e-11   1.32186e-10   6.60926e-11  -6.60934e-11   5.13976e-14
   5.82257e-08   8.08382e-08   8.12421e-09   1.34028e-08   9.09806e-10   2.45639e-16   2.19943e-13   4.85948e-11   1.39931e-10   6.97091e-11  -7.02218e-11   5.02389e-14
   5.80234e-08   8.05613e-08   8.10423e-09   1.33277e-08    9.4989e-11   2.43307e-16      2.13e-14   4.28418e-11   1.48753e-10   7.45972e-11  -7.41561e-11   4.98262e-14
   5.74207e-08   7.97168e-08   8.02388e-09   1.32334e-08   8.51766e-10   2.39506e-16  -1.81507e-13    3.0548e-11   2.03952e-10   1.00304e-10  -1.03648e-10   4.87921e-14
   5.68096e-08   7.88748e-08    7.9378e-09   1.30547e-08   1.02204e-10   2.33433e-16  -1.49157e-14    7.3162e-11   2.39281e-10   1.19486e-10  -1.19794e-10   4.77088e-14
